level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,55,2,53,3,18.333333333333332,3.7900993783464556,9.0,23.0
sm421_2,33,4,29,2,16.5,1.057992957962906,15.0,18.0
sm311_1,46,29,17,3,15.333333333333334,5.433914599284457,8.0,29.0
sm521_1,84,7,77,6,14.0,3.3431445699544042,7.166666666666667,20.0
sm321_3,14,2,12,1,14.0,0.0,14.0,14.0
sm511_2,81,58,23,6,13.5,2.06915419090323,9.333333333333334,18.0
sm411_1,75,12,63,6,12.5,1.7446626745155775,8.5,16.0
sm541_1,99,51,48,8,12.375,1.84685532973863,8.365625000000001,15.375
sm361_1,37,6,31,3,12.333333333333334,1.516280938897354,10.0,16.0
sm521_2,36,36,0,3,12.0,0.0,12.0,12.0
sm541_2,36,0,36,3,12.0,0.0,12.0,12.0
sm631_2,12,10,2,1,12.0,0.0,12.0,12.0
sm612_1,70,29,41,6,11.666666666666666,0.8275353690382251,10.0,13.166666666666666
sm321_2,35,1,34,3,11.666666666666666,5.84362645900768,0.0,25.0
sm111_1,256,181,75,22,11.636363636363637,2.605492242826821,7.043181818181819,16.818181818181817
sm432_2,42,33,9,4,10.5,3.345176820133423,4.0,16.5
sm112_1,225,81,144,22,10.227272727272727,2.1069390398721963,6.2250000000000005,14.182954545454544
sm351_1,20,0,20,2,10.0,0.0,10.0,10.0
sm631_3,10,1,9,1,10.0,0.0,10.0,10.0
sm361_2,30,0,30,3,10.0,0.0,10.0,10.0
sm341_1,46,3,43,5,9.2,2.095271180854956,4.4,12.2
sm611_1,17,1,16,2,8.5,0.35567612445243707,8.0,9.0
sm321_1,58,38,20,7,8.285714285714286,2.2023964125745814,3.710714285714286,12.428571428571429
sm341_2,49,21,28,6,8.166666666666666,1.768323333515763,4.6625000000000005,11.166666666666666
sm331_2,40,20,20,5,8.0,2.4430109829189597,3.6,13.0
sm351_2,63,24,39,8,7.875,1.7201447998664263,4.496875,11.0
sm611_2,44,4,40,6,7.333333333333333,1.4116346084675662,4.0,10.0
sm431_2,14,14,0,2,7.0,0.7211095610231494,6.0,8.0
sm311_2,42,0,42,6,7.0,3.57224497429538,1.3333333333333333,15.166666666666666
sm432_1,47,0,47,7,6.714285714285714,1.6904689760028773,2.857142857142857,9.571428571428571
sm421_1,38,29,9,6,6.333333333333333,1.8815119447692648,1.6666666666666667,9.666666666666666
sm211_1,37,10,27,6,6.166666666666667,2.1561456977267053,2.5,10.666666666666666
sm531_1,24,0,24,4,6.0,1.738673916232422,2.0,8.0
sm211_2,11,1,10,2,5.5,0.35530830836612026,5.0,6.0
sm531_2,42,22,20,8,5.25,1.6168755476339347,2.125,8.25
sm331_1,36,13,23,7,5.142857142857143,2.753784238780556,0.8571428571428571,10.724999999999989
sm211_3,5,5,0,1,5.0,0.0,5.0,5.0
sm612_2,28,4,24,6,4.666666666666667,2.739694489924076,0.0,10.333333333333334
sm221_2,18,2,16,4,4.5,0.43859818555070235,4.0,5.5
sm431_1,24,24,0,7,3.4285714285714284,1.068684086863021,1.7142857142857142,5.142857142857143
sm411_2,20,7,13,6,3.3333333333333335,2.0148883060847584,0.0,7.666666666666667
sm371_1,14,14,0,6,2.3333333333333335,2.1510053570989753,0.0,7.0
sm543_1,18,18,0,8,2.25,2.144271516818203,0.0,6.75
sm221_1,6,1,5,6,1.0,0.3931885857074151,0.3333333333333333,1.6666666666666667
comprehension_check,0,0,0,22,0.0,0.0,0.0,0.0
sm543_2,0,0,0,7,0.0,0.0,0.0,0.0
experiment,0,0,0,22,0.0,0.0,0.0,0.0
s111_1,0,0,0,22,0.0,0.0,0.0,0.0
sm371_2,0,0,0,7,0.0,0.0,0.0,0.0
