level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,58,14,44,2,29.0,4.200025739946866,23.0,35.0
sm112_1,227,98,129,14,16.214285714285715,2.914101248777905,10.571428571428571,22.21607142857143
sm361_1,30,10,20,2,15.0,2.795265552592366,11.0,19.0
sm521_2,29,10,19,2,14.5,3.1554842862991856,10.0,19.0
sm411_1,57,18,39,4,14.25,0.21182745542273518,14.0,14.75
sm421_1,66,52,14,6,11.0,4.322010758804454,4.166666666666667,20.5
sm612_2,63,8,55,6,10.5,1.7414405686508605,6.5,13.0
sm321_2,20,2,18,2,10.0,0.7080199801504843,9.0,11.0
sm351_1,18,0,18,2,9.0,0.0,9.0,9.0
sm521_1,27,7,20,3,9.0,5.083831758166801,0.0,21.0
sm431_2,17,4,13,2,8.5,0.35523786952399083,8.0,9.0
sm111_1,110,52,58,14,7.857142857142857,2.1979080415118863,3.998214285714286,12.285714285714286
sm321_1,36,0,36,5,7.2,1.5402702465581914,3.6,9.0
sm432_1,36,0,36,5,7.2,1.5647319086495122,3.6,9.0
sm531_2,35,3,32,5,7.0,2.811974786907273,1.8,12.2
sm351_2,39,11,28,6,6.5,1.89032433827681,3.0,10.0
sm331_1,31,1,30,5,6.2,0.52295165975302,5.2,7.2
sm611_1,12,2,10,2,6.0,2.8068270837866516,2.0,10.0
sm611_2,11,1,10,2,5.5,3.9039456696772556,0.0,11.0
sm421_2,11,11,0,2,5.5,3.8676166379901793,0.0,11.0
sm431_1,32,24,8,6,5.333333333333333,1.0305721016185196,3.0,7.0
sm341_1,16,1,15,3,5.333333333333333,2.8325323015350135,0.0,12.0
sm341_2,26,22,4,5,5.2,1.391162943128638,2.2,7.8
sm411_2,30,25,5,6,5.0,1.2022251641624149,2.5,7.5
sm541_2,5,0,5,1,5.0,0.0,5.0,5.0
sm211_1,10,0,10,2,5.0,0.0,5.0,5.0
sm221_1,19,8,11,4,4.75,1.872478351056475,1.0,8.5
sm541_1,22,10,12,5,4.4,2.061843291270643,1.0,8.2
sm511_2,13,13,0,3,4.333333333333333,3.5829583263200147,0.0,13.0
sm361_2,4,4,0,1,4.0,0.0,4.0,4.0
sm432_2,4,0,4,1,4.0,0.0,4.0,4.0
sm311_1,8,0,8,2,4.0,2.8160870629911896,0.0,8.0
sm331_2,15,1,14,4,3.75,1.629756436877469,0.5,7.0
sm612_1,15,4,11,4,3.75,2.0630269218020594,0.5,8.262499999999989
sm211_2,7,0,7,2,3.5,1.0703876539505348,2.0,5.0
sm371_2,20,0,20,6,3.3333333333333335,3.0932401784323402,0.0,10.0
sm221_2,3,0,3,1,3.0,0.0,3.0,3.0
sm531_1,11,3,8,4,2.75,1.6542552888114217,0.0,6.0
sm311_2,9,9,0,4,2.25,0.6449627232750854,0.75,3.0
sm543_2,2,0,2,6,0.3333333333333333,0.3003040390157657,0.0,1.0
experiment,0,0,0,14,0.0,0.0,0.0,0.0
sm371_1,0,0,0,2,0.0,0.0,0.0,0.0
sm543_1,0,0,0,5,0.0,0.0,0.0,0.0
s111_1,0,0,0,14,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,14,0.0,0.0,0.0,0.0
