Session ID,u1770044434109
Completed At,2026-02-02 15:16:11.075Z
Created At,2026-02-02 15:00:34.109Z

User Data
prolificId,58a5cf959e040a0001399f07
age,33
gender,female
timestamp,1770045370826

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:06:50.738Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:16:03.216Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:00:34.194Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:00:34.248Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 15:07:09.994Z,AGENT_OBSERVE,,5.0,6.0,3.0,1.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:10.890Z,AGENT_OBSERVE,,5.0,6.0,3.0,1.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:12.241Z,AGENT_OBSERVE,,5.0,6.0,3.0,2.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:12.817Z,AGENT_OBSERVE,,5.0,6.0,3.0,3.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:13.345Z,AGENT_OBSERVE,,5.0,6.0,3.0,4.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:14.713Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:15.361Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:17.986Z,GAME_ACTION,up,5.0,6.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:18.442Z,GAME_ACTION,up,5.0,5.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:18.785Z,GAME_ACTION,up,5.0,4.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:19.241Z,GAME_ACTION,up,5.0,3.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:19.777Z,GAME_ACTION,up,5.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:19.777Z,INTERACTION,,5.0,2.0,,5.0,2.0,,,,experienced1,,,,wizard_interaction,
2026-02-02 15:07:21.578Z,GAME_ACTION,right,5.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:21.953Z,GAME_ACTION,right,6.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:22.321Z,GAME_ACTION,right,7.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:22.801Z,GAME_ACTION,right,8.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:23.673Z,GAME_ACTION,up,9.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:23.674Z,INTERACTION,,9.0,2.0,,5.0,2.0,,,,experienced1,,,,wizard_interaction,blueAmulet
2026-02-02 15:07:24.625Z,GAME_ACTION,left,9.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:24.913Z,GAME_ACTION,left,8.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:25.225Z,GAME_ACTION,left,7.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:25.841Z,GAME_ACTION,left,6.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:26.569Z,GAME_ACTION,down,5.0,2.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:26.905Z,GAME_ACTION,down,5.0,3.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:27.217Z,GAME_ACTION,down,5.0,4.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:27.665Z,GAME_ACTION,down,5.0,5.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:28.265Z,GAME_ACTION,down,5.0,6.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:29.089Z,GAME_ACTION,down,5.0,7.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:30.257Z,GAME_ACTION,right,5.0,8.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:30.497Z,GAME_ACTION,right,6.0,8.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:30.722Z,GAME_ACTION,right,7.0,8.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:31.313Z,GAME_ACTION,right,8.0,8.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:31.314Z,INTERACTION,,8.0,8.0,,5.0,2.0,,,,experienced1,,,,treasure_interaction,B
2026-02-02 15:07:31.314Z,LEVEL_COMPLETE,,8.0,8.0,,5.0,2.0,,,,experienced1,,,,,
2026-02-02 15:07:34.315Z,LEVEL_COMPLETE,,8.0,8.0,,5.0,2.0,,,11.0,experienced1,,,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:07:34.467Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 15:07:34.467Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 15:07:49.753Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:56.097Z,GAME_ACTION,down,5.0,6.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:56.513Z,GAME_ACTION,down,5.0,7.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:57.553Z,GAME_ACTION,left,5.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:57.849Z,GAME_ACTION,left,4.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:58.137Z,GAME_ACTION,left,3.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:58.530Z,GAME_ACTION,left,2.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:07:59.817Z,GAME_ACTION,down,1.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:00.769Z,GAME_ACTION,down,1.0,9.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:00.770Z,INTERACTION,,1.0,9.0,,,,5.0,5.0,,,,experienced1,,wizard_interaction,redAmulet
2026-02-02 15:08:02.201Z,GAME_ACTION,up,1.0,9.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:03.161Z,GAME_ACTION,right,1.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:03.441Z,GAME_ACTION,right,2.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:03.793Z,GAME_ACTION,right,3.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:04.241Z,GAME_ACTION,right,4.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:04.833Z,GAME_ACTION,up,5.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:05.258Z,GAME_ACTION,up,5.0,7.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 15:08:08.241Z,AGENT_OBSERVE,,5.0,6.0,3.0,4.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:09.289Z,AGENT_OBSERVE,,5.0,6.0,3.0,3.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:09.866Z,AGENT_OBSERVE,,5.0,6.0,3.0,3.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:10.609Z,AGENT_OBSERVE,,5.0,6.0,3.0,2.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:11.241Z,AGENT_OBSERVE,,5.0,6.0,3.0,1.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:13.122Z,AGENT_OBSERVE,,5.0,6.0,3.0,1.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:14.217Z,AGENT_OBSERVE,,5.0,6.0,3.0,2.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:15.161Z,AGENT_OBSERVE,,5.0,6.0,3.0,3.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:15.681Z,AGENT_OBSERVE,,5.0,6.0,3.0,4.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:16.705Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,2.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:17.369Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,3.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:18.033Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:18.713Z,AGENT_OBSERVE,,5.0,6.0,3.0,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:20.385Z,GAME_ACTION,up,5.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:20.809Z,GAME_ACTION,up,5.0,5.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:21.698Z,GAME_ACTION,right,5.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:22.089Z,GAME_ACTION,right,6.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:22.433Z,GAME_ACTION,right,7.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:22.882Z,INTERACTION,,7.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 15:08:22.882Z,GAME_ACTION,right,8.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:24.337Z,GAME_ACTION,left,8.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:24.897Z,GAME_ACTION,left,7.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:25.553Z,GAME_ACTION,left,6.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:26.505Z,GAME_ACTION,down,5.0,4.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:26.937Z,GAME_ACTION,down,5.0,5.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:27.993Z,GAME_ACTION,left,5.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:28.505Z,GAME_ACTION,left,4.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:28.809Z,GAME_ACTION,left,3.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:29.257Z,LEVEL_COMPLETE,,3.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:29.257Z,GAME_ACTION,left,2.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,,
2026-02-02 15:08:29.257Z,INTERACTION,,2.0,6.0,,6.0,4.0,5.0,5.0,,experienced1,,experienced1,,treasure_interaction,A
2026-02-02 15:08:32.264Z,LEVEL_COMPLETE,,2.0,6.0,,6.0,4.0,5.0,5.0,12.0,experienced1,,experienced1,,,

Level: sm221_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 15:11:54.843Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 15:11:54.844Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 15:12:18.618Z,AGENT_OBSERVE,,3.0,9.0,3.0,9.0,9.0,,,,experienced1,,,,,
2026-02-02 15:12:19.505Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,9.0,,,,experienced1,,,,,
2026-02-02 15:12:20.153Z,AGENT_OBSERVE,,3.0,9.0,3.0,7.0,9.0,,,,experienced1,,,,,
2026-02-02 15:12:22.513Z,AGENT_OBSERVE,,3.0,9.0,3.0,6.0,9.0,,,,experienced1,,,,,
2026-02-02 15:12:23.473Z,AGENT_OBSERVE,,3.0,9.0,3.0,5.0,9.0,,,,experienced1,,,,,
2026-02-02 15:12:24.089Z,AGENT_OBSERVE,,3.0,9.0,3.0,5.0,8.0,,,,experienced1,,,,,
2026-02-02 15:12:24.985Z,AGENT_OBSERVE,,3.0,9.0,3.0,5.0,7.0,,,,experienced1,,,,,
2026-02-02 15:12:25.665Z,AGENT_OBSERVE,,3.0,9.0,3.0,5.0,6.0,,,,experienced1,,,,,
2026-02-02 15:12:26.609Z,AGENT_OBSERVE,,3.0,9.0,3.0,5.0,5.0,,,,experienced1,,,,,
2026-02-02 15:12:29.505Z,GAME_ACTION,right,3.0,9.0,,5.0,5.0,,,,experienced1,,,,,
2026-02-02 15:12:29.889Z,GAME_ACTION,right,4.0,9.0,,5.0,5.0,,,,experienced1,,,,,
2026-02-02 15:12:30.857Z,GAME_ACTION,up,5.0,9.0,,5.0,5.0,,,,experienced1,,,,,
2026-02-02 15:12:31.257Z,GAME_ACTION,up,5.0,8.0,,5.0,5.0,,,,experienced1,,,,,
2026-02-02 15:12:31.666Z,GAME_ACTION,up,5.0,7.0,,5.0,5.0,,,,experienced1,,,,,
