level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,58,14,44,3,19.333333333333332,8.374780982931293,0.0,35.0
sm112_1,227,98,129,15,15.133333333333333,2.7989890162067765,9.798333333333334,20.866666666666667
sm411_1,57,18,39,4,14.25,0.2098613632658279,14.0,14.75
sm421_1,66,52,14,6,11.0,4.089545199101123,4.166666666666667,19.362499999999972
sm612_2,63,8,55,6,10.5,1.702602769151647,6.5,13.0
sm321_2,20,2,18,2,10.0,0.7071067811865476,9.0,11.0
sm361_1,30,10,20,3,10.0,4.529005372865572,0.0,19.0
sm521_2,29,10,19,3,9.666666666666666,4.486413144473311,0.0,19.0
sm521_1,27,7,20,3,9.0,5.11176350451839,0.0,21.0
sm351_1,18,0,18,2,9.0,0.0,9.0,9.0
sm431_2,17,4,13,2,8.5,0.3526387728314969,8.0,9.0
sm111_1,110,52,58,15,7.333333333333333,2.194233746172899,3.466666666666667,12.073333333333327
sm432_1,36,0,36,5,7.2,1.6201341285815178,3.6,9.0
sm321_1,36,0,36,5,7.2,1.631253207514709,3.6,9.0
sm531_2,35,3,32,5,7.0,2.895288748456177,1.8,12.2
sm351_2,39,11,28,6,6.5,1.8039694735269143,3.0,9.837499999999997
sm331_1,31,1,30,5,6.2,0.5499349674902192,5.2,7.4
sm611_1,12,2,10,2,6.0,2.842266433408114,2.0,10.0
sm421_2,11,11,0,2,5.5,3.991521262876097,0.0,11.0
sm431_1,32,24,8,6,5.333333333333333,1.0228095431622675,3.0,7.0
sm341_2,26,22,4,5,5.2,1.5020605000284595,2.2,7.8
sm411_2,30,25,5,6,5.0,1.1368686151116159,2.5,7.5
sm541_2,5,0,5,1,5.0,0.0,5.0,5.0
sm221_1,19,8,11,4,4.75,1.9219879780549585,1.0,8.5
sm541_1,22,10,12,5,4.4,1.9910501552499176,1.0,8.2
sm511_2,13,13,0,3,4.333333333333333,3.4548018097183695,0.0,13.0
sm361_2,4,4,0,1,4.0,0.0,4.0,4.0
sm341_1,16,1,15,4,4.0,2.3913223167156747,0.0,9.0
sm311_1,8,0,8,2,4.0,2.8728796420033746,0.0,8.0
sm612_1,15,4,11,4,3.75,2.106943749121452,0.5,8.75
sm611_2,11,1,10,3,3.6666666666666665,2.987068093971117,0.0,11.0
sm211_2,7,0,7,2,3.5,1.0681285730887684,2.0,5.0
sm371_2,20,0,20,6,3.3333333333333335,3.0563171314084987,0.0,10.0
sm211_1,10,0,10,3,3.3333333333333335,1.365803132216994,0.0,5.0
sm331_2,15,1,14,5,3.0,1.4527480982734196,0.2,5.8
sm531_1,11,3,8,4,2.75,1.659122848413018,0.0,6.0
sm311_2,9,9,0,4,2.25,0.6545918025211803,0.75,3.0
sm432_2,4,0,4,2,2.0,1.4575185626126212,0.0,4.0
sm221_2,3,0,3,2,1.5,1.038639746265529,0.0,3.0
sm543_2,2,0,2,6,0.3333333333333333,0.305247182639211,0.0,1.0
experiment,0,0,0,15,0.0,0.0,0.0,0.0
sm371_1,0,0,0,3,0.0,0.0,0.0,0.0
sm543_1,0,0,0,5,0.0,0.0,0.0,0.0
s111_1,0,0,0,15,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,15,0.0,0.0,0.0,0.0
