level,model_agent2,human_agent2_mean,human_agent2_sd,error_agent2,model_agent3,human_agent3_mean,human_agent3_sd,error_agent3,error_total,n_participants
sm211_1,0,0.0,0.0,0.0,6,3.3333333333333335,2.886751345948129,2.6666666666666665,2.6666666666666665,3
sm211_2,0,0.0,0.0,0.0,6,3.5,2.1213203435596424,2.5,2.5,2
sm221_1,0,2.0,4.0,2.0,6,2.75,4.272001872658765,3.25,1.25,4
sm221_2,0,0.0,0.0,0.0,6,1.5,2.1213203435596424,4.5,4.5,2
sm311_1,1,0.0,0.0,1.0,8,4.0,5.656854249492381,4.0,5.0,2
sm311_2,3,2.25,1.5,0.75,0,0.0,0.0,0.0,0.75,4
sm321_1,0,0.0,0.0,0.0,10,7.2,4.024922359499622,2.8,2.8,5
sm321_2,0,1.0,1.4142135623730951,1.0,10,9.0,0.0,1.0,0.0,2
sm331_1,0,0.2,0.447213595499958,0.2,6,6.0,1.0,0.0,0.20000000000000018,5
sm331_2,0,0.2,0.447213595499958,0.2,6,2.8,3.8340579025361623,3.2,3.0,5
sm341_1,1,0.25,0.5,0.75,11,3.75,5.188127472091127,7.25,8.0,4
sm341_2,8,4.4,3.5071355833500366,3.5999999999999996,0,0.8,1.7888543819998322,0.8,2.8,5
sm351_1,0,0.0,0.0,0.0,10,9.0,0.0,1.0,1.0,2
sm351_2,0,1.8333333333333333,4.4907311951024935,1.8333333333333333,10,4.666666666666667,5.125101625008686,5.333333333333333,3.5,6
sm361_1,1,3.3333333333333335,4.932882862316247,2.3333333333333335,10,6.666666666666667,5.773502691896258,3.333333333333333,1.0,3
sm361_2,4,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
sm371_1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3
sm371_2,0,0.0,0.0,0.0,0,3.3333333333333335,8.164965809277259,3.3333333333333335,3.3333333333333335,6
sm411_1,1,4.5,6.3508529610858835,3.5,13,9.75,6.5,3.25,0.25,4
sm411_2,5,4.166666666666667,2.0412414523193148,0.833333333333333,0,0.8333333333333334,2.0412414523193148,0.8333333333333334,0.0,6
sm421_1,8,8.666666666666666,6.0553007081949835,0.6666666666666661,0,2.3333333333333335,5.715476066494083,2.3333333333333335,3.0,6
sm421_2,1,5.5,7.7781745930520225,4.5,14,0.0,0.0,14.0,9.5,2
sm431_1,6,4.0,3.0983866769659336,2.0,0,1.3333333333333333,3.265986323710904,1.3333333333333333,0.666666666666667,6
sm431_2,1,2.0,2.8284271247461903,1.0,9,6.5,3.5355339059327378,2.5,1.5,2
sm432_1,0,0.0,0.0,0.0,10,7.2,4.024922359499622,2.8,2.8,5
sm432_2,0,0.0,0.0,0.0,10,2.0,2.8284271247461903,8.0,8.0,2
sm511_1,1,4.666666666666667,7.234178138070234,3.666666666666667,22,14.666666666666666,12.701705922171765,7.333333333333334,3.666666666666668,3
sm511_2,13,4.333333333333333,7.505553499465135,8.666666666666668,0,0.0,0.0,0.0,8.666666666666668,3
sm521_1,1,2.3333333333333335,3.2145502536643185,1.3333333333333335,19,6.666666666666667,11.547005383792515,12.333333333333332,11.0,3
sm521_2,10,3.3333333333333335,5.773502691896257,6.666666666666666,0,6.333333333333333,10.96965511460289,6.333333333333333,0.3333333333333339,3
sm531_1,3,0.75,1.5,2.25,0,2.0,4.0,2.0,0.25,4
sm531_2,1,0.6,0.5477225575051662,0.4,8,6.4,6.6932802122726045,1.5999999999999996,2.0,5
sm541_1,5,2.0,2.7386127875258306,3.0,0,2.4,5.366563145999495,2.4,0.5999999999999996,5
sm541_2,1,0.0,0.0,1.0,12,5.0,0.0,7.0,8.0,1
sm543_1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5
sm543_2,0,0.0,0.0,0.0,0,0.3333333333333333,0.816496580927726,0.3333333333333333,0.3333333333333333,6
sm611_1,2,1.0,1.4142135623730951,1.0,0,5.0,7.0710678118654755,5.0,4.0,2
sm611_2,1,0.3333333333333333,0.5773502691896258,0.6666666666666667,8,3.3333333333333335,5.773502691896257,4.666666666666666,5.333333333333333,3
sm612_1,2,1.0,1.1547005383792515,1.0,0,2.75,5.5,2.75,1.75,4
sm612_2,1,1.3333333333333333,0.816496580927726,0.33333333333333326,11,9.166666666666666,4.4907311951024935,1.833333333333334,1.5,6
