level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,55,2,53,3,18.333333333333332,3.8359507971972895,9.0,23.0
sm321_2,35,1,34,2,17.5,5.192895137580761,10.0,25.0
sm421_2,33,4,29,2,16.5,1.0251774181763558,15.0,18.0
sm311_1,46,29,17,3,15.333333333333334,5.491096523456751,8.0,29.0
sm511_2,54,31,23,4,13.5,3.2300428676608806,7.0,20.5
sm541_1,87,51,36,7,12.428571428571429,2.208979868955171,7.428571428571429,16.14642857142857
sm411_1,62,12,50,5,12.4,2.1515362204964403,7.6,16.6
sm361_1,37,6,31,3,12.333333333333334,1.5477774580035557,10.0,16.0
sm541_2,24,0,24,2,12.0,0.0,12.0,12.0
sm521_2,36,36,0,3,12.0,0.0,12.0,12.0
sm111_1,201,140,61,17,11.823529411764707,3.1392427189225933,6.41029411764706,18.35441176470588
sm612_1,59,29,30,5,11.8,1.0236127896539506,9.8,13.6
sm521_1,46,6,40,4,11.5,4.56666981762676,2.5,20.5
sm432_2,33,33,0,3,11.0,4.604808529670724,0.0,17.0
sm112_1,184,63,121,17,10.823529411764707,2.5143924000560847,6.114705882352941,15.825
sm351_1,20,0,20,2,10.0,0.0,10.0,10.0
sm361_2,20,0,20,2,10.0,0.0,10.0,10.0
sm341_1,35,3,32,4,8.75,2.624804249338862,2.75,12.5
sm611_1,17,1,16,2,8.5,0.3519141849849102,8.0,9.0
sm321_1,58,38,20,7,8.285714285714286,2.2860767578673356,3.5714285714285716,12.428571428571429
sm311_2,33,0,33,4,8.25,5.118421728520521,0.0,18.75
sm341_2,49,21,28,6,8.166666666666666,1.8145158509445114,4.5,11.333333333333334
sm331_2,40,20,20,5,8.0,2.280559122213215,3.6,12.204999999999995
sm611_2,36,4,32,5,7.2,1.7572270447744898,3.2,10.4
sm431_2,14,14,0,2,7.0,0.7028470630186869,6.0,8.0
sm432_1,47,0,47,7,6.714285714285714,1.6780820746450884,3.2857142857142856,9.857142857142858
sm421_1,38,29,9,6,6.333333333333333,1.8541052156215514,3.0,9.666666666666666
sm351_2,37,0,37,6,6.166666666666667,1.6727160069632447,3.0,9.333333333333334
sm331_1,36,13,23,6,6.0,3.146322193187364,1.0,13.0
sm531_1,24,0,24,4,6.0,1.745165207538129,2.0,8.0
sm211_1,29,8,21,5,5.8,2.685279420389164,1.4,11.6
sm612_2,28,4,24,5,5.6,3.125111691297302,0.0,12.4
sm211_2,11,1,10,2,5.5,0.35185444654224785,5.0,6.0
sm531_2,31,22,9,6,5.166666666666667,1.7229573086536412,1.8333333333333333,8.337499999999997
sm221_2,14,2,12,3,4.666666666666667,0.557197174179065,4.0,6.0
sm411_2,20,7,13,5,4.0,2.353898221426924,0.0,9.2
sm431_1,18,18,0,5,3.6,1.3143011022544975,1.2,6.0
sm543_1,18,18,0,6,3.0,2.758506907796382,0.0,9.0
sm371_1,14,14,0,5,2.8,2.5676242821827446,0.0,8.4
sm221_1,4,1,3,4,1.0,0.5195764714743247,0.0,2.0
comprehension_check,0,0,0,17,0.0,0.0,0.0,0.0
sm543_2,0,0,0,5,0.0,0.0,0.0,0.0
experiment,0,0,0,17,0.0,0.0,0.0,0.0
s111_1,0,0,0,17,0.0,0.0,0.0,0.0
sm371_2,0,0,0,5,0.0,0.0,0.0,0.0
