level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm211_2,57,27,30,5,11.4,6.509266403298386,1.9750000000000014,26.0
sm112_1,83,25,58,10,8.3,3.6236506570148403,1.9,15.4
sm611_2,32,5,27,4,8.0,2.9923229160526668,3.5,14.5
sm111_1,57,39,18,10,5.7,1.6902022434086472,2.4,9.0
sm431_1,21,12,9,4,5.25,1.586261398769202,1.5,8.25
sm431_2,31,6,25,6,5.166666666666667,2.2938395528760904,1.0,10.166666666666666
sm221_1,27,12,15,6,4.5,1.7483521882799105,1.3333333333333333,8.0
sm211_1,15,0,15,5,3.0,1.13281917324844,1.0,5.0
sm611_1,16,0,16,6,2.6666666666666665,1.5299299246904587,0.0,5.333333333333333
sm221_2,7,3,4,4,1.75,0.8764474300250972,0.0,3.5
sm543_2,1,0,1,5,0.2,0.18306160589143633,0.0,0.6
comprehension_check,0,0,0,10,0.0,0.0,0.0,0.0
experiment,0,0,0,10,0.0,0.0,0.0,0.0
s111_1,0,0,0,10,0.0,0.0,0.0,0.0
sm543_1,0,0,0,5,0.0,0.0,0.0,0.0
