level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,1,3.0,3.0,5,2.8,2.6832815729997477,5
sm211_3,6,2.2857142857142856,2.563479777846623,0,5.428571428571429,9.0527554342521,7
sm321_1,0,0.5,0.8366600265340756,13,4.333333333333333,4.926120853842978,6
sm321_3,0,5.333333333333333,8.262364471909157,13,2.3333333333333335,4.760952285695233,6
sm351_2,12,0.0,0.0,1,3.3333333333333335,1.96638416050035,6
sm351_3,0,0.8333333333333334,2.041241452319315,3,3.3333333333333335,0.816496580927726,6
sm543_1,0,0.8333333333333334,2.0412414523193148,0,0.0,0.0,6
sm543_3,0,5.833333333333333,8.658329323066123,0,0.0,0.0,6
sm631_2,9,7.2,7.014271166700073,1,2.4,3.049590136395381,5
sm631_3,0,4.285714285714286,5.3452248382484875,10,0.14285714285714285,0.3779644730092273,7
