level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,0,1.1428571428571428,3.023715784073818,6,4.142857142857143,1.864454471471609,7
sm211_2,0,3.0,6.0,6,1.25,2.5,4
sm221_1,8,2.4,5.366563145999495,4,3.0,1.7320508075688772,5
sm221_2,1,0.5,1.224744871391589,5,2.1666666666666665,2.401388487243717,6
sm431_1,6,3.6,3.2863353450309964,0,1.8,4.024922359499621,5
sm431_2,6,3.0,3.286335345030997,0,1.5,3.6742346141747673,6
sm543_1,0,2.8333333333333335,6.940220937885671,0,0.0,0.0,6
sm543_2,0,0.0,0.0,0,0.0,0.0,5
sm611_1,0,2.0,5.291502622129181,9,4.571428571428571,4.27617987059879,7
sm611_2,0,1.0,2.0,9,4.25,3.8622100754188224,4
