participant_id,session_id,total_steps_remaining,level_scores,prolific_id,bonus_payment
u1769456919576,u1769456919576,32.0,"{'sm211_1': -39.0, 'sm221_2': 18.0, 'sm431_1': 23.0, 'sm543_1': 11.0, 'sm611_1': 19.0}",65da5ea53cf757c346ee5b18,0.64
u1769534466278,u1769534466278,32.0,"{'sm211_1': -39.0, 'sm221_2': 18.0, 'sm431_1': 23.0, 'sm543_1': 11.0, 'sm611_1': 19.0}",5ac440da9534ba0001c736da,0.64
u1769457726761,u1769457726761,-72.0,"{'sm211_2': -81.0, 'sm221_1': 5.0, 'sm431_2': 7.0, 'sm543_1': 11.0, 'sm611_1': -14.0}",6174b049932ee98236563b51,0.0
u1769534483334,u1769534483334,-5.0,"{'sm211_2': -62.0, 'sm221_1': 7.0, 'sm431_2': 20.0, 'sm543_2': 11.0, 'sm611_2': 19.0}",66d0e8813c0a69291c362cba,0.0
u1769459799614,u1769459799614,-25.0,"{'sm211_1': -57.0, 'sm221_2': 11.0, 'sm431_1': 7.0, 'sm543_1': 22.0, 'sm611_1': -8.0}",5e7072e5fb136c63e94f3fa4,0.0
u1769535211874,u1769535211874,-7.0,"{'sm211_1': -46.0, 'sm221_1': -2.0, 'sm431_2': 23.0, 'sm543_1': 5.0, 'sm611_1': 13.0}",6965bc77aa20e8694a8b8e4c,0.0
u1769457904317,u1769457904317,29.0,"{'sm211_1': -39.0, 'sm221_1': 18.0, 'sm431_1': 20.0, 'sm543_1': 11.0, 'sm611_1': 19.0}",67363452674f3db8059e7888,0.58
u1769456536374,u1769456536374,19.0,"{'sm211_2': -46.0, 'sm221_2': 8.0, 'sm431_2': 23.0, 'sm543_2': 11.0, 'sm611_2': 23.0}",612bb0cdecc9e45781bbf511,0.38
u1769457262485,u1769457262485,-91.0,"{'sm211_1': -57.0, 'sm221_1': 5.0, 'sm431_2': 18.0, 'sm543_1': -43.0, 'sm611_1': -14.0}",60a2a8570a0f9cc00d6b9d1a,0.0
u1769457654370,u1769457654370,-37.0,"{'sm211_2': -57.0, 'sm221_2': 5.0, 'sm431_2': 12.0, 'sm543_2': 11.0, 'sm611_1': -8.0}",5caf7f17a85c43001737b4b3,0.0
u1769532992194,u1769532992194,32.0,"{'sm211_1': -39.0, 'sm221_1': 18.0, 'sm431_2': 23.0, 'sm543_1': 11.0, 'sm611_1': 19.0}",5685850c333cbd000d4e042f,0.64
u1769457379562,u1769457379562,32.0,"{'sm211_1': -39.0, 'sm221_1': 18.0, 'sm431_1': 23.0, 'sm543_2': 11.0, 'sm611_2': 19.0}",64010f32f8dee9772983c7cd,0.64
u1769533153884,u1769533153884,-84.0,"{'sm211_1': -63.0, 'sm221_1': 9.0, 'sm431_1': 10.0, 'sm543_2': 5.0, 'sm611_2': -45.0}",6148f3d1074988c7852c1774,0.0
u1769533882280,u1769533882280,3.0,"{'sm211_2': -57.0, 'sm221_2': 17.0, 'sm431_2': 7.0, 'sm543_2': 11.0, 'sm611_2': 25.0}",5fc3d41149c0c8728f07b95b,0.06
