level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm112_1,187,87,100,19,9.842105263157896,2.710958995011517,4.5776315789473685,15.106578947368419
sm211_2,62,27,35,8,7.75,4.638587862349029,1.25,18.0
sm221_1,85,37,48,11,7.7272727272727275,2.0800796502023418,4.0,12.002272727272725
sm611_2,75,24,51,10,7.5,2.13271077393191,3.8,11.9
sm111_1,130,81,49,19,6.842105263157895,1.6818827419926337,4.0,10.42236842105263
sm431_1,51,32,19,8,6.375,1.034603493500657,4.375,8.375
sm611_1,46,14,32,9,5.111111111111111,1.6663511509453888,1.7777777777777777,8.444444444444445
sm211_1,54,19,35,11,4.909090909090909,1.2075123098919216,2.727272727272727,7.2727272727272725
sm431_2,53,19,34,11,4.818181818181818,1.4513261306888485,2.0,7.638636363636362
sm221_2,21,6,15,8,2.625,0.7363109996891689,1.125,4.0
sm543_1,17,17,0,8,2.125,1.9908843147530522,0.0,6.375
sm543_2,1,0,1,11,0.09090909090909091,0.08704595617310086,0.0,0.2727272727272727
comprehension_check,0,0,0,19,0.0,0.0,0.0,0.0
experiment,0,0,0,19,0.0,0.0,0.0,0.0
s111_1,0,0,0,19,0.0,0.0,0.0,0.0
