Session ID,u1769196054296
Completed At,2026-01-23 19:56:59.044Z
Created At,2026-01-23 19:20:54.296Z

User Data
prolificId,ryan_is_testing
age,19
gender,male
feedback,iauydwiyawdbiyadw
timestamp,1769196529303

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 19:23:29.503Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 19:27:09.409Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 19:20:54.378Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 19:23:41.595Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2026-01-23 19:23:42.193Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-01-23 19:23:42.688Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,6.0,,,,experienced1,,,
2026-01-23 19:23:43.169Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,7.0,,,,experienced1,,,
2026-01-23 19:23:43.574Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-01-23 19:23:45.368Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:46.019Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,8.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:46.603Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,7.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:47.098Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,6.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:47.608Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:48.479Z,AGENT_OBSERVE,,5.0,7.0,3.0,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:49.857Z,GAME_ACTION,up,5.0,7.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:50.032Z,GAME_ACTION,up,5.0,6.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:50.698Z,GAME_ACTION,right,5.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:50.894Z,GAME_ACTION,right,6.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:51.088Z,GAME_ACTION,right,7.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:51.465Z,GAME_ACTION,right,8.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:51.465Z,INTERACTION,,8.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2026-01-23 19:23:53.038Z,GAME_ACTION,left,8.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:53.250Z,GAME_ACTION,left,7.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:53.396Z,GAME_ACTION,left,6.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:54.190Z,GAME_ACTION,down,5.0,5.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:54.415Z,GAME_ACTION,down,5.0,6.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:54.568Z,GAME_ACTION,down,5.0,7.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:54.809Z,GAME_ACTION,down,5.0,8.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:55.349Z,GAME_ACTION,right,5.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:55.544Z,GAME_ACTION,right,6.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:55.727Z,GAME_ACTION,right,7.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:55.888Z,GAME_ACTION,right,8.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:55.888Z,INTERACTION,,8.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,treasure_interaction,B
2026-01-23 19:23:55.888Z,LEVEL_COMPLETE,,8.0,9.0,,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2026-01-23 19:23:58.891Z,LEVEL_COMPLETE,,8.0,9.0,,6.0,5.0,5.0,8.0,25.0,experienced1,,experienced1,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 19:23:58.983Z,LEVEL_START,,,,,,,,,,,,,,,
2026-01-23 19:23:58.985Z,LEVEL_START,,,,,,,,,,,,,,,
2026-01-23 19:24:10.362Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,6.0,3.0,,,,experienced1,,,
2026-01-23 19:24:11.595Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,6.0,3.0,,experienced1,,experienced1,,,
2026-01-23 19:24:12.542Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2026-01-23 19:24:13.617Z,GAME_ACTION,down,5.0,7.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2026-01-23 19:24:13.859Z,GAME_ACTION,down,5.0,8.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
