file,level,observe_count,activation_count,mean_observe_per_activation
u1769201438179.csv,comprehension_check,0,1,0.0
u1769201438179.csv,experiment,0,1,0.0
u1769201438179.csv,s111_1,0,1,0.0
u1769201438179.csv,sm111_1,12,1,12.0
u1769201438179.csv,sm112_1,14,1,14.0
u1769201438179.csv,sm211_1,8,1,8.0
u1769201438179.csv,sm321_3,14,1,14.0
u1769201438179.csv,sm351_2,13,1,13.0
u1769201438179.csv,sm543_1,0,1,0.0
u1769201438179.csv,sm631_3,10,1,10.0
u1769196054296.csv,comprehension_check,0,1,0.0
u1769196054296.csv,experiment,0,1,0.0
u1769196054296.csv,s111_1,0,1,0.0
u1769196054296.csv,sm111_1,11,1,11.0
u1769196054296.csv,sm112_1,3,1,3.0
u1769196054296.csv,sm211_3,5,1,5.0
u1769196054296.csv,sm351_2,13,1,13.0
u1769196054296.csv,sm543_1,0,1,0.0
u1769196054296.csv,sm631_2,12,1,12.0
