Session ID,u1770142149964
Completed At,2026-02-03 18:29:55.085Z
Created At,2026-02-03 18:09:09.964Z

User Data
prolificId,66231fc6e1ecba676935943a
age,39
gender,male
feedback,It was fun and i found my self using the novice more based on their positioning and assumed goals.
timestamp,1770143401157

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-03 18:14:04.633Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-03 18:14:18.623Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-03 18:14:21.370Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-03 18:17:05.819Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-03 18:29:25.086Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-03 18:09:10.097Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-03 18:09:10.164Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-03 18:18:16.994Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,2.0,8.0,,,,experienced1,,,
2026-02-03 18:18:17.836Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,3.0,8.0,,,,experienced1,,,
2026-02-03 18:18:18.514Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,4.0,8.0,,,,experienced1,,,
2026-02-03 18:18:19.143Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-02-03 18:18:19.819Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,7.0,,,,experienced1,,,
2026-02-03 18:18:20.475Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,6.0,,,,experienced1,,,
2026-02-03 18:18:21.167Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-02-03 18:18:21.782Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,4.0,,,,experienced1,,,
2026-02-03 18:18:22.379Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,3.0,,,,experienced1,,,
2026-02-03 18:18:22.923Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,2.0,,,,experienced1,,,
2026-02-03 18:18:23.542Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,6.0,2.0,,,,experienced1,,,
2026-02-03 18:18:24.182Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,7.0,2.0,,,,experienced1,,,
2026-02-03 18:18:24.793Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:26.137Z,GAME_ACTION,up,5.0,6.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:26.633Z,GAME_ACTION,up,5.0,5.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:27.353Z,GAME_ACTION,up,5.0,4.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:27.817Z,GAME_ACTION,up,5.0,3.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:28.902Z,GAME_ACTION,right,5.0,2.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:29.301Z,GAME_ACTION,right,6.0,2.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:29.688Z,GAME_ACTION,right,7.0,2.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:30.096Z,GAME_ACTION,right,8.0,2.0,,,,8.0,2.0,,,,experienced1,,,
2026-02-03 18:18:31.538Z,GAME_ACTION,up,9.0,2.0,,,,8.0,2.0,,,,experienced1,,,
