level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,0,2.0,4.0,6,4.0,3.9157800414902435,4
sm211_2,0,0.5,0.7071067811865476,6,5.0,0.0,2
sm221_1,10,0.3333333333333333,0.5773502691896258,1,1.0,1.0,3
sm221_2,1,0.6666666666666666,1.1547005383792517,5,4.0,0.0,3
sm311_1,0,9.666666666666666,10.016652800877813,9,5.666666666666667,4.932882862316247,3
sm311_2,0,0.0,0.0,9,2.6666666666666665,4.618802153517007,3
sm321_1,0,6.333333333333333,6.947421584060281,10,3.3333333333333335,3.983298465677241,6
sm321_2,0,1.0,0.0,10,9.0,0.0,1
sm331_1,0,3.25,5.852349955359813,6,3.5,4.358898943540674,4
sm331_2,0,4.0,6.928203230275509,6,4.0,3.6742346141747673,5
sm341_1,0,0.75,1.5,12,8.0,5.354126134736337,4
sm341_2,0,1.6,3.577708763999664,12,5.6,5.504543577809154,5
sm351_1,0,0.0,0.0,10,10.0,0.0,2
sm351_2,0,0.0,0.0,10,5.6,5.128352561983234,5
sm361_1,0,2.0,2.6457513110645907,11,10.333333333333334,0.5773502691896257,3
sm361_2,0,0.0,0.0,11,10.0,0.0,2
sm371_1,0,2.8,6.260990336999411,0,0.0,0.0,5
sm371_2,0,0.0,0.0,0,0.0,0.0,4
sm411_1,1,2.4,3.5777087639996634,13,10.0,5.656854249492381,5
sm411_2,7,2.3333333333333335,4.041451884327381,0,0.0,0.0,3
sm421_1,10,4.2,5.310367218940701,0,1.8,4.024922359499622,5
sm421_2,1,2.0,1.4142135623730951,14,14.5,0.7071067811865476,2
sm431_1,6,4.5,3.0,0,0.0,0.0,4
sm431_2,6,7.0,1.4142135623730951,0,0.0,0.0,2
sm432_1,0,0.0,0.0,10,6.166666666666667,4.9564772436345015,6
sm432_2,0,11.0,9.539392014169456,10,0.0,0.0,3
sm511_1,1,0.6666666666666666,0.5773502691896258,22,17.666666666666668,7.505553499465135,3
sm511_2,13,7.75,6.3966136874651625,0,5.75,11.5,4
sm521_1,1,1.5,1.7320508075688772,19,10.0,10.424330514074594,4
sm521_2,12,12.0,0.0,0,0.0,0.0,3
sm531_1,0,0.0,0.0,9,6.0,4.0,4
sm531_2,0,4.4,5.128352561983234,9,1.8,2.489979919597747,5
sm541_1,0,7.285714285714286,9.14174100330066,13,5.142857142857143,6.4142698058981855,7
sm541_2,0,0.0,0.0,13,12.0,0.0,2
sm543_1,0,3.6,8.049844718999244,0,0.0,0.0,5
sm543_2,0,0.0,0.0,0,0.0,0.0,4
sm611_1,0,0.5,0.7071067811865476,9,8.0,0.0,2
sm611_2,0,0.8,1.7888543819998322,9,6.4,3.5777087639996634,5
sm612_1,0,5.8,7.496665925596525,12,6.0,5.612486080160912,5
sm612_2,0,0.0,0.0,12,3.6666666666666665,6.3508529610858835,3
