Session ID,u1769207241014
Completed At,2026-01-23 22:36:36.200Z
Created At,2026-01-23 22:27:21.014Z

User Data
prolificId,696003f9b6ac164d5a0e51f9
age,25
gender,male
feedback,"I liked the game, I found it fun and thought provoking."
timestamp,1769207796103

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 22:30:22.535Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 22:36:13.458Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 22:27:21.062Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-01-23 22:27:21.087Z,LEVEL_START,,,,,,,,,,,,,,,
2026-01-23 22:30:47.398Z,AGENT_OBSERVE,,5.0,6.0,3.0,2.0,8.0,,,,experienced1,,,,,
2026-01-23 22:30:48.848Z,AGENT_OBSERVE,,5.0,6.0,3.0,3.0,8.0,,,,experienced1,,,,,
2026-01-23 22:30:49.773Z,AGENT_OBSERVE,,5.0,6.0,3.0,4.0,8.0,,,,experienced1,,,,,
2026-01-23 22:30:51.324Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,8.0,,,,experienced1,,,,,
2026-01-23 22:30:54.074Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,7.0,,,,experienced1,,,,,
2026-01-23 22:30:55.098Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,6.0,,,,experienced1,,,,,
2026-01-23 22:30:55.798Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,5.0,,,,experienced1,,,,,
2026-01-23 22:30:56.439Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,4.0,,,,experienced1,,,,,
2026-01-23 22:30:57.048Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,3.0,,,,experienced1,,,,,
2026-01-23 22:30:57.872Z,AGENT_OBSERVE,,5.0,6.0,3.0,5.0,2.0,,,,experienced1,,,,,
2026-01-23 22:30:58.555Z,AGENT_OBSERVE,,5.0,6.0,3.0,6.0,2.0,,,,experienced1,,,,,
2026-01-23 22:30:59.299Z,AGENT_OBSERVE,,5.0,6.0,3.0,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:01.091Z,GAME_ACTION,up,5.0,6.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:01.556Z,GAME_ACTION,up,5.0,5.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:01.974Z,GAME_ACTION,up,5.0,4.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:02.382Z,GAME_ACTION,up,5.0,3.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:03.565Z,GAME_ACTION,right,5.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:03.932Z,GAME_ACTION,right,6.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:04.300Z,GAME_ACTION,right,7.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:05.707Z,GAME_ACTION,right,8.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:06.644Z,GAME_ACTION,up,9.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:06.644Z,INTERACTION,,9.0,2.0,,7.0,2.0,,,,experienced1,,,,wizard_interaction,blueAmulet
2026-01-23 22:31:08.780Z,GAME_ACTION,down,9.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:10.658Z,GAME_ACTION,left,9.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:11.265Z,GAME_ACTION,left,8.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:12.374Z,GAME_ACTION,left,7.0,2.0,,7.0,2.0,,,,experienced1,,,,,
2026-01-23 22:31:12.823Z,GAME_ACTION,left,6.0,2.0,,7.0,2.0,,,,experienced1,,,,,
