level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,0,0.0,0.0,6,5.0,0.0,5
sm211_2,0,6.0,8.48528137423857,6,0.0,0.0,2
sm221_1,8,0.0,0.0,4,3.6666666666666665,0.5773502691896258,3
sm221_2,1,0.75,1.5,5,3.25,2.217355782608345,4
sm431_1,6,4.5,3.0,0,2.25,4.5,4
sm431_2,6,4.0,3.4641016151377544,0,0.0,0.0,3
sm543_1,0,0.0,0.0,0,0.0,0.0,4
sm543_2,0,0.0,0.0,0,0.0,0.0,3
sm611_1,0,0.0,0.0,9,8.0,0.0,4
sm611_2,0,1.3333333333333333,2.3094010767585034,9,3.0,3.605551275463989,3
