level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,0,1.7272727272727273,3.901048810022994,6,3.1818181818181817,2.35873617932069,11
sm211_2,0,3.375,6.300510183423924,6,4.375,8.634441002668988,8
sm221_1,8,3.3636363636363638,5.76667542476126,4,4.363636363636363,7.3249263105198175,11
sm221_2,1,0.75,1.3887301496588271,5,1.875,2.1671244937540095,8
sm431_1,6,4.0,3.070597894314954,0,2.375,4.405759217854998,8
sm431_2,6,1.7272727272727273,2.7601053998320095,0,3.090909090909091,5.375026426996345,11
sm543_1,0,2.125,6.010407640085654,0,0.0,0.0,8
sm543_2,0,0.0,0.0,0,0.09090909090909091,0.3015113445777636,11
sm611_1,0,1.5555555555555556,4.666666666666666,9,3.5555555555555554,4.216370213557839,9
sm611_2,0,2.4,4.477102237434884,9,5.1,6.505553183413554,10
