file,prolific_id,bonus_payment,total_steps_remaining,n_levels_completed
exp4_20_2.json,63ed1fa5c88ecae92bf0c920,1.0,159.0,10
exp4_20_2.json,5d9373b0e04970001ab482da,1.0,156.0,10
exp4_20_2.json,6609619feb79146b62811775,0.75,90.0,10
exp4_20_2.json,660c498fe2029b300dc010af,0.0,-108.0,10
exp4_20_2.json,67101014b833fd5fb2bfb9bd,1.0,127.0,10
exp4_20_2.json,6980f69ed00611ed752ff9a3,0.4,48.0,9
exp4_20_2.json,65cce024500351e8c8f7ff26,1.0,120.0,10
exp4_20_2.json,695fb0485e22f6e6da1dfe02,1.0,153.0,10
exp4_20_2.json,63c1d184883ce15537788b40,1.0,163.0,10
exp4_20_2.json,682b8071ffc2da7edd49f10c,1.0,139.0,10
exp4_20_2.json,5711c09d28742b0011c585be,1.0,127.0,10
exp4_20_2.json,63039610eb593962736bd104,1.0,126.0,10
exp4_20_2.json,5e07d174da6bad1342bafab2,1.0,125.0,10
exp4_20_2.json,680c0636408121caf12fe0d1,0.325,39.0,10
exp4_20_2.json,5d5f07cdca10e90016bc0103,1.0,151.0,9
exp4_20_2.json,5a8b1ee2000dab00018cc7cd,1.0,135.0,10
exp4_20_2.json,6978e4da5643e1ccbb862b67,1.0,132.0,10
exp4_20_2.json,6743905b3105844d1c76e0b5,1.0,151.0,10
exp4_20_2.json,66231fc6e1ecba676935943a,1.0,161.0,10
exp4_20_2.json,5d53bffa147a7d00015aae5a,0.0,-30.0,9
