level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,137,23,114,7,19.571428571428573,4.138699314481442,10.857142857142858,27.285714285714285
sm112_1,462,170,292,30,15.4,1.9453353131508468,11.833333333333334,19.2675
sm411_1,117,30,87,8,14.625,0.6643586996923099,13.5,16.003124999999997
sm521_1,84,20,64,6,14.0,3.375147475532396,7.166666666666667,19.833333333333332
sm111_1,372,173,199,30,12.4,2.313592784782149,8.365833333333335,17.0675
sm612_2,116,11,105,10,11.6,1.1908375557077817,8.8975,13.4
sm361_1,81,22,59,7,11.571428571428571,2.172782318459807,7.285714285714286,15.428571428571429
sm421_1,116,102,14,11,10.545454545454545,2.399706927343169,6.636363636363637,15.818181818181818
sm321_2,40,4,36,4,10.0,0.5013085978818937,9.0,11.0
sm541_2,26,2,24,3,8.666666666666666,1.9221896460176555,5.0,13.0
sm521_2,59,40,19,7,8.428571428571429,2.3912318253786955,4.285714285714286,12.571428571428571
sm351_2,91,23,68,11,8.272727272727273,1.2039644986398308,5.7272727272727275,10.454545454545455
sm421_2,41,27,14,5,8.2,2.369714139955515,3.7850000000000006,12.6
sm321_1,73,1,72,9,8.11111111111111,0.9585265481528846,6.0,9.222222222222221
sm432_1,73,0,73,9,8.11111111111111,0.9857127395512119,6.0,9.333333333333334
sm511_2,48,39,9,6,8.0,2.4146282176412646,3.650000000000001,12.333333333333334
sm431_1,87,79,8,11,7.909090909090909,1.7188929787544234,5.181818181818182,11.454545454545455
sm531_2,71,6,65,9,7.888888888888889,1.6277908605843232,4.658333333333334,10.777777777777779
sm341_1,68,3,65,9,7.555555555555555,1.6461422298911945,4.222222222222222,10.555555555555555
sm431_2,37,6,31,5,7.4,1.7020622949986457,3.6,9.8
sm351_1,36,0,36,5,7.2,1.6305900109419853,3.6,9.0
sm432_2,34,0,34,5,6.8,2.107898060683731,2.8,11.0
sm611_2,47,3,44,7,6.714285714285714,1.6703091899204738,3.0,9.571428571428571
sm411_2,66,53,13,10,6.6,1.2174111219468302,4.5,9.1
sm331_1,52,2,50,8,6.5,1.2314905819487327,4.0,8.875
sm311_1,32,7,25,5,6.4,2.105300959989363,2.4,10.4
sm341_2,53,38,15,9,5.888888888888889,1.27758629660144,3.3333333333333335,8.11111111111111
sm311_2,39,22,17,7,5.571428571428571,1.657088362097502,2.8500000000000005,9.003571428571425
sm541_1,48,31,17,10,4.8,0.9823201427553356,3.0,6.7
sm331_2,51,2,49,11,4.636363636363637,1.1262504060675185,2.5454545454545454,6.909090909090909
sm612_1,37,15,22,8,4.625,1.495304190498416,1.875,7.625
sm611_1,23,13,10,5,4.6,1.4127214948538236,2.0,7.8
sm221_1,32,11,21,7,4.571428571428571,1.0969299971666333,2.4285714285714284,6.714285714285714
sm361_2,13,13,0,3,4.333333333333333,0.2707263141654799,4.0,5.0
sm211_1,26,1,25,6,4.333333333333333,0.8218386242321757,2.5,5.5
sm531_1,32,16,16,9,3.5555555555555554,0.9248757741809451,1.8888888888888888,5.444444444444445
sm211_2,17,0,17,5,3.4,0.9316664437245566,1.4,5.0
sm371_2,24,4,20,11,2.1818181818181817,1.7271247643662644,0.0,6.181818181818182
sm221_2,10,0,10,5,2.0,0.5616962370024057,0.8,3.0
sm543_2,13,11,2,11,1.1818181818181819,0.9293046875183434,0.0,3.1818181818181817
sm543_1,2,2,0,9,0.2222222222222222,0.2084286550180365,0.0,0.6666666666666666
experiment,0,0,0,30,0.0,0.0,0.0,0.0
sm371_1,0,0,0,7,0.0,0.0,0.0,0.0
s111_1,0,0,0,30,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,30,0.0,0.0,0.0,0.0
