level,model_agent2,human_agent2_mean,human_agent2_sd,error_agent2,model_agent3,human_agent3_mean,human_agent3_sd,error_agent3,error_total,n_participants
sm211_1,0,1.3846153846153846,3.5246385521180637,1.3846153846153846,6,6.615384615384615,6.564277842211099,0.615384615384615,2.0,13
sm211_2,0,1.5384615384615385,3.950008114240286,1.5384615384615385,6,3.923076923076923,1.9348358440936901,2.076923076923077,0.5384615384615383,13
sm221_1,0,1.3571428571428572,2.924883767766687,1.3571428571428572,6,3.357142857142857,4.6178107176643595,2.642857142857143,1.2857142857142856,14
sm221_2,0,1.2727272727272727,3.901048810022993,1.2727272727272727,6,3.727272727272727,3.495451590021212,2.272727272727273,1.0,11
sm311_1,1,1.75,2.0056737702645644,0.75,8,7.25,3.3878123807661966,0.75,0.0,12
sm311_2,3,4.285714285714286,6.832372844138315,1.2857142857142856,0,4.714285714285714,6.988216141131071,4.714285714285714,6.0,14
sm321_1,0,0.11764705882352941,0.3321055820775357,0.11764705882352941,10,7.9411764705882355,2.9889502386978215,2.0588235294117645,1.9411764705882355,17
sm321_2,0,0.45454545454545453,0.8201995322647243,0.45454545454545453,10,7.454545454545454,3.6976651109487015,2.545454545454546,2.0909090909090917,11
sm331_1,0,0.1875,0.4031128874149275,0.1875,6,5.8125,2.9488698400121582,0.1875,0.0,16
sm331_2,0,1.4210526315789473,3.7463432463267763,1.4210526315789473,6,4.105263157894737,3.6801983165480103,1.8947368421052628,0.47368421052631504,19
sm341_1,1,0.5,0.6324555320336759,0.5,11,8.125,4.5147905082443565,2.875,3.375,16
sm341_2,8,4.333333333333333,3.804022638641116,3.666666666666667,0,3.1666666666666665,4.693550017279659,3.1666666666666665,0.5,18
sm351_1,0,0.6153846153846154,1.7097008285302209,0.6153846153846154,10,6.230769230769231,4.323460152737352,3.769230769230769,3.1538461538461533,13
sm351_2,0,2.611111111111111,4.912635436108054,2.611111111111111,10,5.833333333333333,4.768154162529465,4.166666666666667,1.5555555555555554,18
sm361_1,1,2.466666666666667,3.3988793671416095,1.4666666666666668,10,7.866666666666666,4.085980677296223,2.1333333333333337,0.6666666666666679,15
sm361_2,4,4.222222222222222,1.855921454276674,0.22222222222222232,0,1.2222222222222223,3.3082388735465345,1.2222222222222223,1.4444444444444446,9
sm371_1,0,2.8,5.796550698475774,2.8,0,0.0,0.0,0.0,2.8,15
sm371_2,0,0.21052631578947367,0.9176629354822471,0.21052631578947367,0,1.0526315789473684,4.588314677411234,1.0526315789473684,1.263157894736842,19
sm411_1,1,2.533333333333333,3.5023801430836525,1.5333333333333332,13,11.866666666666667,3.356585566713094,1.1333333333333329,0.40000000000000036,15
sm411_2,5,4.764705882352941,2.8837781590455664,0.23529411764705888,0,1.8235294117647058,3.762234942784127,1.8235294117647058,1.5882352941176467,17
sm421_1,8,9.166666666666666,6.03177858854057,1.166666666666666,0,2.1666666666666665,6.58206118262089,2.1666666666666665,3.333333333333332,18
sm421_2,1,4.538461538461538,4.611857626730337,3.5384615384615383,14,8.538461538461538,6.728241283517615,5.461538461538462,1.9230769230769234,13
sm431_1,6,5.421052631578948,5.718544778697192,0.5789473684210522,0,2.0,4.041451884327381,2.0,1.4210526315789478,19
sm431_2,1,0.8461538461538461,1.0681880176381127,0.15384615384615385,9,5.769230769230769,4.225987974305459,3.230769230769231,3.384615384615385,13
sm432_1,0,0.0,0.0,0.0,10,7.9411764705882355,3.0097879542273014,2.0588235294117645,2.0588235294117645,17
sm432_2,0,0.18181818181818182,0.6030226891555273,0.18181818181818182,10,7.2727272727272725,4.29164092372391,2.7272727272727275,2.545454545454546,11
sm511_1,1,2.6,3.4805582475065284,1.6,22,17.533333333333335,8.416537009845275,4.466666666666665,2.8666666666666636,15
sm511_2,13,8.0,6.324555320336759,5.0,0,3.75,7.337636478520117,3.75,1.25,12
sm521_1,1,2.9166666666666665,3.2039275140289165,1.9166666666666665,19,13.833333333333334,9.17341349506906,5.166666666666666,3.25,12
sm521_2,10,7.4,4.626013402488151,2.5999999999999996,0,1.2666666666666666,4.905778905196061,1.2666666666666666,1.3333333333333321,15
sm531_1,3,2.411764705882353,1.769845456862398,0.5882352941176472,0,1.411764705882353,3.143620991973503,1.411764705882353,0.8235294117647056,17
sm531_2,1,0.5555555555555556,0.6156987634551992,0.4444444444444444,8,6.055555555555555,4.41217862981973,1.9444444444444446,2.3888888888888893,18
sm541_1,5,2.736842105263158,2.684153192828811,2.263157894736842,0,3.8947368421052633,5.915091215997201,3.8947368421052633,1.6315789473684212,19
sm541_2,1,0.5555555555555556,0.5270462766947299,0.4444444444444444,12,9.777777777777779,4.8419463487779835,2.2222222222222214,2.666666666666666,9
sm543_1,0,2.0,5.477225575051661,2.0,0,0.5555555555555556,2.3570226039551585,0.5555555555555556,2.5555555555555554,18
sm543_2,0,0.631578947368421,2.5212546769810524,0.631578947368421,0,0.10526315789473684,0.45883146774112354,0.10526315789473684,0.7368421052631579,19
sm611_1,2,3.1538461538461537,3.436232283721854,1.1538461538461537,0,1.5384615384615385,3.3817003764227,1.5384615384615385,2.6923076923076925,13
sm611_2,1,0.4,0.50709255283711,0.6,8,8.066666666666666,6.238894896038041,0.06666666666666643,0.5333333333333332,15
sm612_1,2,1.4,1.8439088914585773,0.6000000000000001,0,4.4,5.57801808120821,4.4,3.8000000000000007,15
sm612_2,1,1.5294117647058822,1.0675700831106787,0.5294117647058822,11,9.117647058823529,5.510017615003337,1.882352941176471,1.3529411764705888,17
