Session ID,u1759795405239
Completed At,2025-10-07 00:21:13.193Z
Created At,2025-10-07 00:03:25.239Z

User Data
(no demographics found),

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 00:04:36.171Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-07 00:05:13.618Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 00:05:53.207Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-07 00:05:59.461Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-07 00:06:00.254Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-07 00:06:01.179Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-07 00:06:03.958Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-07 00:06:04.187Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-07 00:06:04.640Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-07 00:06:04.855Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-07 00:06:10.516Z,GAME_ACTION,left,7.0,9.0,,,,,,,
2025-10-07 00:06:11.559Z,GAME_ACTION,left,6.0,9.0,,,,,,,
2025-10-07 00:06:13.168Z,GAME_ACTION,up,5.0,9.0,,,,,,,
2025-10-07 00:06:13.384Z,GAME_ACTION,up,5.0,8.0,,,,,,,
2025-10-07 00:06:15.198Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-07 00:06:16.378Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-07 00:06:18.728Z,GAME_ACTION,right,5.0,5.0,,,,,,,
2025-10-07 00:06:18.970Z,GAME_ACTION,right,6.0,5.0,,,,,,,
2025-10-07 00:06:19.255Z,GAME_ACTION,right,7.0,5.0,,,,,,,
