Session ID,u1760721594830
Completed At,2025-10-17 17:35:18.509Z
Created At,2025-10-17 17:19:54.830Z

User Data
prolificId,5f6fd1451758e95a989623b2
age,52
gender,male
feedback,A very annoying game
timestamp,1760722518320

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-17 17:24:15.741Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-17 17:24:22.937Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: new_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-17 17:19:54.969Z,LEVEL_START,,,,,,,,,,
2025-10-17 17:24:39.938Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-17 17:24:46.150Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-17 17:24:49.904Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-17 17:24:51.679Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-17 17:24:52.528Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-17 17:24:53.309Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-17 17:24:54.052Z,AGENT_OBSERVE,,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:01.397Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:02.042Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:04.001Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:04.474Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:04.870Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:06.085Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:06.086Z,INTERACTION,,8.0,5.0,5.0,11.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-17 17:25:08.343Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:08.777Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:09.210Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:10.639Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:11.073Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:11.440Z,GAME_ACTION,down,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:11.873Z,GAME_ACTION,down,5.0,8.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:14.210Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:14.537Z,GAME_ACTION,right,6.0,9.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:14.837Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:15.280Z,GAME_ACTION,right,8.0,9.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:15.281Z,INTERACTION,,8.0,9.0,5.0,11.0,,experienced1,,treasure_interaction,B
2025-10-17 17:25:15.281Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,,experienced1,,,
2025-10-17 17:25:18.282Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,39.0,experienced1,,,

Level: new_s112_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-17 17:25:18.365Z,LEVEL_START,,,,,,,,,,
2025-10-17 17:25:18.370Z,LEVEL_START,,,,,,,,,,
2025-10-17 17:25:39.143Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-17 17:25:41.025Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-17 17:25:42.771Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced2,,,
2025-10-17 17:25:43.331Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-17 17:25:43.822Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced2,,,
2025-10-17 17:25:44.314Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:46.187Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:46.689Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:47.104Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:47.548Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:47.548Z,INTERACTION,,5.0,10.0,5.0,10.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-17 17:25:52.160Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:53.174Z,GAME_ACTION,left,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:53.511Z,GAME_ACTION,left,4.0,9.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:53.907Z,GAME_ACTION,left,3.0,9.0,5.0,10.0,,experienced2,,,
2025-10-17 17:25:54.378Z,GAME_ACTION,left,2.0,9.0,5.0,10.0,,experienced2,,,
