Session ID,u1760822845894
Completed At,2025-10-18 21:43:22.253Z
Created At,2025-10-18 21:27:25.894Z

User Data
prolificId,61122e76be4db8a1593ce3f8
age,47
gender,male
feedback,fun
timestamp,1760823802019

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:31:09.471Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:27:26.006Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:27:26.073Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:27:26.074Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:31:26.350Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-18 21:31:27.642Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-18 21:31:29.232Z,GAME_ACTION,right,5.0,5.0,,,,,,,
2025-10-18 21:31:30.861Z,GAME_ACTION,right,6.0,5.0,,,,,,,
2025-10-18 21:31:31.431Z,GAME_ACTION,right,7.0,5.0,,,,,,,
2025-10-18 21:31:32.507Z,GAME_ACTION,right,8.0,5.0,,,,,,,
2025-10-18 21:31:32.507Z,INTERACTION,,8.0,5.0,,,,,,wizard_interaction,blueAmulet
2025-10-18 21:31:34.953Z,GAME_ACTION,left,8.0,5.0,,,,,,,
2025-10-18 21:31:35.275Z,GAME_ACTION,left,7.0,5.0,,,,,,,
2025-10-18 21:31:35.598Z,GAME_ACTION,left,6.0,5.0,,,,,,,
2025-10-18 21:31:36.791Z,GAME_ACTION,down,5.0,5.0,,,,,,,
2025-10-18 21:31:37.054Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-18 21:31:37.308Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-18 21:31:37.622Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-18 21:31:39.521Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-18 21:31:39.737Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-18 21:31:39.993Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-18 21:31:41.582Z,GAME_ACTION,right,8.0,9.0,,,,,,,
2025-10-18 21:31:41.582Z,INTERACTION,,8.0,9.0,,,,,,treasure_interaction,B
2025-10-18 21:31:41.582Z,LEVEL_COMPLETE,,8.0,9.0,,,,,,,
2025-10-18 21:31:44.585Z,LEVEL_COMPLETE,,8.0,9.0,,,46.0,experienced2,,,

Level: s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:31:44.698Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:31:44.704Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:32:01.047Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-18 21:32:05.313Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-18 21:32:07.374Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-18 21:32:07.695Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced1,,,
2025-10-18 21:32:07.959Z,GAME_ACTION,down,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-18 21:32:08.215Z,INTERACTION,,5.0,9.0,5.0,6.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-18 21:32:08.215Z,GAME_ACTION,down,5.0,10.0,5.0,6.0,,experienced1,,,
