Session ID,u1760998410291
Completed At,2025-10-20 22:26:10.089Z
Created At,2025-10-20 22:13:30.291Z

User Data
prolificId,5fb7b7f50ffe7e37260a0b8a
age,28
gender,male
timestamp,1760999169834

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:15:47.995Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 22:15:51.264Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:26:00.721Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:13:30.415Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:13:30.469Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:16:03.973Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-20 22:16:07.588Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-20 22:16:10.102Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-20 22:16:10.654Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-20 22:16:11.283Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-20 22:16:16.375Z,GAME_ACTION,left,7.0,9.0,,,,,,,
2025-10-20 22:16:17.039Z,GAME_ACTION,left,6.0,9.0,,,,,,,
2025-10-20 22:16:17.565Z,GAME_ACTION,up,5.0,9.0,,,,,,,
2025-10-20 22:16:18.061Z,GAME_ACTION,up,5.0,8.0,,,,,,,
2025-10-20 22:16:18.531Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-20 22:16:19.015Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-20 22:16:19.658Z,GAME_ACTION,left,5.0,5.0,,,,,,,
2025-10-20 22:16:20.018Z,GAME_ACTION,left,4.0,5.0,,,,,,,
2025-10-20 22:16:20.363Z,GAME_ACTION,left,3.0,5.0,,,,,,,
2025-10-20 22:16:20.825Z,GAME_ACTION,left,2.0,5.0,,,,,,,
2025-10-20 22:16:20.825Z,INTERACTION,,2.0,5.0,,,,,,wizard_interaction,
2025-10-20 22:16:22.872Z,GAME_ACTION,right,2.0,5.0,,,,,,,
2025-10-20 22:16:23.404Z,GAME_ACTION,right,3.0,5.0,,,,,,,
2025-10-20 22:16:23.846Z,GAME_ACTION,right,4.0,5.0,,,,,,,
2025-10-20 22:16:24.253Z,GAME_ACTION,right,5.0,5.0,,,,,,,
2025-10-20 22:16:24.605Z,GAME_ACTION,right,6.0,5.0,,,,,,,
2025-10-20 22:16:25.007Z,GAME_ACTION,right,7.0,5.0,,,,,,,
2025-10-20 22:16:25.317Z,GAME_ACTION,right,8.0,5.0,,,,,,,
2025-10-20 22:16:25.317Z,INTERACTION,,8.0,5.0,,,,,,wizard_interaction,blueAmulet
2025-10-20 22:16:28.839Z,AGENT_OBSERVE,,8.0,5.0,5.0,5.0,,experienced1,,,
2025-10-20 22:16:30.545Z,AGENT_OBSERVE,,8.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 22:16:31.208Z,AGENT_OBSERVE,,8.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 22:16:31.775Z,AGENT_OBSERVE,,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 22:16:32.293Z,AGENT_OBSERVE,,8.0,5.0,5.0,9.0,,experienced1,,,
2025-10-20 22:16:32.880Z,AGENT_OBSERVE,,8.0,5.0,5.0,10.0,,experienced1,,,
2025-10-20 22:16:33.343Z,AGENT_OBSERVE,,8.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:43.532Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:44.029Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:44.520Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:44.907Z,GAME_ACTION,left,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:46.199Z,GAME_ACTION,right,4.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:48.067Z,GAME_ACTION,up,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:48.702Z,GAME_ACTION,left,5.0,4.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:49.295Z,GAME_ACTION,up,5.0,4.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:50.428Z,GAME_ACTION,right,5.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:50.837Z,GAME_ACTION,right,6.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:51.210Z,GAME_ACTION,right,7.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:51.659Z,GAME_ACTION,right,8.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:52.468Z,GAME_ACTION,up,9.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:52.709Z,INTERACTION,,9.0,3.0,5.0,11.0,,experienced1,,wizard_interaction,
2025-10-20 22:16:52.709Z,GAME_ACTION,up,9.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:54.664Z,GAME_ACTION,right,9.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:56.280Z,GAME_ACTION,down,9.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:56.812Z,GAME_ACTION,left,9.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:57.213Z,GAME_ACTION,left,8.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:57.648Z,GAME_ACTION,left,7.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:58.063Z,GAME_ACTION,left,6.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:58.484Z,GAME_ACTION,left,5.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:58.871Z,GAME_ACTION,left,4.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:59.279Z,GAME_ACTION,left,3.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:16:59.852Z,GAME_ACTION,left,2.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:00.585Z,GAME_ACTION,up,1.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:01.290Z,GAME_ACTION,up,1.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:01.290Z,INTERACTION,,1.0,2.0,5.0,11.0,,experienced1,,wizard_interaction,
2025-10-20 22:17:03.930Z,GAME_ACTION,down,1.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:05.831Z,GAME_ACTION,right,1.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:06.196Z,GAME_ACTION,right,2.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:06.659Z,GAME_ACTION,right,3.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:06.984Z,GAME_ACTION,right,4.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:07.806Z,GAME_ACTION,up,5.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:08.373Z,GAME_ACTION,up,5.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:08.373Z,INTERACTION,,5.0,2.0,5.0,11.0,,experienced1,,wizard_interaction,redAmulet
2025-10-20 22:17:12.146Z,GAME_ACTION,down,5.0,2.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:13.003Z,GAME_ACTION,down,5.0,3.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:13.452Z,GAME_ACTION,down,5.0,4.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:13.824Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:14.370Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:15.076Z,GAME_ACTION,left,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:15.456Z,GAME_ACTION,left,4.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:16.540Z,GAME_ACTION,left,3.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:17.252Z,GAME_ACTION,left,2.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:17.252Z,INTERACTION,,2.0,7.0,5.0,11.0,,experienced1,,treasure_interaction,A
2025-10-20 22:17:20.570Z,GAME_ACTION,right,1.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:21.154Z,GAME_ACTION,down,2.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:21.734Z,GAME_ACTION,down,2.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:22.867Z,GAME_ACTION,right,2.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 22:17:23.317Z,GAME_ACTION,right,3.0,7.0,5.0,11.0,,experienced1,,,
