file,level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation
u1770049899541.csv,comprehension_check,0,0,0,1,0.0
u1770049899541.csv,experiment,0,0,0,1,0.0
u1770049899541.csv,s111_1,0,0,0,1,0.0
u1770049899541.csv,sm111_1,50,25,25,1,50.0
u1770049899541.csv,sm112_1,0,0,0,1,0.0
u1770049899541.csv,sm221_1,3,0,3,1,3.0
u1770049899541.csv,sm311_2,8,0,8,1,8.0
u1770049899541.csv,sm371_2,0,0,0,1,0.0
u1770049899541.csv,sm431_1,25,25,0,1,25.0
u1770049899541.csv,sm511_2,9,0,9,1,9.0
u1770049899541.csv,sm521_1,19,11,8,1,19.0
u1770049899541.csv,sm531_2,9,0,9,1,9.0
u1770049899541.csv,sm541_1,5,0,5,1,5.0
u1770049899541.csv,sm543_2,0,0,0,1,0.0
u1770049899541.csv,sm611_2,8,0,8,1,8.0
u1770058433847.csv,comprehension_check,0,0,0,1,0.0
u1770058433847.csv,experiment,0,0,0,1,0.0
u1770058433847.csv,s111_1,0,0,0,1,0.0
u1770058433847.csv,sm111_1,16,0,16,1,16.0
u1770058433847.csv,sm112_1,4,0,4,1,4.0
u1770058433847.csv,sm311_1,8,0,8,1,8.0
u1770058433847.csv,sm321_1,9,0,9,1,9.0
u1770058433847.csv,sm331_2,7,0,7,1,7.0
u1770058433847.csv,sm351_2,9,0,9,1,9.0
u1770058433847.csv,sm411_1,14,1,13,1,14.0
u1770058433847.csv,sm421_1,8,8,0,1,8.0
u1770058433847.csv,sm432_1,9,0,9,1,9.0
u1770058433847.csv,sm531_1,4,4,0,1,4.0
u1770058433847.csv,sm541_1,6,6,0,1,6.0
u1770058433847.csv,sm612_1,2,2,0,1,2.0
u1770138243344.csv,comprehension_check,0,0,0,1,0.0
u1770138243344.csv,experiment,0,0,0,1,0.0
u1770138243344.csv,s111_1,0,0,0,1,0.0
u1770138243344.csv,sm111_1,1,1,0,1,1.0
u1770138243344.csv,sm112_1,14,1,13,1,14.0
u1770138243344.csv,sm221_1,6,0,6,1,6.0
