Session ID,u1759879375723
Completed At,2025-10-07 23:33:06.503Z
Created At,2025-10-07 23:22:55.723Z

User Data
prolificId,5685850c333cbd000d4e042f
age,31
gender,male
feedback,I have no feedback.
timestamp,1759879986401

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:25:34.814Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:22:55.930Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:25:47.753Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:25:49.043Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:52.110Z,GAME_ACTION,up,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:52.992Z,GAME_ACTION,up,5.0,6.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:53.843Z,GAME_ACTION,right,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:54.305Z,GAME_ACTION,right,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:54.885Z,GAME_ACTION,right,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:55.817Z,GAME_ACTION,right,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:55.818Z,INTERACTION,,8.0,5.0,6.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-07 23:25:57.735Z,GAME_ACTION,left,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:58.183Z,GAME_ACTION,left,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:58.555Z,GAME_ACTION,left,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:59.602Z,GAME_ACTION,down,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:25:59.949Z,GAME_ACTION,down,5.0,6.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:00.307Z,GAME_ACTION,down,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:00.626Z,GAME_ACTION,down,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:01.855Z,GAME_ACTION,right,5.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:02.197Z,GAME_ACTION,right,6.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:02.572Z,GAME_ACTION,right,7.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:03.552Z,GAME_ACTION,right,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:03.552Z,INTERACTION,,8.0,9.0,6.0,5.0,,experienced1,,treasure_interaction,A
2025-10-07 23:26:03.552Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:26:06.566Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,24.0,experienced1,,,

Level: mod_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:26:06.626Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:26:06.630Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:26:18.863Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:26:19.961Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:25.187Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:25.879Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:27.867Z,GAME_ACTION,left,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:28.626Z,GAME_ACTION,left,4.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:29.165Z,GAME_ACTION,left,3.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:29.663Z,GAME_ACTION,left,2.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:30.286Z,GAME_ACTION,down,1.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:26:31.090Z,GAME_ACTION,down,1.0,10.0,5.0,6.0,,experienced1,,,
