Session ID,u1760977535112
Completed At,2025-10-20 16:32:39.290Z
Created At,2025-10-20 16:25:35.112Z

User Data
prolificId,7890
age,67
gender,female
feedback,awbdiauwbdiuabwdiu
timestamp,1760977959108

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 16:25:59.016Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 16:32:30.566Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 16:25:35.198Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 16:25:35.241Z,LEVEL_START,,,,,,,,,,
2025-10-20 16:25:35.242Z,LEVEL_START,,,,,,,,,,
2025-10-20 16:26:12.459Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-20 16:26:12.663Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-20 16:26:12.834Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced2,,,
2025-10-20 16:26:12.995Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-20 16:26:13.179Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced2,,,
2025-10-20 16:26:13.353Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 16:26:13.696Z,AGENT_OBSERVE,,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:15.239Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:15.393Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:17.246Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:17.418Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:17.587Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:17.810Z,INTERACTION,,7.0,5.0,5.0,11.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-20 16:26:17.810Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:18.487Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:18.651Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:18.821Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:19.830Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:20.029Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:20.202Z,GAME_ACTION,down,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:20.370Z,GAME_ACTION,down,5.0,8.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:23.946Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:24.118Z,GAME_ACTION,right,6.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:24.296Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:24.468Z,GAME_ACTION,right,8.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:24.468Z,INTERACTION,,8.0,9.0,5.0,11.0,,experienced2,,treasure_interaction,B
2025-10-20 16:26:24.468Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 16:26:27.471Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,39.0,experienced2,,,

Level: s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 16:26:27.555Z,LEVEL_START,,,,,,,,,,
2025-10-20 16:26:27.556Z,LEVEL_START,,,,,,,,,,
2025-10-20 16:26:44.468Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 16:26:44.731Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 16:26:44.973Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:46.416Z,GAME_ACTION,down,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:46.573Z,GAME_ACTION,down,5.0,8.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:46.715Z,GAME_ACTION,down,5.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:46.930Z,GAME_ACTION,down,5.0,10.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:46.930Z,INTERACTION,,5.0,10.0,5.0,7.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-20 16:26:47.505Z,GAME_ACTION,up,5.0,10.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:47.789Z,GAME_ACTION,left,5.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:47.916Z,GAME_ACTION,left,4.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:48.058Z,GAME_ACTION,left,3.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:48.198Z,GAME_ACTION,left,2.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:48.341Z,GAME_ACTION,left,1.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:48.898Z,GAME_ACTION,down,1.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:49.048Z,GAME_ACTION,down,1.0,10.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:49.048Z,INTERACTION,,1.0,10.0,5.0,7.0,,experienced1,,wizard_interaction,redAmulet
2025-10-20 16:26:49.721Z,GAME_ACTION,up,1.0,10.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:50.263Z,GAME_ACTION,right,1.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:50.418Z,GAME_ACTION,right,2.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:50.563Z,GAME_ACTION,right,3.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:50.709Z,GAME_ACTION,right,4.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:51.160Z,GAME_ACTION,up,5.0,9.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:51.296Z,GAME_ACTION,up,5.0,8.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:51.602Z,GAME_ACTION,left,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:51.739Z,GAME_ACTION,left,4.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:51.900Z,GAME_ACTION,left,3.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:52.056Z,GAME_ACTION,left,2.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:52.056Z,INTERACTION,,2.0,7.0,5.0,7.0,,experienced1,,treasure_interaction,B
2025-10-20 16:26:52.056Z,LEVEL_COMPLETE,,2.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 16:26:55.057Z,LEVEL_COMPLETE,,2.0,7.0,5.0,7.0,7.0,experienced1,,,

Level: s332_1
