Session ID,u1761683190362
Completed At,2025-10-28 20:27:00.462Z
Created At,2025-10-28 20:26:30.362Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: mod_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:26:30.509Z,LEVEL_START,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:26:30.460Z,LEVEL_START,,,,,,,,,,

Level: sm211_true
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:26:36.456Z,LEVEL_START,,,,,,,,,,
2025-10-28 20:26:38.396Z,AGENT_OBSERVE,,7.0,9.0,1.0,5.0,,experienced4,,,
2025-10-28 20:26:38.852Z,AGENT_OBSERVE,,7.0,9.0,2.0,4.0,,experienced3,,,
2025-10-28 20:26:41.060Z,AGENT_OBSERVE,,7.0,9.0,1.0,5.0,,experienced4,,,
2025-10-28 20:26:41.417Z,AGENT_OBSERVE,,7.0,9.0,2.0,5.0,,experienced4,,,
2025-10-28 20:26:42.060Z,AGENT_OBSERVE,,7.0,9.0,2.0,6.0,,experienced4,,,
2025-10-28 20:26:42.360Z,AGENT_OBSERVE,,7.0,9.0,2.0,7.0,,experienced4,,,
2025-10-28 20:26:44.077Z,AGENT_OBSERVE,,7.0,9.0,2.0,8.0,,experienced4,,,
2025-10-28 20:26:44.252Z,AGENT_OBSERVE,,7.0,9.0,2.0,9.0,,experienced4,,,
2025-10-28 20:26:44.421Z,AGENT_OBSERVE,,7.0,9.0,3.0,9.0,,experienced4,,,
2025-10-28 20:26:44.604Z,AGENT_OBSERVE,,7.0,9.0,4.0,9.0,,experienced4,,,
2025-10-28 20:26:44.785Z,AGENT_OBSERVE,,7.0,9.0,5.0,9.0,,experienced4,,,
2025-10-28 20:26:45.111Z,AGENT_OBSERVE,,7.0,9.0,6.0,9.0,,experienced4,,,
2025-10-28 20:26:45.779Z,AGENT_OBSERVE,,7.0,9.0,2.0,5.0,,experienced3,,,
2025-10-28 20:26:45.971Z,AGENT_OBSERVE,,7.0,9.0,1.0,5.0,,experienced3,,,
2025-10-28 20:26:46.154Z,AGENT_OBSERVE,,7.0,9.0,1.0,5.0,,experienced3,,,
2025-10-28 20:26:46.320Z,AGENT_OBSERVE,,7.0,9.0,2.0,5.0,,experienced3,,,
2025-10-28 20:26:46.736Z,AGENT_OBSERVE,,7.0,9.0,2.0,6.0,,experienced3,,,
2025-10-28 20:26:46.921Z,AGENT_OBSERVE,,7.0,9.0,2.0,7.0,,experienced3,,,
2025-10-28 20:26:47.110Z,AGENT_OBSERVE,,7.0,9.0,2.0,8.0,,experienced3,,,
2025-10-28 20:26:47.288Z,AGENT_OBSERVE,,7.0,9.0,2.0,9.0,,experienced3,,,
2025-10-28 20:26:47.505Z,AGENT_OBSERVE,,7.0,9.0,3.0,9.0,,experienced3,,,

