Session ID,u1761072792422
Completed At,2025-10-21 19:04:32.104Z
Created At,2025-10-21 18:53:12.422Z

User Data
prolificId,66d88375799e00b593a8655f
age,50
gender,female
feedback,"Very interesting and fun game,   i actually got tricked on the one level."
timestamp,1761073484559

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 18:56:42.605Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:04:02.224Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: mod_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 18:53:13.270Z,LEVEL_START,,,,,,,,,,
2025-10-21 18:56:55.005Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-21 18:56:57.458Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-21 18:56:58.985Z,AGENT_OBSERVE,,5.0,7.0,7.0,5.0,,experienced1,,,
2025-10-21 18:57:00.823Z,AGENT_OBSERVE,,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:04.650Z,GAME_ACTION,up,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:05.109Z,GAME_ACTION,up,5.0,6.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:06.255Z,GAME_ACTION,right,5.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:06.608Z,GAME_ACTION,right,6.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:06.942Z,GAME_ACTION,right,7.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:07.306Z,GAME_ACTION,right,8.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:07.307Z,INTERACTION,,8.0,5.0,8.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 18:57:09.262Z,GAME_ACTION,left,8.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:09.692Z,GAME_ACTION,left,7.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:10.280Z,GAME_ACTION,left,6.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:11.445Z,GAME_ACTION,down,5.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:11.702Z,GAME_ACTION,down,5.0,6.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:11.897Z,GAME_ACTION,down,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:12.152Z,GAME_ACTION,down,5.0,8.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:13.145Z,GAME_ACTION,right,5.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:13.347Z,GAME_ACTION,right,6.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:13.646Z,GAME_ACTION,right,7.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:14.561Z,GAME_ACTION,right,8.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:14.561Z,INTERACTION,,8.0,9.0,8.0,5.0,,experienced1,,treasure_interaction,A
2025-10-21 18:57:14.561Z,LEVEL_COMPLETE,,8.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 18:57:17.565Z,LEVEL_COMPLETE,,8.0,9.0,8.0,5.0,32.0,experienced1,,,

Level: mod_s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 18:57:17.753Z,LEVEL_START,,,,,,,,,,
2025-10-21 18:57:17.762Z,LEVEL_START,,,,,,,,,,
2025-10-21 18:57:29.093Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-21 18:57:29.809Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-21 18:57:30.739Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-21 18:57:31.519Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-21 18:57:32.021Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-21 18:57:33.515Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:34.177Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:37.269Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:37.457Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:37.634Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:37.816Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:37.816Z,INTERACTION,,5.0,10.0,5.0,10.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 18:57:38.005Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:40.136Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:41.288Z,GAME_ACTION,left,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:41.590Z,GAME_ACTION,left,4.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:41.786Z,GAME_ACTION,left,3.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:42.020Z,GAME_ACTION,left,2.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:42.959Z,GAME_ACTION,down,1.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:43.164Z,GAME_ACTION,down,1.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:43.164Z,INTERACTION,,1.0,10.0,5.0,10.0,,experienced1,,wizard_interaction,redAmulet
2025-10-21 18:57:44.659Z,GAME_ACTION,up,1.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:45.969Z,GAME_ACTION,right,1.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:46.156Z,GAME_ACTION,right,2.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:46.362Z,GAME_ACTION,right,3.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:46.570Z,GAME_ACTION,right,4.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:46.764Z,GAME_ACTION,right,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:46.972Z,GAME_ACTION,right,6.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:47.202Z,GAME_ACTION,right,7.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:47.382Z,GAME_ACTION,right,8.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:47.382Z,INTERACTION,,8.0,9.0,5.0,10.0,,experienced1,,treasure_interaction,A
2025-10-21 18:57:47.382Z,LEVEL_COMPLETE,,8.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 18:57:50.383Z,LEVEL_COMPLETE,,8.0,9.0,5.0,10.0,29.0,experienced1,,,

Level: mod_s311_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:00:20.337Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:00:20.348Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:00:34.380Z,AGENT_OBSERVE,,2.0,7.0,2.0,4.0,,experienced1,,,
2025-10-21 19:00:34.952Z,AGENT_OBSERVE,,2.0,7.0,2.0,3.0,,experienced1,,,
2025-10-21 19:00:35.460Z,AGENT_OBSERVE,,2.0,7.0,3.0,3.0,,experienced1,,,
2025-10-21 19:00:35.996Z,AGENT_OBSERVE,,2.0,7.0,4.0,3.0,,experienced1,,,
2025-10-21 19:00:36.618Z,AGENT_OBSERVE,,2.0,7.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:39.240Z,GAME_ACTION,up,2.0,7.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:39.438Z,GAME_ACTION,up,2.0,6.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:39.620Z,GAME_ACTION,up,2.0,5.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:39.810Z,GAME_ACTION,up,2.0,4.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:40.644Z,GAME_ACTION,right,2.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:40.828Z,GAME_ACTION,right,3.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:41.020Z,GAME_ACTION,right,4.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:41.238Z,GAME_ACTION,right,5.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:41.568Z,GAME_ACTION,right,6.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:41.756Z,GAME_ACTION,right,7.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:41.972Z,GAME_ACTION,right,8.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:42.422Z,GAME_ACTION,right,9.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:42.968Z,GAME_ACTION,up,10.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:43.152Z,GAME_ACTION,up,10.0,2.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:43.352Z,INTERACTION,,10.0,2.0,5.0,3.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 19:00:43.352Z,GAME_ACTION,up,10.0,1.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:45.020Z,GAME_ACTION,down,10.0,1.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:45.433Z,GAME_ACTION,down,10.0,2.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:46.605Z,GAME_ACTION,left,10.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:46.782Z,GAME_ACTION,left,9.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:46.968Z,GAME_ACTION,left,8.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:47.141Z,GAME_ACTION,left,7.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:47.325Z,GAME_ACTION,left,6.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:47.512Z,GAME_ACTION,left,5.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:47.712Z,GAME_ACTION,left,4.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:48.060Z,GAME_ACTION,left,3.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:48.967Z,GAME_ACTION,down,2.0,3.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:49.150Z,GAME_ACTION,down,2.0,4.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:49.359Z,GAME_ACTION,down,2.0,5.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:49.588Z,GAME_ACTION,down,2.0,6.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:49.778Z,GAME_ACTION,down,2.0,7.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:50.005Z,GAME_ACTION,down,2.0,8.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:50.878Z,GAME_ACTION,right,2.0,9.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:51.276Z,GAME_ACTION,right,3.0,9.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:51.883Z,GAME_ACTION,down,4.0,9.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:52.437Z,INTERACTION,,4.0,9.0,5.0,3.0,,experienced1,,treasure_interaction,A
2025-10-21 19:00:52.437Z,LEVEL_COMPLETE,,4.0,9.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:52.437Z,GAME_ACTION,down,4.0,10.0,5.0,3.0,,experienced1,,,
2025-10-21 19:00:55.446Z,LEVEL_COMPLETE,,4.0,10.0,5.0,3.0,27.0,experienced1,,,

Level: mod_s331_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:01:27.208Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:01:27.221Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:01:40.379Z,AGENT_OBSERVE,,3.0,11.0,2.0,2.0,,experienced1,,,
2025-10-21 19:01:41.572Z,GAME_ACTION,up,3.0,11.0,2.0,2.0,,experienced1,,,
2025-10-21 19:01:41.764Z,GAME_ACTION,up,3.0,10.0,2.0,2.0,,experienced1,,,
2025-10-21 19:01:41.946Z,GAME_ACTION,up,3.0,9.0,2.0,2.0,,experienced1,,,
2025-10-21 19:01:42.154Z,GAME_ACTION,up,3.0,8.0,2.0,2.0,,experienced1,,,
2025-10-21 19:01:42.380Z,GAME_ACTION,up,3.0,7.0,2.0,2.0,,experienced1,,,
