Session ID,u1761064621663
Completed At,2025-10-21 16:51:21.719Z
Created At,2025-10-21 16:37:01.663Z

User Data
prolificId,6501f7c274092e1270832a17
age,50
gender,male
timestamp,1761065481261

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 16:40:33.742Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 16:51:12.655Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: mod_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 16:37:01.839Z,LEVEL_START,,,,,,,,,,
2025-10-21 16:40:48.579Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-21 16:40:50.615Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-21 16:40:51.594Z,AGENT_OBSERVE,,5.0,7.0,7.0,5.0,,experienced1,,,
2025-10-21 16:40:53.251Z,AGENT_OBSERVE,,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 16:40:54.048Z,AGENT_OBSERVE,,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 16:40:55.577Z,AGENT_OBSERVE,,5.0,7.0,7.0,5.0,,experienced1,,,
2025-10-21 16:40:56.217Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-21 16:40:58.058Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-21 16:40:58.965Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-21 16:40:59.661Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-21 16:40:59.706Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-21 16:41:02.450Z,GAME_ACTION,up,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-21 16:41:04.904Z,AGENT_OBSERVE,,5.0,6.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:08.500Z,GAME_ACTION,up,5.0,6.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:09.556Z,GAME_ACTION,right,5.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:10.966Z,GAME_ACTION,right,6.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:11.562Z,GAME_ACTION,right,7.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:13.107Z,INTERACTION,,7.0,5.0,5.0,9.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 16:41:13.107Z,GAME_ACTION,right,8.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:14.994Z,GAME_ACTION,left,8.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:15.072Z,GAME_ACTION,left,7.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:15.428Z,GAME_ACTION,left,6.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:17.007Z,GAME_ACTION,down,5.0,5.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:17.460Z,GAME_ACTION,down,5.0,6.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:19.078Z,GAME_ACTION,down,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:19.704Z,GAME_ACTION,down,5.0,8.0,5.0,9.0,,experienced1,,,
2025-10-21 16:41:21.484Z,AGENT_OBSERVE,,5.0,9.0,6.0,9.0,,experienced1,,,
2025-10-21 16:41:22.320Z,AGENT_OBSERVE,,5.0,9.0,7.0,9.0,,experienced1,,,
2025-10-21 16:41:23.041Z,AGENT_OBSERVE,,5.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:26.297Z,GAME_ACTION,right,5.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:26.756Z,GAME_ACTION,right,6.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:27.225Z,GAME_ACTION,right,7.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:29.099Z,GAME_ACTION,right,8.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:29.100Z,INTERACTION,,8.0,9.0,8.0,9.0,,experienced1,,treasure_interaction,A
2025-10-21 16:41:29.100Z,LEVEL_COMPLETE,,8.0,9.0,8.0,9.0,,experienced1,,,
2025-10-21 16:41:32.100Z,LEVEL_COMPLETE,,8.0,9.0,8.0,9.0,21.0,experienced1,,,

Level: mod_s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
