Session ID,u1760994597633
Completed At,2025-10-20 21:23:37.973Z
Created At,2025-10-20 21:09:57.633Z

User Data
prolificId,5d0845f9e4b46500019376af
age,29
gender,female
feedback,"A lot of the time you only need to see the other agent move once. In some cases, there is not much value in letting it move more than that, as its movement also costs you. In the last maze, for instance, letting it go to the correct of the three wizards in the upper-left corner is more expensive than just brute-forcing them yourself."
timestamp,1760995563222

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:13:39.775Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:23:07.975Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:09:57.732Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:13:57.173Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 21:13:59.735Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:06.083Z,GAME_ACTION,up,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:06.980Z,GAME_ACTION,up,5.0,6.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:07.970Z,GAME_ACTION,right,5.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:08.163Z,GAME_ACTION,right,6.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:08.626Z,GAME_ACTION,right,7.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:09.625Z,GAME_ACTION,right,8.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:09.625Z,INTERACTION,,8.0,5.0,5.0,6.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-20 21:14:13.117Z,GAME_ACTION,left,8.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:13.564Z,GAME_ACTION,left,7.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:13.903Z,GAME_ACTION,left,6.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:15.474Z,GAME_ACTION,down,5.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:15.853Z,GAME_ACTION,down,5.0,6.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:16.251Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:16.656Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:17.861Z,GAME_ACTION,right,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:18.144Z,GAME_ACTION,right,6.0,9.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:18.602Z,GAME_ACTION,right,7.0,9.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:20.374Z,GAME_ACTION,right,8.0,9.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:20.374Z,INTERACTION,,8.0,9.0,5.0,6.0,,experienced1,,treasure_interaction,B
2025-10-20 21:14:20.375Z,LEVEL_COMPLETE,,8.0,9.0,5.0,6.0,,experienced1,,,
2025-10-20 21:14:23.375Z,LEVEL_COMPLETE,,8.0,9.0,5.0,6.0,44.0,experienced1,,,

Level: s112_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:14:23.498Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:14:23.502Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:14:41.034Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:46.326Z,GAME_ACTION,down,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:47.735Z,GAME_ACTION,down,5.0,8.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:49.546Z,GAME_ACTION,left,5.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:49.755Z,GAME_ACTION,left,4.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:49.955Z,GAME_ACTION,left,3.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:50.185Z,GAME_ACTION,left,2.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:51.312Z,GAME_ACTION,down,1.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:51.488Z,GAME_ACTION,down,1.0,10.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:51.488Z,INTERACTION,,1.0,10.0,5.0,5.0,,experienced2,,wizard_interaction,redAmulet
2025-10-20 21:14:53.220Z,GAME_ACTION,up,1.0,10.0,5.0,5.0,,experienced2,,,
2025-10-20 21:14:54.226Z,GAME_ACTION,right,1.0,9.0,5.0,5.0,,experienced2,,,
