Session ID,u1760998257574
Completed At,2025-10-20 22:23:23.226Z
Created At,2025-10-20 22:10:57.574Z

User Data
prolificId,63d83a19b8acced30d2e0d32
age,36
gender,male
timestamp,1760999002929

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:11:10.835Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 22:11:14.626Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 22:11:17.359Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:23:10.438Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:10:57.710Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:10:57.780Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:10:57.785Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:11:32.070Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-20 22:11:35.878Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-20 22:11:36.485Z,GAME_ACTION,down,5.0,9.0,,,,,,,
2025-10-20 22:11:37.019Z,GAME_ACTION,down,5.0,10.0,,,,,,,
2025-10-20 22:11:37.019Z,INTERACTION,,5.0,10.0,,,,,,treasure_interaction,C
2025-10-20 22:11:40.942Z,GAME_ACTION,up,5.0,11.0,,,,,,,
2025-10-20 22:11:41.541Z,GAME_ACTION,up,5.0,10.0,,,,,,,
2025-10-20 22:11:42.871Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-20 22:11:43.100Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-20 22:11:43.297Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-20 22:11:43.527Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-20 22:11:45.186Z,AGENT_OBSERVE,,7.0,9.0,5.0,5.0,,experienced2,,,
2025-10-20 22:11:46.416Z,AGENT_OBSERVE,,7.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 22:11:47.039Z,AGENT_OBSERVE,,7.0,9.0,5.0,7.0,,experienced2,,,
2025-10-20 22:11:47.327Z,AGENT_OBSERVE,,7.0,9.0,5.0,8.0,,experienced2,,,
2025-10-20 22:11:48.271Z,AGENT_OBSERVE,,7.0,9.0,5.0,9.0,,experienced2,,,
2025-10-20 22:11:50.101Z,AGENT_OBSERVE,,7.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 22:11:52.366Z,GAME_ACTION,left,7.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 22:11:52.580Z,GAME_ACTION,left,6.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 22:11:52.826Z,GAME_ACTION,left,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 22:11:54.336Z,AGENT_OBSERVE,,4.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.018Z,GAME_ACTION,right,4.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.198Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.370Z,GAME_ACTION,right,6.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.551Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.723Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:01.920Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:11.745Z,GAME_ACTION,left,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:12.213Z,GAME_ACTION,left,6.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:13.369Z,GAME_ACTION,up,5.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:13.583Z,GAME_ACTION,up,5.0,8.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:13.805Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:14.092Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:15.602Z,GAME_ACTION,left,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:15.783Z,GAME_ACTION,left,4.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:15.971Z,GAME_ACTION,left,3.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:16.152Z,GAME_ACTION,left,2.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:16.152Z,INTERACTION,,2.0,5.0,5.0,11.0,,experienced2,,wizard_interaction,
2025-10-20 22:12:16.374Z,GAME_ACTION,left,2.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:18.507Z,GAME_ACTION,right,2.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:18.696Z,GAME_ACTION,right,3.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:18.876Z,GAME_ACTION,right,4.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:19.066Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:19.246Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:19.443Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:19.615Z,INTERACTION,,7.0,5.0,5.0,11.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-20 22:12:19.615Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:19.804Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:23.095Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:23.268Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:23.522Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:24.564Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:24.753Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:24.942Z,GAME_ACTION,down,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:25.115Z,GAME_ACTION,down,5.0,8.0,5.0,11.0,,experienced2,,,
2025-10-20 22:12:26.329Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,experienced2,,,
