level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,79,9,70,4,19.75,3.7206731038678806,11.0,25.25
sm521_1,57,13,44,3,19.0,0.47266639888588113,18.0,20.0
sm111_1,262,121,141,15,17.466666666666665,3.685062250553866,10.998333333333333,25.666666666666668
sm112_1,235,72,163,15,15.666666666666666,2.4517223887627346,11.266666666666667,20.866666666666667
sm411_1,60,12,48,4,15.0,1.3103093759340427,12.75,18.0
sm612_2,53,3,50,4,13.25,0.7996523503256784,12.0,15.0
sm361_1,51,12,39,4,12.75,1.4873954064387502,11.0,16.25
sm511_2,35,26,9,3,11.666666666666666,1.05964992760826,9.0,13.0
sm431_1,55,55,0,5,11.0,3.2027490444056714,6.6,18.0
sm541_2,21,2,19,2,10.5,1.732368638916412,8.0,13.0
sm341_1,52,2,50,5,10.4,0.9868969579472853,8.2,11.8
sm351_2,52,12,40,5,10.4,0.6728231944954418,9.2,11.8
sm311_2,30,13,17,3,10.0,1.6726152102745098,8.0,14.0
sm321_2,20,2,18,2,10.0,0.7088486908124091,9.0,11.0
sm432_2,30,0,30,3,10.0,1.6374142939447118,7.0,14.0
sm421_2,30,16,14,3,10.0,2.6519950079075207,4.0,15.0
sm421_1,50,50,0,5,10.0,1.7818470694700428,8.0,14.0
sm321_1,37,1,36,4,9.25,0.22694162796301276,9.0,9.75
sm432_1,37,0,37,4,9.25,0.22161577347077768,9.0,9.75
sm411_2,36,28,8,4,9.0,2.0610580772743643,5.0,13.0
sm531_2,36,3,33,4,9.0,0.3424283789271776,8.25,9.75
sm611_2,36,2,34,4,9.0,0.3547260641404583,8.25,9.75
sm311_1,24,7,17,3,8.0,2.4648444423110067,2.0,12.0
sm521_2,30,30,0,4,7.5,2.144257818358509,2.5,10.0
sm331_1,21,1,20,3,7.0,3.096158475985932,0.0,13.0
sm341_2,27,16,11,4,6.75,1.9673561549044036,2.0,10.25
sm431_2,20,2,18,3,6.666666666666667,2.678383917042839,0.0,10.0
sm351_1,18,0,18,3,6.0,2.496729392156398,0.0,9.0
sm331_2,36,1,35,6,6.0,1.5594367336508375,3.0,9.170833333333329
sm612_1,22,11,11,4,5.5,1.9173863383184857,2.0,9.0
sm211_1,16,1,15,3,5.333333333333333,0.2681938252979139,5.0,6.0
sm541_1,26,21,5,5,5.2,0.1819699784939073,5.0,5.6
sm361_2,9,9,0,2,4.5,0.3504290948973138,4.0,5.0
sm221_1,13,3,10,3,4.333333333333333,0.7295882164839965,3.0,6.0
sm531_1,21,13,8,5,4.2,0.8769933165522286,3.0,6.2
sm611_1,11,11,0,3,3.6666666666666665,1.3417723841653197,2.0,7.0
sm211_2,10,0,10,3,3.3333333333333335,1.4336782104045407,0.0,5.0
sm221_2,7,0,7,3,2.3333333333333335,0.5584413538004893,1.0,3.0
sm543_2,11,11,0,5,2.2,2.0112317153955717,0.0,6.6
sm371_2,4,4,0,5,0.8,0.7392124695072961,0.0,2.4
sm543_1,2,2,0,4,0.5,0.4464642542581996,0.0,1.5
experiment,0,0,0,15,0.0,0.0,0.0,0.0
sm371_1,0,0,0,4,0.0,0.0,0.0,0.0
s111_1,0,0,0,15,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,15,0.0,0.0,0.0,0.0
