Session ID,u1770060387016
Completed At,2026-02-02 19:57:14.178Z
Created At,2026-02-02 19:26:27.016Z

User Data
prolificId,570d30d942a1db000fc4cf87
age,63
gender,female
timestamp,1770062233845

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:36:54.120Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-02 19:39:35.862Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-02 19:39:42.323Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-02 19:41:13.088Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,failed
2026-02-02 19:45:26.666Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:56:52.789Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:26:27.101Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:26:27.149Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:45:47.253Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,2.0,8.0,,,,experienced1,,,
2026-02-02 19:45:52.430Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,3.0,8.0,,,,experienced1,,,
2026-02-02 19:45:53.914Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,4.0,8.0,,,,experienced1,,,
2026-02-02 19:45:55.428Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:45:56.840Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,7.0,,,,experienced1,,,
2026-02-02 19:46:00.153Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,6.0,,,,experienced1,,,
2026-02-02 19:46:01.032Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:46:01.739Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,4.0,,,,experienced1,,,
2026-02-02 19:46:02.428Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,3.0,,,,experienced1,,,
2026-02-02 19:46:03.110Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,2.0,,,,experienced1,,,
2026-02-02 19:46:03.943Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:46:04.696Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:11.854Z,GAME_ACTION,up,5.0,6.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:12.387Z,GAME_ACTION,up,5.0,5.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:12.740Z,GAME_ACTION,up,5.0,4.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:13.069Z,GAME_ACTION,up,5.0,3.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:13.398Z,GAME_ACTION,up,5.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:13.402Z,INTERACTION,,5.0,2.0,,,,7.0,2.0,,,,experienced1,,wizard_interaction,
2026-02-02 19:46:14.960Z,GAME_ACTION,right,5.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:15.299Z,GAME_ACTION,right,6.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:16.962Z,GAME_ACTION,right,7.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:17.699Z,GAME_ACTION,right,8.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:18.938Z,GAME_ACTION,up,9.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:18.939Z,INTERACTION,,9.0,2.0,,,,7.0,2.0,,,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 19:46:20.469Z,GAME_ACTION,down,9.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:22.094Z,GAME_ACTION,left,9.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:22.626Z,GAME_ACTION,left,8.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:23.278Z,GAME_ACTION,left,7.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:24.071Z,GAME_ACTION,left,6.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:25.288Z,GAME_ACTION,down,5.0,2.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:25.657Z,GAME_ACTION,down,5.0,3.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:25.987Z,GAME_ACTION,down,5.0,4.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:26.292Z,GAME_ACTION,down,5.0,5.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:26.616Z,GAME_ACTION,down,5.0,6.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:26.983Z,GAME_ACTION,down,5.0,7.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:28.474Z,GAME_ACTION,right,5.0,8.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:28.804Z,GAME_ACTION,right,6.0,8.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:29.134Z,GAME_ACTION,right,7.0,8.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:29.470Z,GAME_ACTION,right,8.0,8.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:29.471Z,INTERACTION,,8.0,8.0,,,,7.0,2.0,,,,experienced1,,treasure_interaction,B
2026-02-02 19:46:29.471Z,LEVEL_COMPLETE,,8.0,8.0,,,,7.0,2.0,,,,experienced1,,,
2026-02-02 19:46:32.472Z,LEVEL_COMPLETE,,8.0,8.0,,,,7.0,2.0,6.0,,,experienced1,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:46:32.562Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:46:32.572Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:46:47.870Z,GAME_ACTION,down,5.0,6.0,,,,,,,,,,,,
2026-02-02 19:46:49.478Z,GAME_ACTION,down,5.0,7.0,,,,,,,,,,,,
2026-02-02 19:46:50.976Z,GAME_ACTION,left,5.0,8.0,,,,,,,,,,,,
2026-02-02 19:46:51.526Z,GAME_ACTION,left,4.0,8.0,,,,,,,,,,,,
2026-02-02 19:46:52.132Z,GAME_ACTION,left,3.0,8.0,,,,,,,,,,,,
2026-02-02 19:46:52.784Z,GAME_ACTION,left,2.0,8.0,,,,,,,,,,,,
2026-02-02 19:46:54.172Z,GAME_ACTION,down,1.0,8.0,,,,,,,,,,,,
2026-02-02 19:46:54.862Z,GAME_ACTION,down,1.0,9.0,,,,,,,,,,,,
2026-02-02 19:46:54.863Z,INTERACTION,,1.0,9.0,,,,,,,,,,,wizard_interaction,redAmulet
2026-02-02 19:46:59.697Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:47:05.215Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,6.0,,,,experienced1,,,
2026-02-02 19:47:06.251Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,7.0,,,,experienced1,,,
2026-02-02 19:47:07.710Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:47:09.938Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,4.0,8.0,,,,experienced1,,,
2026-02-02 19:47:11.801Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,3.0,8.0,,,,experienced1,,,
2026-02-02 19:47:12.426Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,2.0,8.0,,,,experienced1,,,
2026-02-02 19:47:13.722Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,1.0,8.0,,,,experienced1,,,
2026-02-02 19:47:14.515Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,1.0,8.0,,,,experienced1,,,
2026-02-02 19:47:15.199Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,1.0,9.0,,,,experienced1,,,
2026-02-02 19:47:16.243Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,1.0,9.0,,,,experienced1,,,
2026-02-02 19:47:17.451Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,1.0,8.0,,,,experienced1,,,
2026-02-02 19:47:18.149Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,2.0,8.0,,,,experienced1,,,
2026-02-02 19:47:18.650Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,3.0,8.0,,,,experienced1,,,
2026-02-02 19:47:19.388Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,4.0,8.0,,,,experienced1,,,
2026-02-02 19:47:19.868Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:47:20.935Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:28.398Z,GAME_ACTION,up,1.0,9.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:30.470Z,GAME_ACTION,right,1.0,8.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:30.940Z,GAME_ACTION,right,2.0,8.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:31.280Z,GAME_ACTION,right,3.0,8.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:31.631Z,GAME_ACTION,right,4.0,8.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:33.074Z,GAME_ACTION,up,5.0,8.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:33.681Z,GAME_ACTION,up,5.0,7.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:34.237Z,GAME_ACTION,up,5.0,6.0,,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:47:36.348Z,AGENT_OBSERVE,,5.0,5.0,3.0,4.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:37.634Z,AGENT_OBSERVE,,5.0,5.0,3.0,3.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:38.435Z,AGENT_OBSERVE,,5.0,5.0,3.0,3.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:39.582Z,AGENT_OBSERVE,,5.0,5.0,3.0,2.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:40.436Z,AGENT_OBSERVE,,5.0,5.0,3.0,1.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:41.126Z,AGENT_OBSERVE,,5.0,5.0,3.0,1.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:42.115Z,AGENT_OBSERVE,,5.0,5.0,3.0,2.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:42.594Z,AGENT_OBSERVE,,5.0,5.0,3.0,3.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:43.065Z,AGENT_OBSERVE,,5.0,5.0,3.0,4.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:43.574Z,AGENT_OBSERVE,,5.0,5.0,3.0,5.0,2.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:44.202Z,AGENT_OBSERVE,,5.0,5.0,3.0,5.0,3.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:44.806Z,AGENT_OBSERVE,,5.0,5.0,3.0,5.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:45.474Z,AGENT_OBSERVE,,5.0,5.0,3.0,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:47.968Z,GAME_ACTION,up,5.0,5.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:49.446Z,GAME_ACTION,right,5.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:49.742Z,GAME_ACTION,right,6.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:50.024Z,GAME_ACTION,right,7.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:50.370Z,GAME_ACTION,right,8.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:50.371Z,INTERACTION,,8.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 19:47:52.199Z,GAME_ACTION,left,8.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:52.646Z,GAME_ACTION,left,7.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:53.337Z,GAME_ACTION,left,6.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:54.890Z,GAME_ACTION,down,5.0,4.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:55.549Z,GAME_ACTION,down,5.0,5.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:56.937Z,GAME_ACTION,left,5.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:57.376Z,GAME_ACTION,left,4.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:57.747Z,GAME_ACTION,left,3.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:58.365Z,GAME_ACTION,left,2.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:47:58.366Z,INTERACTION,,2.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,treasure_interaction,A
2026-02-02 19:47:58.366Z,LEVEL_COMPLETE,,2.0,6.0,,6.0,4.0,5.0,9.0,,experienced1,,experienced1,,,
2026-02-02 19:48:01.375Z,LEVEL_COMPLETE,,2.0,6.0,,6.0,4.0,5.0,9.0,-4.0,experienced1,,experienced1,,,

Level: sm221_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:52:31.959Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:52:31.966Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:52:51.009Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,5.0,11.0,,,,experienced1,,,
2026-02-02 19:52:51.926Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,4.0,11.0,,,,experienced1,,,
2026-02-02 19:52:52.666Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,3.0,11.0,,,,experienced1,,,
2026-02-02 19:52:53.786Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,3.0,10.0,,,,experienced1,,,
2026-02-02 19:52:54.524Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,3.0,9.0,,,,experienced1,,,
2026-02-02 19:52:55.286Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,4.0,9.0,,,,experienced1,,,
2026-02-02 19:52:55.954Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,5.0,9.0,,,,experienced1,,,
2026-02-02 19:52:56.690Z,AGENT_OBSERVE,,3.0,9.0,2.0,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:02.122Z,GAME_ACTION,right,3.0,9.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:02.650Z,GAME_ACTION,right,4.0,9.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:03.865Z,GAME_ACTION,up,5.0,9.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:04.250Z,GAME_ACTION,up,5.0,8.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:04.562Z,GAME_ACTION,up,5.0,7.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:04.924Z,GAME_ACTION,up,5.0,6.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:05.269Z,GAME_ACTION,up,5.0,5.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:05.905Z,GAME_ACTION,up,5.0,4.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:07.074Z,GAME_ACTION,left,5.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:07.458Z,GAME_ACTION,left,4.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:07.916Z,GAME_ACTION,left,3.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:08.817Z,GAME_ACTION,up,2.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:09.273Z,GAME_ACTION,up,2.0,2.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:09.844Z,GAME_ACTION,up,2.0,1.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:09.844Z,INTERACTION,,2.0,1.0,,,,5.0,8.0,,,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 19:53:11.832Z,GAME_ACTION,down,2.0,1.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:12.260Z,GAME_ACTION,down,2.0,2.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:13.879Z,GAME_ACTION,right,2.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:14.405Z,GAME_ACTION,right,3.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:15.055Z,GAME_ACTION,right,4.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:16.500Z,GAME_ACTION,down,5.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:16.886Z,GAME_ACTION,down,5.0,4.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:17.276Z,GAME_ACTION,down,5.0,5.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:19.794Z,GAME_ACTION,up,5.0,6.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:20.092Z,GAME_ACTION,up,5.0,5.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:20.368Z,GAME_ACTION,up,5.0,4.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:21.609Z,GAME_ACTION,right,5.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:21.984Z,GAME_ACTION,right,6.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:22.360Z,GAME_ACTION,right,7.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:23.382Z,GAME_ACTION,up,8.0,3.0,,,,5.0,8.0,,,,experienced1,,,
2026-02-02 19:53:23.670Z,GAME_ACTION,up,8.0,2.0,,,,5.0,8.0,,,,experienced1,,,
