level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,302,39,263,15,20.133333333333333,2.5572071705197064,14.998333333333333,25.001666666666665
sm521_1,201,35,166,12,16.75,2.5268469449614552,11.414583333333333,21.25208333333333
sm112_1,943,360,583,60,15.716666666666667,1.53996128032869,12.866666666666667,18.950416666666666
sm111_1,903,440,463,60,15.05,1.8186753548765442,11.64875,18.651666666666664
sm411_1,216,38,178,15,14.4,0.3622423706451886,13.8,15.2
sm421_2,170,59,111,13,13.076923076923077,1.6728211880463735,9.846153846153847,16.384615384615383
sm511_2,141,96,45,12,11.75,1.718731388611178,8.166666666666666,14.835416666666665
sm421_1,204,165,39,18,11.333333333333334,2.8040213960833817,6.831944444444444,17.615277777777774
sm612_2,181,26,155,17,10.647058823529411,1.2744143007714182,7.9411764705882355,13.058823529411764
sm361_1,155,37,118,15,10.333333333333334,1.2161124914308035,7.8,12.6
sm541_2,93,5,88,9,10.333333333333334,1.4798335470856736,7.444444444444445,13.0
sm311_1,108,21,87,12,9.0,1.2163165058935834,6.58125,11.166666666666666
sm311_2,126,60,66,14,9.0,3.124288613028695,4.357142857142857,15.717857142857138
sm521_2,130,111,19,15,8.666666666666666,1.2170785842665544,6.131666666666667,11.133333333333333
sm341_1,138,8,130,16,8.625,1.1848083793997641,6.3734375,10.8125
sm611_2,127,6,121,15,8.466666666666667,1.6055378748017683,5.533333333333333,11.933333333333334
sm351_2,152,47,105,18,8.444444444444445,0.966559235263826,6.5,10.166666666666666
sm321_1,137,2,135,17,8.058823529411764,0.7049632650280075,6.411764705882353,9.176470588235293
sm211_1,104,18,86,13,8.0,2.62053964420373,4.076923076923077,13.848076923076922
sm432_1,135,0,135,17,7.9411764705882355,0.7102204330928629,6.352941176470588,9.058823529411764
sm321_2,87,5,82,11,7.909090909090909,1.1373861083889896,5.452272727272727,9.818181818181818
sm341_2,135,78,57,18,7.5,0.8047231632635846,5.777777777777778,9.0
sm432_2,82,2,80,11,7.454545454545454,1.290770913974389,4.815909090909091,9.818181818181818
sm431_1,141,103,38,19,7.421052631578948,1.1891733459930167,5.419736842105264,9.89736842105263
sm351_1,89,8,81,13,6.846153846153846,1.0097004936132195,4.769230769230769,8.694230769230767
sm541_1,126,52,74,19,6.631578947368421,0.9923996665131066,4.894736842105263,8.632894736842104
sm431_2,86,11,75,13,6.615384615384615,1.260966181254073,4.15,8.923076923076923
sm531_2,119,10,109,18,6.611111111111111,1.0994409938209306,4.4430555555555555,8.833333333333334
sm411_2,112,81,31,17,6.588235294117647,0.8196053899345359,5.117647058823529,8.411764705882353
sm331_1,96,3,93,16,6.0,0.7115031282751294,4.6859375,7.376562499999999
sm612_1,87,21,66,15,5.8,1.1295257065047206,3.7333333333333334,8.069999999999997
sm331_2,105,27,78,19,5.526315789473684,0.907549608407763,3.789473684210526,7.368421052631579
sm211_2,71,20,51,13,5.461538461538462,0.8862481207819726,3.8461538461538463,7.384615384615385
sm361_2,49,38,11,9,5.444444444444445,0.654846874748318,4.441666666666667,6.888888888888889
sm221_2,55,14,41,11,5.0,1.4798519732355448,2.4522727272727276,8.090909090909092
sm221_1,66,19,47,14,4.714285714285714,1.1978385789156607,2.5,7.214285714285714
sm611_1,61,41,20,13,4.6923076923076925,1.124308225597371,2.8461538461538463,7.076923076923077
sm531_1,65,41,24,17,3.823529411764706,0.5852211506891212,2.7058823529411766,5.0
sm371_1,42,42,0,15,2.8,1.4353088542410022,0.0,5.6
sm543_1,46,36,10,18,2.5555555555555554,1.6579103536726254,0.0,5.945833333333332
sm371_2,24,4,20,19,1.263157894736842,1.0325516209034975,0.0,3.5789473684210527
sm543_2,14,12,2,19,0.7368421052631579,0.5557421371528506,0.0,1.9473684210526316
experiment,0,0,0,60,0.0,0.0,0.0,0.0
s111_1,0,0,0,60,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,60,0.0,0.0,0.0,0.0
