level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,377,41,336,19,19.842105263157894,2.069644950152895,15.62763157894737,23.632894736842104
sm521_1,264,41,223,16,16.5,2.118421986222696,12.375,20.3765625
sm111_1,1201,656,545,80,15.0125,1.5981891819059348,12.074375,18.36375
sm112_1,1200,440,760,80,15.0,1.2415234806692352,12.5484375,17.4625
sm411_1,283,42,241,21,13.476190476190476,0.7066504482343279,11.857142857142858,14.523809523809524
sm421_2,230,64,166,18,12.777777777777779,1.3718778411931714,9.998611111111112,15.277777777777779
sm511_2,202,135,67,16,12.625,1.4652333493826653,9.6875,15.4375
sm541_2,143,7,136,13,11.0,1.3863058710935994,8.384615384615385,13.846153846153847
sm421_1,275,208,67,25,11.0,1.9718506628638581,7.64,15.401
sm612_2,251,30,221,23,10.91304347826087,0.9555671030600852,9.0,12.73913043478261
sm361_1,198,40,158,19,10.421052631578947,0.9777133313304613,8.577631578947368,12.421052631578947
sm341_1,200,22,178,21,9.523809523809524,0.985518540301774,7.476190476190476,11.19047619047619
sm521_2,176,141,35,19,9.263157894736842,1.060867416377841,6.946052631578948,11.263157894736842
sm211_1,133,31,102,16,8.3125,2.1429976343280774,4.8125,13.001562499999999
sm311_1,141,29,112,17,8.294117647058824,1.1178741839464943,6.0,10.352941176470589
sm611_2,149,8,141,18,8.277777777777779,1.3366070354193729,5.611111111111111,10.88888888888889
sm321_2,124,6,118,15,8.266666666666667,1.1389859701292473,6.0649999999999995,10.4
sm351_2,206,47,159,25,8.24,0.7767919305086165,6.68,9.64
sm351_1,147,26,121,18,8.166666666666666,1.0266592719798637,6.165277777777778,10.11111111111111
sm311_2,143,69,74,18,7.944444444444445,2.5399750298309054,4.055555555555555,13.612499999999999
sm432_2,111,2,109,14,7.928571428571429,1.044779809608154,5.785714285714286,9.857142857142858
sm432_1,182,1,181,23,7.913043478260869,0.6482925207460095,6.651086956521739,9.08695652173913
sm341_2,188,89,99,24,7.833333333333333,0.803160288107447,6.248958333333333,9.375
sm321_1,170,3,167,23,7.391304347826087,0.7217317041646873,5.9554347826086955,8.73913043478261
sm431_2,128,16,112,18,7.111111111111111,1.0020928618066944,5.055555555555555,8.945833333333333
sm431_1,177,139,38,25,7.08,0.8657744134212647,5.6,8.92
sm411_2,160,102,58,23,6.956521739130435,0.7224891716001354,5.608695652173913,8.392391304347825
sm531_2,156,15,141,23,6.782608695652174,0.9052502853981483,5.042391304347826,8.478260869565217
sm541_1,167,69,98,25,6.68,0.8573213034897811,5.04,8.440999999999999
sm331_1,133,4,129,21,6.333333333333333,0.5781652391412287,5.236904761904762,7.477380952380951
sm211_2,106,35,71,18,5.888888888888889,0.7929597575870173,4.444444444444445,7.5
sm331_2,138,27,111,25,5.52,0.7298861166944767,4.04,6.92
sm361_2,67,56,11,13,5.153846153846154,0.46769411491101803,4.384615384615385,6.230769230769231
sm612_1,107,30,77,21,5.095238095238095,0.9544890998497476,3.2857142857142856,6.9523809523809526
sm221_2,65,14,51,14,4.642857142857143,1.1704918751538729,2.5696428571428576,7.071428571428571
sm221_1,79,20,59,18,4.388888888888889,0.9949955972066826,2.611111111111111,6.611111111111111
sm531_1,98,50,48,24,4.083333333333333,0.503138844960732,3.0833333333333335,5.083333333333333
sm611_1,71,51,20,18,3.9444444444444446,0.839115475633786,2.5,5.722222222222222
sm543_1,63,53,10,24,2.625,1.4482102269603623,0.08333333333333333,5.791666666666667
sm371_1,47,47,0,19,2.473684210526316,1.1688617422083918,0.5197368421052635,4.947368421052632
sm371_2,24,4,20,25,0.96,0.7925397903697451,0.0,2.72
sm543_2,14,12,2,25,0.56,0.43830910699331044,0.0,1.520999999999999
experiment,0,0,0,80,0.0,0.0,0.0,0.0
s111_1,0,0,0,80,0.0,0.0,0.0,0.0
comprehension_check,0,0,0,80,0.0,0.0,0.0,0.0
