level,actual_obs_count,ref_obs_count,obs_diff,obs_pct_diff,actual_agent2,ref_agent2,agent2_diff,agent2_pct_diff,actual_agent3,ref_agent3,agent3_diff,agent3_pct_diff,actual_mean,ref_mean,mean_diff
comprehension_check,0,0,0,,0,0,0,,0,0,0,,0.0,,
experiment,0,0,0,,0,0,0,,0,0,0,,0.0,,
s111_1,0,0,0,,0,0,0,,0,0,0,,0.0,,
sm111_1,201,0,201,,0,0,0,,0,0,0,,11.823529411764707,,
sm112_1,184,0,184,,0,0,0,,0,0,0,,10.823529411764707,,
sm211_1,29,0,29,,0,0,0,,0,0,0,,5.8,,
sm211_2,11,0,11,,0,0,0,,0,0,0,,5.5,,
sm211_scenario1,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm211_scenario2,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm221_1,4,0,4,,0,0,0,,0,0,0,,1.0,,
sm221_2,14,0,14,,0,0,0,,0,0,0,,4.666666666666667,,
sm221_scenario1,0,11,-11,-100.0,0,10,-10,-100.0,0,1,-1,-100.0,,,
sm221_scenario2,0,6,-6,-100.0,0,1,-1,-100.0,0,5,-5,-100.0,,,
sm311_1,46,0,46,,0,0,0,,0,0,0,,15.333333333333334,,
sm311_2,33,0,33,,0,0,0,,0,0,0,,8.25,,
sm311_scenario1,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm311_scenario2,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm321_1,58,0,58,,0,0,0,,0,0,0,,8.285714285714286,,
sm321_2,35,0,35,,0,0,0,,0,0,0,,17.5,,
sm321_scenario1,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm321_scenario2,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm331_1,36,0,36,,0,0,0,,0,0,0,,6.0,,
sm331_2,40,0,40,,0,0,0,,0,0,0,,8.0,,
sm331_scenario1,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm331_scenario2,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm341_1,35,0,35,,0,0,0,,0,0,0,,8.75,,
sm341_2,49,0,49,,0,0,0,,0,0,0,,8.166666666666666,,
sm341_scenario1,0,12,-12,-100.0,0,0,0,,0,12,-12,-100.0,,,
sm341_scenario2,0,12,-12,-100.0,0,0,0,,0,12,-12,-100.0,,,
sm351_1,20,0,20,,0,0,0,,0,0,0,,10.0,,
sm351_2,37,0,37,,0,0,0,,0,0,0,,6.166666666666667,,
sm351_scenario1,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm351_scenario2,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm361_1,37,0,37,,0,0,0,,0,0,0,,12.333333333333334,,
sm361_2,20,0,20,,0,0,0,,0,0,0,,10.0,,
sm361_scenario1,0,11,-11,-100.0,0,0,0,,0,11,-11,-100.0,,,
sm361_scenario2,0,11,-11,-100.0,0,0,0,,0,11,-11,-100.0,,,
sm371_1,14,0,14,,0,0,0,,0,0,0,,2.8,,
sm371_2,0,0,0,,0,0,0,,0,0,0,,0.0,,
sm371_scenario1,0,0,0,,0,0,0,,0,0,0,,,,
sm371_scenario2,0,0,0,,0,0,0,,0,0,0,,,,
sm411_1,62,0,62,,0,0,0,,0,0,0,,12.4,,
sm411_2,20,0,20,,0,0,0,,0,0,0,,4.0,,
sm411_scenario1,0,14,-14,-100.0,0,1,-1,-100.0,0,13,-13,-100.0,,,
sm411_scenario2,0,7,-7,-100.0,0,7,-7,-100.0,0,0,0,,,,
sm421_1,38,0,38,,0,0,0,,0,0,0,,6.333333333333333,,
sm421_2,33,0,33,,0,0,0,,0,0,0,,16.5,,
sm421_scenario1,0,10,-10,-100.0,0,10,-10,-100.0,0,0,0,,,,
sm421_scenario2,0,15,-15,-100.0,0,1,-1,-100.0,0,14,-14,-100.0,,,
sm431_1,18,0,18,,0,0,0,,0,0,0,,3.6,,
sm431_2,14,0,14,,0,0,0,,0,0,0,,7.0,,
sm431_scenario1,0,6,-6,-100.0,0,6,-6,-100.0,0,0,0,,,,
sm431_scenario2,0,6,-6,-100.0,0,6,-6,-100.0,0,0,0,,,,
sm432_1,47,0,47,,0,0,0,,0,0,0,,6.714285714285714,,
sm432_2,33,0,33,,0,0,0,,0,0,0,,11.0,,
sm432_scenario1,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm432_scenario2,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm511_1,55,0,55,,0,0,0,,0,0,0,,18.333333333333332,,
sm511_2,54,0,54,,0,0,0,,0,0,0,,13.5,,
sm511_scenario1,0,23,-23,-100.0,0,1,-1,-100.0,0,22,-22,-100.0,,,
sm511_scenario2,0,13,-13,-100.0,0,13,-13,-100.0,0,0,0,,,,
sm521_1,46,0,46,,0,0,0,,0,0,0,,11.5,,
sm521_2,36,0,36,,0,0,0,,0,0,0,,12.0,,
sm521_scenario1,0,20,-20,-100.0,0,1,-1,-100.0,0,19,-19,-100.0,,,
sm521_scenario2,0,12,-12,-100.0,0,12,-12,-100.0,0,0,0,,,,
sm531_1,24,0,24,,0,0,0,,0,0,0,,6.0,,
sm531_2,31,0,31,,0,0,0,,0,0,0,,5.166666666666667,,
sm531_scenario1,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm531_scenario2,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm541_1,87,0,87,,0,0,0,,0,0,0,,12.428571428571429,,
sm541_2,24,0,24,,0,0,0,,0,0,0,,12.0,,
sm541_scenario1,0,13,-13,-100.0,0,0,0,,0,13,-13,-100.0,,,
sm541_scenario2,0,13,-13,-100.0,0,0,0,,0,13,-13,-100.0,,,
sm543_1,18,0,18,,0,0,0,,0,0,0,,3.0,,
sm543_2,0,0,0,,0,0,0,,0,0,0,,0.0,,
sm543_scenario1,0,0,0,,0,0,0,,0,0,0,,,,
sm543_scenario2,0,0,0,,0,0,0,,0,0,0,,,,
sm611_1,17,0,17,,0,0,0,,0,0,0,,8.5,,
sm611_2,36,0,36,,0,0,0,,0,0,0,,7.2,,
sm611_scenario1,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm611_scenario2,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm612_1,59,0,59,,0,0,0,,0,0,0,,11.8,,
sm612_2,28,0,28,,0,0,0,,0,0,0,,5.6,,
sm612_scenario1,0,12,-12,-100.0,0,0,0,,0,12,-12,-100.0,,,
sm612_scenario2,0,12,-12,-100.0,0,0,0,,0,12,-12,-100.0,,,
