experiment,agent,model,n,r,p,ci_low,ci_high
Exp1,,Rational Mentalizing (Full Model),22,0.8937,0.0,0.7389,0.9635
Exp1,,Social Mentalizing,22,-0.0446,0.8439,-0.5449,0.865
Exp1,,Rational Non-Mentalizing,22,0.4082,0.0593,0.0097,0.6721
Exp1,,Naive Observer,22,0.3327,0.1303,-0.1323,0.6559
Exp2,,Rational Mentalizing (Full Model),48,0.8937,0.0,0.7476,0.9508
Exp2,,Social Mentalizing,48,0.4232,0.0027,0.1169,0.7307
Exp2,,Rational Non-Mentalizing,48,0.314,0.0298,0.0995,0.4959
Exp2,,Naive Observer,48,0.2744,0.0591,0.0299,0.4778
Exp3,agent2,Rational Mentalizing (Full Model),40,0.8936,0.0,0.8501,0.9516
Exp3,agent2,Social Mentalizing,40,0.4775,0.0018,0.1919,0.8227
Exp3,agent2,Rational Non-Mentalizing,40,0.1307,0.4216,-0.1024,0.3459
Exp3,agent2,Naive Observer,40,0.0057,0.9722,-0.253,0.2269
Exp3,agent3,Rational Mentalizing (Full Model),40,0.9221,0.0,0.8676,0.9609
Exp3,agent3,Social Mentalizing,40,0.2688,0.0935,-0.0079,0.6682
Exp3,agent3,Rational Non-Mentalizing,40,0.1382,0.3949,-0.1656,0.3946
Exp3,agent3,Naive Observer,40,0.0656,0.6874,-0.1999,0.2921
Exp4,agent2,Rational Mentalizing (Full Model),40,0.888,0.0,0.7298,0.941
Exp4,agent2,Social Mentalizing,40,0.1883,0.2446,-0.1349,0.4915
Exp4,agent2,Rational Non-Mentalizing,38,0.3184,0.0514,0.0729,0.506
Exp4,agent2,Naive Observer,38,0.3014,0.066,0.0747,0.4846
Exp4,agent3,Rational Mentalizing (Full Model),40,0.9391,0.0,0.8867,0.9672
Exp4,agent3,Social Mentalizing,40,0.201,0.2136,-0.2845,0.5909
Exp4,agent3,Rational Non-Mentalizing,38,0.3949,0.0141,0.1067,0.6095
Exp4,agent3,Naive Observer,38,0.4526,0.0043,0.1664,0.6319
