,stimuli,Model,Human
0,s221_other_exp,1,0.6666666666666666
1,s432_blue_exp,4,4.666666666666667
2,s351_blue_exp,0,2.6
3,s331_other_exp,1,1.6666666666666667
4,s361_blue_exp,2,0.6666666666666666
5,s541_other_exp,0,1.5555555555555556
6,s531_other_exp,2,4.0
7,s441_other_exp,5,4.0
8,s521_blue_exp,7,8.0
9,s332_other_exp,2,1.375
10,s211_other_exp,1,4.0
11,s331_blue_exp,1,7.4
12,s542_blue_exp,1,3.5
13,s511_blue_exp,9,4.666666666666667
14,s211_blue_exp,1,4.0
15,s442_blue_exp,7,8.0
16,s362_other_exp,0,1.5
17,s421_blue_exp,5,5.0
18,s341_blue_exp,0,3.7142857142857144
19,s362_blue_exp,0,2.142857142857143
20,s431_blue_exp,3,3.857142857142857
21,s342_blue_exp,0,4.0
22,s351_other_exp,0,2.4285714285714284
23,s421_other_exp,1,1.0
24,s432_other_exp,1,2.142857142857143
25,s441_blue_exp,6,4.8
26,s411_blue_exp,5,7.5
27,s332_blue_exp,2,1.0
28,s361_other_exp,5,0.0
29,s341_other_exp,0,2.0
30,s541_blue_exp,0,2.75
31,s352_blue_exp,3,4.5
32,s311_other_exp,2,1.6666666666666667
33,s532_other_exp,0,1.3333333333333333
34,s531_blue_exp,2,4.625
35,s352_other_exp,4,8.0
36,s321_other_exp,2,1.0
37,s532_blue_exp,0,0.0
38,s442_other_exp,2,1.0
39,s431_other_exp,8,5.666666666666667
40,s311_blue_exp,2,2.0
41,s411_other_exp,2,1.0
42,s542_other_exp,1,2.5
43,s342_other_exp,0,1.625
44,s511_other_exp,2,5.0
45,s221_blue_exp,1,3.25
46,s521_other_exp,2,6.0
47,s321_blue_exp,3,5.8
