plan_id,true_goal,method,normalize_prior,act_temperature,timestep,is_judgment,action,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,lml_est,n_init_states,state_probs_1,state_probs_2,state_probs_3,state_probs_4,state_probs_5,state_probs_6,state_probs_7,state_probs_8,state_probs_9,state_probs_10,state_probs_11,state_probs_12,state_probs_13,state_probs_14,state_probs_15,state_probs_16,state_probs_17,state_probs_18,n_statements,statement_probs_1,statement_probs_2,statement_1,statement_2
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",0,false,(--),0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,2.2204460492503128e-16,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",1,false,(right human),0.04974655436999089,0.2917343598767746,0.3667847258764597,0.29173435987677465,0.29173435987677465,-0.6141678877618888,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",2,false,(right human),0.015674526770973536,0.29076608085656597,0.40279331151589476,0.29076608085656597,0.29076608085656597,-0.8044180107697178,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",3,true,(down human),0.007777188038177876,0.4662298400026341,0.05976313195655385,0.46622984000263423,0.46622984000263423,-1.488214698786048,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",4,false,(down human),0.003176021400377633,0.4913310169111675,0.014161944777286984,0.4913310169111675,0.4913310169111675,-1.6260042610270635,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",5,true,(down human),0.005817935875553078,0.4869663712955803,0.020249321533286364,0.4869663712955803,0.4869663712955803,-2.2499956050122325,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_2,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",0,false,(--),0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,2.2204460492503128e-16,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",1,false,(right human),0.05163309856175669,0.28383627851828214,0.3806943444016789,0.28383627851828214,0.28383627851828214,-0.6141678877618886,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",2,false,(right human),0.0171268975511588,0.2713788779873659,0.44011534647410955,0.2713788779873659,0.2713788779873659,-0.8044180107697178,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,goal_only,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",3,false,(right human),0.008197793677148799,0.06543260830680285,0.7607862748030323,0.16558332321301591,0.16558332321301591,-1.5887825659951236,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.5,0.5,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
