Session ID,u1763652423782
Completed At,2025-11-20 15:48:31.778Z
Created At,2025-11-20 15:27:03.782Z

User Data
prolificId,67d46e7d5fb2bbc634ae33a5
age,25
gender,male
timestamp,1763653710485

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 15:33:55.431Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 15:48:18.741Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 15:27:04.281Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 15:27:04.535Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 15:34:17.927Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2025-11-20 15:34:19.262Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,5.0,,,,experienced1,,,
2025-11-20 15:34:20.742Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,6.0,,,,experienced1,,,
2025-11-20 15:34:21.942Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,7.0,,,,experienced1,,,
2025-11-20 15:34:24.638Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,8.0,,,,experienced1,,,
2025-11-20 15:34:27.638Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:30.806Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,8.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:32.742Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,7.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:34.118Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,6.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:36.238Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:37.502Z,AGENT_OBSERVE,,5.0,7.0,3.0,6.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:38.902Z,AGENT_OBSERVE,,5.0,7.0,3.0,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:40.422Z,AGENT_OBSERVE,,5.0,7.0,3.0,8.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:41.806Z,AGENT_OBSERVE,,5.0,7.0,3.0,8.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:42.853Z,AGENT_OBSERVE,,5.0,7.0,3.0,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:49.902Z,GAME_ACTION,up,5.0,7.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:50.446Z,GAME_ACTION,up,5.0,6.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:52.030Z,GAME_ACTION,right,5.0,5.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:52.461Z,GAME_ACTION,right,6.0,5.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:52.845Z,GAME_ACTION,right,7.0,5.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:53.405Z,GAME_ACTION,right,8.0,5.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 15:34:53.406Z,INTERACTION,,8.0,5.0,,7.0,5.0,5.0,8.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2025-11-20 15:35:00.358Z,AGENT_OBSERVE,,8.0,5.0,2.0,7.0,5.0,5.0,9.0,,experienced1,,experienced1,,,
2025-11-20 15:35:01.438Z,AGENT_OBSERVE,,8.0,5.0,2.0,7.0,5.0,5.0,10.0,,experienced1,,experienced1,,,
2025-11-20 15:35:03.550Z,AGENT_OBSERVE,,8.0,5.0,2.0,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:12.247Z,GAME_ACTION,left,8.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:12.638Z,GAME_ACTION,left,7.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:12.926Z,GAME_ACTION,left,6.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:14.166Z,GAME_ACTION,down,5.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:14.453Z,GAME_ACTION,down,5.0,6.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:14.654Z,GAME_ACTION,down,5.0,7.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:15.030Z,GAME_ACTION,down,5.0,8.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:16.614Z,GAME_ACTION,right,5.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:16.878Z,GAME_ACTION,right,6.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:17.087Z,GAME_ACTION,right,7.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:17.446Z,GAME_ACTION,right,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:17.446Z,INTERACTION,,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,treasure_interaction,B
2025-11-20 15:35:17.447Z,LEVEL_COMPLETE,,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 15:35:20.453Z,LEVEL_COMPLETE,,8.0,9.0,,7.0,5.0,5.0,11.0,18.0,experienced1,,experienced1,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 15:35:20.945Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 15:35:20.947Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 15:35:36.101Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,6.0,3.0,,,,experienced1,,,
2025-11-20 15:35:38.646Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:39.958Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:45.342Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:47.606Z,GAME_ACTION,down,5.0,7.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:48.046Z,GAME_ACTION,down,5.0,8.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:48.462Z,GAME_ACTION,down,5.0,9.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:48.926Z,GAME_ACTION,down,5.0,10.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:48.926Z,INTERACTION,,5.0,10.0,,5.0,10.0,6.0,3.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2025-11-20 15:35:55.989Z,AGENT_OBSERVE,,5.0,10.0,3.0,5.0,9.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:57.078Z,AGENT_OBSERVE,,5.0,10.0,3.0,6.0,9.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:35:58.094Z,AGENT_OBSERVE,,5.0,10.0,3.0,7.0,9.0,6.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:01.862Z,AGENT_OBSERVE,,5.0,10.0,2.0,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:06.678Z,GAME_ACTION,up,5.0,10.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:07.238Z,GAME_ACTION,up,5.0,9.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:08.110Z,GAME_ACTION,up,5.0,8.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:09.278Z,GAME_ACTION,up,5.0,7.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:09.846Z,GAME_ACTION,up,5.0,6.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:11.462Z,GAME_ACTION,left,5.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:11.878Z,GAME_ACTION,left,4.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:12.406Z,GAME_ACTION,left,3.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:12.894Z,GAME_ACTION,left,2.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:12.894Z,INTERACTION,,2.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,wizard_interaction,
2025-11-20 15:36:15.430Z,GAME_ACTION,right,2.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:15.838Z,GAME_ACTION,right,3.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:16.142Z,GAME_ACTION,right,4.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:16.438Z,GAME_ACTION,right,5.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:16.662Z,GAME_ACTION,right,6.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:16.861Z,GAME_ACTION,right,7.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,,
2025-11-20 15:36:17.182Z,INTERACTION,,7.0,5.0,,7.0,9.0,7.0,3.0,,experienced1,,experienced1,,wizard_interaction,
