Session ID,u1763660937181
Completed At,2025-11-20 18:24:56.701Z
Created At,2025-11-20 17:48:57.181Z

User Data
prolificId,678712caf70562b83286c6e3
age,67
gender,female
timestamp,1763663092664

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:07:20.304Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:24:40.813Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:48:58.903Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:11:01.107Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 18:11:01.108Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 18:11:33.637Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2025-11-20 18:11:35.094Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.017Z,GAME_ACTION,up,5.0,7.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.023Z,GAME_ACTION,up,5.0,6.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.329Z,GAME_ACTION,up,5.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.334Z,GAME_ACTION,up,5.0,4.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.653Z,GAME_ACTION,up,5.0,3.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.660Z,INTERACTION,,5.0,3.0,,,,5.0,5.0,,,,experienced1,,wizard_interaction,redAmulet
2025-11-20 18:11:38.660Z,GAME_ACTION,up,5.0,2.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.990Z,GAME_ACTION,up,5.0,2.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:38.997Z,GAME_ACTION,up,5.0,2.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:43.250Z,GAME_ACTION,down,5.0,2.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:43.258Z,GAME_ACTION,down,5.0,3.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:43.587Z,GAME_ACTION,down,5.0,4.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:43.594Z,GAME_ACTION,down,5.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:45.703Z,GAME_ACTION,up,5.0,6.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:46.930Z,GAME_ACTION,right,5.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:46.936Z,GAME_ACTION,right,6.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:47.243Z,GAME_ACTION,right,7.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:47.250Z,GAME_ACTION,right,8.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:47.250Z,INTERACTION,,8.0,5.0,,,,5.0,5.0,,,,experienced1,,wizard_interaction,blueAmulet
2025-11-20 18:11:47.605Z,GAME_ACTION,right,8.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:47.610Z,GAME_ACTION,right,8.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:49.589Z,GAME_ACTION,left,8.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:49.596Z,GAME_ACTION,left,7.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:50.549Z,GAME_ACTION,left,6.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:51.898Z,GAME_ACTION,down,5.0,5.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:51.903Z,GAME_ACTION,down,5.0,6.0,,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:11:52.197Z,GAME_ACTION,down,5.0,7.0,,,,5.0,5.0,,,,experienced1,,,
