Session ID,u1759167080431
Completed At,2025-09-29 17:40:35.691Z
Created At,2025-09-29 17:31:20.431Z

User Data
prolificId,ryantruong
age,77
gender,male
feedback,it was good
timestamp,1759167635646

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-09-29 17:31:29.984Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-09-29 17:31:33.124Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-09-29 17:32:32.396Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-09-29 17:32:32.496Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:33.445Z,GAME_ACTION,up,5.0,7.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:33.599Z,GAME_ACTION,up,5.0,6.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:34.501Z,GAME_ACTION,right,5.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:34.901Z,GAME_ACTION,right,6.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:35.067Z,GAME_ACTION,right,7.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:35.226Z,GAME_ACTION,right,8.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:35.226Z,INTERACTION,,8.0,5.0,6.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-09-29 17:32:35.797Z,GAME_ACTION,left,8.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:35.960Z,GAME_ACTION,left,7.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:36.628Z,GAME_ACTION,left,6.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:37.128Z,GAME_ACTION,down,5.0,5.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:37.299Z,GAME_ACTION,down,5.0,6.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:37.447Z,GAME_ACTION,down,5.0,7.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:37.594Z,GAME_ACTION,down,5.0,8.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:37.933Z,GAME_ACTION,right,5.0,9.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:38.085Z,GAME_ACTION,right,6.0,9.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:38.231Z,GAME_ACTION,right,7.0,9.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:38.377Z,GAME_ACTION,right,8.0,9.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:38.377Z,INTERACTION,,8.0,9.0,6.0,5.0,,experienced1,,treasure_interaction,A
2025-09-29 17:32:38.377Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,,experienced1,,,
2025-09-29 17:32:41.379Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,24.0,experienced1,,,

Level: mod_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-09-29 17:32:41.539Z,LEVEL_START,,,,,,,,,,
2025-09-29 17:32:41.540Z,LEVEL_START,,,,,,,,,,
2025-09-29 17:33:15.227Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-09-29 17:33:16.212Z,GAME_ACTION,down,5.0,7.0,5.0,5.0,,experienced1,,,
