Session ID,u1759880081508
Completed At,2025-10-07 23:49:54.005Z
Created At,2025-10-07 23:34:41.508Z

User Data
prolificId,607668ac450fc6e3025a131d
age,49
gender,male
feedback,none
timestamp,1759880993536

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:40:30.587Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-07 23:40:42.717Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:34:41.700Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:40:58.948Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:41:11.863Z,GAME_ACTION,right,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:41:26.001Z,GAME_ACTION,down,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:41:33.164Z,AGENT_OBSERVE,,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:37.566Z,GAME_ACTION,up,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:38.087Z,GAME_ACTION,up,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:38.608Z,GAME_ACTION,up,5.0,6.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:39.719Z,GAME_ACTION,right,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:40.138Z,GAME_ACTION,right,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:40.593Z,GAME_ACTION,right,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:41.064Z,GAME_ACTION,right,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:41.064Z,INTERACTION,,8.0,5.0,6.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-07 23:41:43.511Z,GAME_ACTION,left,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:43.983Z,GAME_ACTION,left,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:44.470Z,GAME_ACTION,left,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:45.931Z,GAME_ACTION,down,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:46.234Z,GAME_ACTION,down,5.0,6.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:46.522Z,GAME_ACTION,down,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:46.859Z,GAME_ACTION,down,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:48.238Z,GAME_ACTION,right,5.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:48.829Z,GAME_ACTION,right,6.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:49.249Z,GAME_ACTION,right,7.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:50.903Z,GAME_ACTION,right,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:50.903Z,INTERACTION,,8.0,9.0,6.0,5.0,,experienced1,,treasure_interaction,A
2025-10-07 23:41:50.903Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-07 23:41:53.906Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,18.0,experienced1,,,

Level: mod_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-07 23:41:54.178Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:41:54.178Z,LEVEL_START,,,,,,,,,,
2025-10-07 23:42:07.924Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-07 23:42:11.294Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:15.530Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:16.169Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:17.159Z,GAME_ACTION,down,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:20.246Z,GAME_ACTION,down,5.0,10.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:20.246Z,INTERACTION,,5.0,10.0,5.0,6.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-07 23:42:23.130Z,GAME_ACTION,up,5.0,10.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:24.273Z,GAME_ACTION,left,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:24.760Z,GAME_ACTION,left,4.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:25.196Z,GAME_ACTION,left,3.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:25.617Z,GAME_ACTION,left,2.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:26.760Z,GAME_ACTION,down,1.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:27.231Z,GAME_ACTION,down,1.0,10.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:27.231Z,INTERACTION,,1.0,10.0,5.0,6.0,,experienced1,,wizard_interaction,redAmulet
2025-10-07 23:42:28.707Z,GAME_ACTION,up,1.0,10.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:30.034Z,GAME_ACTION,right,1.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:30.271Z,GAME_ACTION,right,2.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:30.487Z,GAME_ACTION,right,3.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:30.687Z,GAME_ACTION,right,4.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:30.872Z,GAME_ACTION,right,5.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:31.138Z,GAME_ACTION,right,6.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:31.405Z,GAME_ACTION,right,7.0,9.0,5.0,6.0,,experienced1,,,
2025-10-07 23:42:31.712Z,GAME_ACTION,right,8.0,9.0,5.0,6.0,,experienced1,,,
