Session ID,u1760484660255
Completed At,2025-10-14 23:55:25.942Z
Created At,2025-10-14 23:31:00.255Z

User Data
prolificId,672268205351c30413c9837e
age,50
gender,female
feedback,No further comments
timestamp,1760486125701

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-14 23:43:19.077Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-14 23:43:23.309Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: new_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-14 23:31:00.559Z,LEVEL_START,,,,,,,,,,
2025-10-14 23:43:44.133Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-14 23:43:46.893Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-14 23:43:50.477Z,GAME_ACTION,up,5.0,5.0,,,,,,,
2025-10-14 23:43:51.406Z,GAME_ACTION,up,5.0,4.0,,,,,,,
2025-10-14 23:43:52.230Z,GAME_ACTION,up,5.0,3.0,,,,,,,
2025-10-14 23:43:53.029Z,GAME_ACTION,up,5.0,2.0,,,,,,,
2025-10-14 23:43:53.030Z,INTERACTION,,5.0,2.0,,,,,,wizard_interaction,redAmulet
2025-10-14 23:43:56.269Z,GAME_ACTION,down,5.0,2.0,,,,,,,
2025-10-14 23:43:58.349Z,GAME_ACTION,down,5.0,3.0,,,,,,,
2025-10-14 23:43:59.071Z,GAME_ACTION,down,5.0,4.0,,,,,,,
2025-10-14 23:44:00.878Z,GAME_ACTION,left,5.0,5.0,,,,,,,
2025-10-14 23:44:01.438Z,GAME_ACTION,left,4.0,5.0,,,,,,,
2025-10-14 23:44:02.085Z,GAME_ACTION,left,3.0,5.0,,,,,,,
2025-10-14 23:44:02.671Z,GAME_ACTION,left,2.0,5.0,,,,,,,
2025-10-14 23:44:02.671Z,INTERACTION,,2.0,5.0,,,,,,wizard_interaction,
2025-10-14 23:44:04.645Z,GAME_ACTION,right,2.0,5.0,,,,,,,
2025-10-14 23:44:05.422Z,GAME_ACTION,right,3.0,5.0,,,,,,,
2025-10-14 23:44:06.485Z,GAME_ACTION,right,4.0,5.0,,,,,,,
2025-10-14 23:44:07.518Z,GAME_ACTION,right,5.0,5.0,,,,,,,
2025-10-14 23:44:08.134Z,GAME_ACTION,right,6.0,5.0,,,,,,,
2025-10-14 23:44:08.861Z,GAME_ACTION,right,7.0,5.0,,,,,,,
2025-10-14 23:44:09.373Z,INTERACTION,,7.0,5.0,,,,,,wizard_interaction,blueAmulet
2025-10-14 23:44:09.373Z,GAME_ACTION,right,8.0,5.0,,,,,,,
2025-10-14 23:44:11.758Z,GAME_ACTION,left,8.0,5.0,,,,,,,
2025-10-14 23:44:12.533Z,GAME_ACTION,left,7.0,5.0,,,,,,,
2025-10-14 23:44:13.334Z,GAME_ACTION,left,6.0,5.0,,,,,,,
2025-10-14 23:44:14.589Z,GAME_ACTION,down,5.0,5.0,,,,,,,
2025-10-14 23:44:15.710Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-14 23:44:17.089Z,GAME_ACTION,left,5.0,7.0,,,,,,,
2025-10-14 23:44:17.701Z,GAME_ACTION,left,4.0,7.0,,,,,,,
2025-10-14 23:44:18.597Z,GAME_ACTION,left,3.0,7.0,,,,,,,
2025-10-14 23:44:19.692Z,INTERACTION,,3.0,7.0,,,,,,treasure_interaction,A
2025-10-14 23:44:19.692Z,GAME_ACTION,left,2.0,7.0,,,,,,,
2025-10-14 23:44:25.774Z,GAME_ACTION,right,1.0,7.0,,,,,,,
2025-10-14 23:44:26.422Z,GAME_ACTION,right,2.0,7.0,,,,,,,
2025-10-14 23:44:27.166Z,GAME_ACTION,right,3.0,7.0,,,,,,,
2025-10-14 23:44:27.952Z,GAME_ACTION,right,4.0,7.0,,,,,,,
2025-10-14 23:44:29.270Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-14 23:44:29.869Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-14 23:44:31.406Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-14 23:44:32.342Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-14 23:44:33.088Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-14 23:44:33.918Z,INTERACTION,,7.0,9.0,,,,,,treasure_interaction,B
2025-10-14 23:44:33.918Z,LEVEL_COMPLETE,,7.0,9.0,,,,,,,
2025-10-14 23:44:33.918Z,GAME_ACTION,right,8.0,9.0,,,,,,,
2025-10-14 23:44:36.933Z,LEVEL_COMPLETE,,8.0,9.0,,,-17.0,,,,

Level: new_s112_2
