Session ID,u1760722422354
Completed At,2025-10-17 17:54:35.662Z
Created At,2025-10-17 17:33:42.354Z

User Data
prolificId,606f9bca353fc36aba9ccb8b
age,33
gender,male
timestamp,1760723675512

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-17 17:34:34.768Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-17 17:34:37.294Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: new_s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-17 17:33:42.445Z,LEVEL_START,,,,,,,,,,
2025-10-17 17:33:42.446Z,LEVEL_START,,,,,,,,,,
2025-10-17 17:34:55.252Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-17 17:34:55.874Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-17 17:34:58.014Z,GAME_ACTION,left,5.0,5.0,,,,,,,
2025-10-17 17:34:58.276Z,GAME_ACTION,left,4.0,5.0,,,,,,,
2025-10-17 17:34:58.568Z,GAME_ACTION,left,3.0,5.0,,,,,,,
2025-10-17 17:34:59.304Z,GAME_ACTION,left,2.0,5.0,,,,,,,
2025-10-17 17:34:59.304Z,INTERACTION,,2.0,5.0,,,,,,wizard_interaction,
2025-10-17 17:35:02.281Z,GAME_ACTION,right,2.0,5.0,,,,,,,
2025-10-17 17:35:02.482Z,GAME_ACTION,right,3.0,5.0,,,,,,,
2025-10-17 17:35:02.638Z,GAME_ACTION,right,4.0,5.0,,,,,,,
2025-10-17 17:35:02.830Z,GAME_ACTION,right,5.0,5.0,,,,,,,
2025-10-17 17:35:03.006Z,GAME_ACTION,right,6.0,5.0,,,,,,,
2025-10-17 17:35:03.178Z,GAME_ACTION,right,7.0,5.0,,,,,,,
2025-10-17 17:35:03.380Z,INTERACTION,,7.0,5.0,,,,,,wizard_interaction,blueAmulet
2025-10-17 17:35:03.380Z,GAME_ACTION,right,8.0,5.0,,,,,,,
2025-10-17 17:35:05.551Z,GAME_ACTION,left,8.0,5.0,,,,,,,
2025-10-17 17:35:05.988Z,GAME_ACTION,left,7.0,5.0,,,,,,,
2025-10-17 17:35:06.240Z,GAME_ACTION,left,6.0,5.0,,,,,,,
2025-10-17 17:35:07.138Z,GAME_ACTION,down,5.0,5.0,,,,,,,
2025-10-17 17:35:07.344Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-17 17:35:07.528Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-17 17:35:07.730Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-17 17:35:08.916Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-17 17:35:09.092Z,GAME_ACTION,right,6.0,9.0,,,,,,,
