pid,amount
661b3299bf19db77d7412b86,0.5
6670e05a65d32df6fa3e7560,0.5
62e19208352cd518d7b2f085,1.0
68114b50b766b8f5b3b6cc8e,0.59
6646cdbd7a8e4d39556e459b,1.0
5e402dcd7b260d000a7b69fe,1.0
60ac66a8e1bf5a1c51fa864c,0.5
607cbf385d3202721e3f719f,0.93
666204d4cbd0992fc4079cb9,0.84
630981b0f861918e8174a43e,0.5
660604f1a9c44af2909516f6,0.5
66a02d45a7db35d93c9f6a81,0.5
6657b0d02e5dfa6c2663a647,1.0
668f18516826b7151ab685b3,1.0
663abed88723950daa2012ce,0.99
5c7e764fa7432a00169e1499,0.5
66ac261efa487682e38c3024,0.2
5e8aa4d80eac7e756a72f478,0.5
67dd46602623d4bf857f7fa2,0.5
