Session ID,u1759791229407
Completed At,2025-10-06 23:15:19.335Z
Created At,2025-10-06 22:53:49.407Z

User Data
prolificId,666204d4cbd0992fc4079cb9
age,47
gender,female
feedback,Observing the opposing player was helpful. Sometimes the wait for the observation of the map felt a little long.
timestamp,1759792529814

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:01:43.633Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:02:18.549Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-06 23:02:23.935Z,GAME_ACTION,up,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-06 23:02:25.568Z,GAME_ACTION,up,5.0,6.0,5.0,5.0,,experienced1,,,
2025-10-06 23:02:26.799Z,AGENT_OBSERVE,,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:28.869Z,GAME_ACTION,right,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:30.413Z,GAME_ACTION,right,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:30.864Z,GAME_ACTION,right,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:31.435Z,GAME_ACTION,right,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:31.436Z,INTERACTION,,8.0,5.0,6.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-06 23:02:36.610Z,GAME_ACTION,left,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:37.091Z,GAME_ACTION,left,7.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:37.613Z,GAME_ACTION,left,6.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:38.873Z,GAME_ACTION,down,5.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:39.173Z,GAME_ACTION,down,5.0,6.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:39.352Z,GAME_ACTION,down,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:39.551Z,GAME_ACTION,down,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:40.522Z,GAME_ACTION,right,5.0,9.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:40.702Z,GAME_ACTION,right,6.0,9.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:40.867Z,GAME_ACTION,right,7.0,9.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:41.050Z,GAME_ACTION,right,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:41.051Z,INTERACTION,,8.0,9.0,6.0,5.0,,experienced1,,treasure_interaction,A
2025-10-06 23:02:41.051Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,,experienced1,,,
2025-10-06 23:02:44.052Z,LEVEL_COMPLETE,,8.0,9.0,6.0,5.0,24.0,experienced1,,,

Level: mod_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:02:44.154Z,LEVEL_START,,,,,,,,,,
2025-10-06 23:02:44.157Z,LEVEL_START,,,,,,,,,,
2025-10-06 23:03:12.473Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-06 23:03:14.197Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-06 23:03:15.070Z,GAME_ACTION,left,5.0,9.0,,,,,,,
2025-10-06 23:03:15.383Z,GAME_ACTION,left,4.0,9.0,,,,,,,
2025-10-06 23:03:15.561Z,GAME_ACTION,left,3.0,9.0,,,,,,,
2025-10-06 23:03:15.743Z,GAME_ACTION,left,2.0,9.0,,,,,,,
2025-10-06 23:03:15.938Z,GAME_ACTION,left,1.0,9.0,,,,,,,
2025-10-06 23:03:16.673Z,GAME_ACTION,down,1.0,9.0,,,,,,,
2025-10-06 23:03:17.168Z,GAME_ACTION,down,1.0,10.0,,,,,,,
2025-10-06 23:03:17.169Z,INTERACTION,,1.0,10.0,,,,,,wizard_interaction,redAmulet
2025-10-06 23:03:19.165Z,GAME_ACTION,up,1.0,10.0,,,,,,,
2025-10-06 23:03:20.680Z,AGENT_OBSERVE,,1.0,9.0,5.0,5.0,,experienced1,,,
2025-10-06 23:03:21.560Z,AGENT_OBSERVE,,1.0,9.0,5.0,6.0,,experienced1,,,
2025-10-06 23:03:24.233Z,AGENT_OBSERVE,,1.0,9.0,5.0,7.0,,experienced1,,,
2025-10-06 23:03:24.759Z,AGENT_OBSERVE,,1.0,9.0,5.0,8.0,,experienced1,,,
2025-10-06 23:03:24.966Z,AGENT_OBSERVE,,1.0,9.0,5.0,9.0,,experienced1,,,
2025-10-06 23:03:25.175Z,AGENT_OBSERVE,,1.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:26.114Z,AGENT_OBSERVE,,1.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:27.532Z,GAME_ACTION,right,1.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:27.983Z,GAME_ACTION,right,2.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:28.327Z,GAME_ACTION,right,3.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:28.819Z,GAME_ACTION,right,4.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:30.307Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:30.936Z,INTERACTION,,5.0,9.0,5.0,10.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-06 23:03:30.936Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:32.874Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:34.149Z,GAME_ACTION,right,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:03:34.807Z,GAME_ACTION,right,6.0,9.0,5.0,10.0,,experienced1,,,
