Session ID,u1759792021097
Completed At,2025-10-07 00:16:46.919Z
Created At,2025-10-06 23:07:01.097Z

User Data
prolificId,66ac261efa487682e38c3024
age,61
gender,female
feedback,N/A
timestamp,1759796206673

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:35:07.512Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-06 23:35:11.131Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: mod_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:35:41.392Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-06 23:36:25.415Z,GAME_ACTION,down,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-06 23:36:28.577Z,AGENT_OBSERVE,,5.0,8.0,6.0,5.0,,experienced1,,,
2025-10-06 23:36:31.166Z,AGENT_OBSERVE,,5.0,8.0,7.0,5.0,,experienced1,,,
2025-10-06 23:36:33.520Z,AGENT_OBSERVE,,5.0,8.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:35.118Z,AGENT_OBSERVE,,5.0,8.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:45.827Z,GAME_ACTION,up,5.0,8.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:46.655Z,GAME_ACTION,up,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:47.567Z,GAME_ACTION,up,5.0,6.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:49.279Z,GAME_ACTION,right,5.0,5.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:49.980Z,GAME_ACTION,right,6.0,5.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:51.461Z,GAME_ACTION,right,7.0,5.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:52.572Z,GAME_ACTION,right,8.0,5.0,8.0,5.0,,experienced1,,,
2025-10-06 23:36:52.574Z,INTERACTION,,8.0,5.0,8.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-06 23:37:08.430Z,AGENT_OBSERVE,,8.0,5.0,7.0,5.0,,experienced1,,,
2025-10-06 23:37:09.848Z,AGENT_OBSERVE,,8.0,5.0,6.0,5.0,,experienced1,,,
2025-10-06 23:37:10.766Z,AGENT_OBSERVE,,8.0,5.0,5.0,5.0,,experienced1,,,
2025-10-06 23:37:11.845Z,AGENT_OBSERVE,,8.0,5.0,5.0,6.0,,experienced1,,,
2025-10-06 23:37:12.936Z,AGENT_OBSERVE,,8.0,5.0,5.0,7.0,,experienced1,,,
2025-10-06 23:37:13.868Z,AGENT_OBSERVE,,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-06 23:37:14.750Z,AGENT_OBSERVE,,8.0,5.0,5.0,9.0,,experienced1,,,
2025-10-06 23:37:15.712Z,AGENT_OBSERVE,,8.0,5.0,6.0,9.0,,experienced1,,,
2025-10-06 23:37:16.607Z,AGENT_OBSERVE,,8.0,5.0,7.0,9.0,,experienced1,,,
2025-10-06 23:37:17.538Z,AGENT_OBSERVE,,8.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:29.945Z,GAME_ACTION,left,8.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:30.466Z,GAME_ACTION,left,7.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:30.679Z,GAME_ACTION,left,6.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:31.020Z,GAME_ACTION,left,5.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:32.771Z,GAME_ACTION,right,4.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:34.111Z,GAME_ACTION,down,5.0,5.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:34.363Z,GAME_ACTION,down,5.0,6.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:34.591Z,GAME_ACTION,down,5.0,7.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:35.434Z,GAME_ACTION,down,5.0,8.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:36.955Z,GAME_ACTION,right,5.0,9.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:37.695Z,GAME_ACTION,right,6.0,9.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:38.379Z,GAME_ACTION,right,7.0,9.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:43.171Z,GAME_ACTION,right,8.0,9.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:43.172Z,INTERACTION,,8.0,9.0,8.0,9.0,,experienced1,,treasure_interaction,A
2025-10-06 23:37:43.173Z,LEVEL_COMPLETE,,8.0,9.0,8.0,9.0,,experienced1,,,
2025-10-06 23:37:46.175Z,LEVEL_COMPLETE,,8.0,9.0,8.0,9.0,-1.0,experienced1,,,

Level: mod_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-06 23:37:46.894Z,LEVEL_START,,,,,,,,,,
2025-10-06 23:37:47.151Z,LEVEL_START,,,,,,,,,,
2025-10-06 23:39:16.750Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-06 23:39:18.038Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-06 23:39:18.878Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-06 23:39:19.823Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-06 23:39:20.815Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-06 23:39:21.786Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:22.792Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:32.432Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:33.281Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:34.171Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:39.893Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-06 23:39:39.893Z,INTERACTION,,5.0,10.0,5.0,10.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-06 23:39:56.497Z,AGENT_OBSERVE,,5.0,10.0,5.0,9.0,,experienced1,,,
2025-10-06 23:39:57.370Z,AGENT_OBSERVE,,5.0,10.0,4.0,9.0,,experienced1,,,
2025-10-06 23:39:58.242Z,AGENT_OBSERVE,,5.0,10.0,3.0,9.0,,experienced1,,,
2025-10-06 23:39:59.078Z,AGENT_OBSERVE,,5.0,10.0,2.0,9.0,,experienced1,,,
2025-10-06 23:40:00.292Z,AGENT_OBSERVE,,5.0,10.0,1.0,9.0,,experienced1,,,
2025-10-06 23:40:01.845Z,AGENT_OBSERVE,,5.0,10.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:02.907Z,AGENT_OBSERVE,,5.0,10.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:12.017Z,GAME_ACTION,up,5.0,10.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:13.930Z,GAME_ACTION,left,5.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:14.730Z,GAME_ACTION,left,4.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:15.474Z,GAME_ACTION,left,3.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:16.291Z,GAME_ACTION,left,2.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:18.024Z,GAME_ACTION,down,1.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:18.916Z,GAME_ACTION,down,1.0,10.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:18.917Z,INTERACTION,,1.0,10.0,1.0,10.0,,experienced1,,wizard_interaction,redAmulet
2025-10-06 23:40:43.429Z,GAME_ACTION,up,1.0,10.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:45.211Z,GAME_ACTION,right,1.0,9.0,1.0,10.0,,experienced1,,,
2025-10-06 23:40:46.571Z,GAME_ACTION,right,2.0,9.0,1.0,10.0,,experienced1,,,
