Session ID,u1760484860337
Completed At,2025-10-14 23:43:47.000Z
Created At,2025-10-14 23:34:20.337Z

User Data
prolificId,630981b0f861918e8174a43e
age,43
gender,male
feedback,Thank you
timestamp,1760485426753

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-14 23:35:48.089Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: new_s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-14 23:34:20.538Z,LEVEL_START,,,,,,,,,,
2025-10-14 23:34:20.540Z,LEVEL_START,,,,,,,,,,
2025-10-14 23:36:07.778Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-14 23:36:09.131Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:16.877Z,GAME_ACTION,up,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:17.422Z,GAME_ACTION,up,5.0,6.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:18.526Z,GAME_ACTION,left,5.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:18.788Z,GAME_ACTION,left,4.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:19.197Z,GAME_ACTION,left,3.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:19.612Z,GAME_ACTION,left,2.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:19.613Z,INTERACTION,,2.0,5.0,5.0,6.0,,experienced2,,wizard_interaction,
2025-10-14 23:36:21.117Z,GAME_ACTION,right,2.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:21.381Z,GAME_ACTION,right,3.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:21.605Z,GAME_ACTION,right,4.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:21.861Z,GAME_ACTION,right,5.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:22.095Z,GAME_ACTION,right,6.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:22.357Z,GAME_ACTION,right,7.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:22.749Z,GAME_ACTION,right,8.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:22.749Z,INTERACTION,,8.0,5.0,5.0,6.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-14 23:36:24.358Z,GAME_ACTION,left,8.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:24.742Z,GAME_ACTION,left,7.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:25.294Z,GAME_ACTION,left,6.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:27.254Z,GAME_ACTION,down,5.0,5.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:27.574Z,GAME_ACTION,down,5.0,6.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:27.943Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-14 23:36:28.365Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced2,,,
