Session ID,u1760823411656
Completed At,2025-10-18 21:55:33.192Z
Created At,2025-10-18 21:36:51.656Z

User Data
prolificId,66cbc2627559d53c0e3e4ac4
age,34
gender,female
feedback,This was somewhat fun
timestamp,1760824534652

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:42:03.243Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:36:51.800Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:36:51.865Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:36:51.868Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:42:26.500Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-18 21:42:29.473Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-18 21:42:34.659Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced2,,,
2025-10-18 21:42:40.243Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:51.467Z,GAME_ACTION,up,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:52.202Z,GAME_ACTION,up,5.0,6.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:53.971Z,GAME_ACTION,left,5.0,5.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:54.506Z,GAME_ACTION,left,4.0,5.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:55.114Z,GAME_ACTION,left,3.0,5.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:55.642Z,GAME_ACTION,left,2.0,5.0,5.0,8.0,,experienced2,,,
2025-10-18 21:42:55.643Z,INTERACTION,,2.0,5.0,5.0,8.0,,experienced2,,wizard_interaction,
2025-10-18 21:42:58.363Z,GAME_ACTION,right,2.0,5.0,5.0,8.0,,experienced2,,,
