Session ID,u1760831724336
Completed At,2025-10-19 00:12:40.336Z
Created At,2025-10-18 23:55:24.336Z

User Data
prolificId,650b03136ab3d4c832d98b71
age,31
gender,male
feedback,"what is the point of this being a game where I am supposed to observe someone else if they are constantly going to the amulet that I am NOT supposed to go after?! Almost half the rounds the other player just goes to the red wizard which makes me have to guess which of the blue wizards has the amulet, which completely negates the point of observing the other player!"
timestamp,1760832935147

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-19 00:03:01.881Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 23:55:24.544Z,LEVEL_START,,,,,,,,,,
2025-10-18 23:55:24.639Z,LEVEL_START,,,,,,,,,,
2025-10-19 00:03:18.893Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-19 00:03:21.802Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-19 00:03:26.412Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-19 00:03:27.160Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-19 00:03:27.922Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-19 00:03:28.900Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:32.984Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:33.592Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:34.084Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:34.746Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:34.746Z,INTERACTION,,5.0,10.0,5.0,10.0,,experienced1,,treasure_interaction,C
2025-10-19 00:03:46.094Z,GAME_ACTION,up,5.0,11.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:46.264Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:46.430Z,GAME_ACTION,up,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:46.594Z,GAME_ACTION,up,5.0,8.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:46.764Z,GAME_ACTION,up,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:47.264Z,GAME_ACTION,up,5.0,6.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:49.118Z,GAME_ACTION,right,6.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:49.300Z,GAME_ACTION,right,7.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:49.800Z,GAME_ACTION,right,8.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:49.800Z,INTERACTION,,8.0,5.0,5.0,10.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-19 00:03:52.443Z,GAME_ACTION,left,8.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:52.616Z,GAME_ACTION,left,7.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:52.982Z,GAME_ACTION,left,6.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:54.400Z,GAME_ACTION,down,5.0,5.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:54.550Z,GAME_ACTION,down,5.0,6.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:54.720Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:55.010Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:56.816Z,GAME_ACTION,right,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:56.980Z,GAME_ACTION,right,6.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:57.142Z,GAME_ACTION,right,7.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:57.328Z,GAME_ACTION,right,8.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:03:57.328Z,INTERACTION,,8.0,9.0,5.0,10.0,,experienced1,,treasure_interaction,B
2025-10-19 00:03:57.328Z,LEVEL_COMPLETE,,8.0,9.0,5.0,10.0,,experienced1,,,
2025-10-19 00:04:00.337Z,LEVEL_COMPLETE,,8.0,9.0,5.0,10.0,19.0,experienced1,,,

Level: s112_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-19 00:04:00.464Z,LEVEL_START,,,,,,,,,,
2025-10-19 00:04:00.491Z,LEVEL_START,,,,,,,,,,
2025-10-19 00:04:21.616Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-19 00:04:22.726Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:28.606Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:28.792Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:29.016Z,GAME_ACTION,down,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:29.568Z,GAME_ACTION,down,5.0,10.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:29.568Z,INTERACTION,,5.0,10.0,5.0,6.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-19 00:04:32.804Z,GAME_ACTION,up,5.0,10.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:34.262Z,GAME_ACTION,left,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:34.412Z,GAME_ACTION,left,4.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:34.568Z,GAME_ACTION,left,3.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:34.726Z,GAME_ACTION,left,2.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:35.678Z,GAME_ACTION,down,1.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:35.834Z,INTERACTION,,1.0,9.0,5.0,6.0,,experienced2,,wizard_interaction,redAmulet
2025-10-19 00:04:35.834Z,GAME_ACTION,down,1.0,10.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:37.410Z,GAME_ACTION,up,1.0,10.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:38.500Z,GAME_ACTION,right,1.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:38.662Z,GAME_ACTION,right,2.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:38.854Z,GAME_ACTION,right,3.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:39.440Z,GAME_ACTION,right,4.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:39.900Z,GAME_ACTION,up,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:40.412Z,GAME_ACTION,up,5.0,8.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:41.576Z,GAME_ACTION,left,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:41.729Z,GAME_ACTION,left,4.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:41.884Z,GAME_ACTION,left,3.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:42.048Z,GAME_ACTION,left,2.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:42.048Z,INTERACTION,,2.0,7.0,5.0,6.0,,experienced2,,treasure_interaction,B
2025-10-19 00:04:42.048Z,LEVEL_COMPLETE,,2.0,7.0,5.0,6.0,,experienced2,,,
2025-10-19 00:04:45.052Z,LEVEL_COMPLETE,,2.0,7.0,5.0,6.0,8.0,experienced2,,,

Level: s311_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-19 00:04:45.185Z,LEVEL_START,,,,,,,,,,
2025-10-19 00:04:45.242Z,LEVEL_START,,,,,,,,,,
2025-10-19 00:05:04.574Z,AGENT_OBSERVE,,2.0,7.0,1.0,5.0,,experienced2,,,
