Session ID,u1760986034335
Completed At,2025-10-20 18:56:33.791Z
Created At,2025-10-20 18:47:14.335Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:47:14.420Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:47:14.465Z,LEVEL_START,,,,,,,,,,
2025-10-20 18:47:14.466Z,LEVEL_START,,,,,,,,,,

Level: s211
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:56:10.240Z,LEVEL_START,,,,,,,,,,

Level: s421
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:50:49.354Z,LEVEL_START,,,,,,,,,,
2025-10-20 18:50:50.551Z,AGENT_OBSERVE,,0.0,9.0,4.0,7.0,,experienced1,,,
2025-10-20 18:50:50.688Z,AGENT_OBSERVE,,0.0,9.0,4.0,8.0,,experienced1,,,
2025-10-20 18:50:51.137Z,AGENT_OBSERVE,,0.0,9.0,4.0,8.0,,experienced2,,,
2025-10-20 18:50:51.382Z,AGENT_OBSERVE,,0.0,9.0,4.0,7.0,,experienced2,,,
2025-10-20 18:50:51.553Z,AGENT_OBSERVE,,0.0,9.0,4.0,6.0,,experienced2,,,
2025-10-20 18:50:51.731Z,AGENT_OBSERVE,,0.0,9.0,4.0,5.0,,experienced2,,,
2025-10-20 18:50:52.062Z,AGENT_OBSERVE,,0.0,9.0,4.0,9.0,,experienced1,,,
2025-10-20 18:51:12.495Z,AGENT_OBSERVE,,0.0,9.0,4.0,10.0,,experienced1,,,
2025-10-20 18:51:13.991Z,AGENT_OBSERVE,,0.0,9.0,4.0,11.0,,experienced1,,,
2025-10-20 18:51:14.280Z,AGENT_OBSERVE,,0.0,9.0,5.0,11.0,,experienced1,,,
2025-10-20 18:51:14.674Z,AGENT_OBSERVE,,0.0,9.0,6.0,11.0,,experienced1,,,
2025-10-20 18:51:15.189Z,AGENT_OBSERVE,,0.0,9.0,4.0,4.0,,experienced2,,,
2025-10-20 18:51:15.556Z,AGENT_OBSERVE,,0.0,9.0,4.0,3.0,,experienced2,,,
2025-10-20 18:51:15.779Z,AGENT_OBSERVE,,0.0,9.0,3.0,3.0,,experienced2,,,
2025-10-20 18:51:15.998Z,AGENT_OBSERVE,,0.0,9.0,2.0,3.0,,experienced2,,,
2025-10-20 18:51:16.232Z,AGENT_OBSERVE,,0.0,9.0,1.0,3.0,,experienced2,,,
2025-10-20 18:51:16.972Z,AGENT_OBSERVE,,0.0,9.0,7.0,11.0,,experienced1,,,
2025-10-20 18:51:17.147Z,AGENT_OBSERVE,,0.0,9.0,8.0,11.0,,experienced1,,,
2025-10-20 18:51:17.888Z,AGENT_OBSERVE,,0.0,9.0,0.0,3.0,,experienced2,,,
2025-10-20 18:51:18.048Z,AGENT_OBSERVE,,0.0,9.0,0.0,2.0,,experienced2,,,
2025-10-20 18:51:18.714Z,AGENT_OBSERVE,,0.0,9.0,9.0,11.0,,experienced1,,,
2025-10-20 18:51:28.456Z,AGENT_OBSERVE,,0.0,9.0,0.0,1.0,,experienced2,,,
2025-10-20 18:51:28.673Z,AGENT_OBSERVE,,0.0,9.0,0.0,1.0,,experienced2,,,
2025-10-20 18:51:29.254Z,AGENT_OBSERVE,,0.0,9.0,0.0,2.0,,experienced2,,,
2025-10-20 18:51:29.430Z,AGENT_OBSERVE,,0.0,9.0,0.0,3.0,,experienced2,,,
2025-10-20 18:51:30.563Z,AGENT_OBSERVE,,0.0,9.0,10.0,11.0,,experienced1,,,
2025-10-20 18:52:41.958Z,AGENT_OBSERVE,,0.0,9.0,4.0,7.0,,experienced1,,,
2025-10-20 18:52:42.183Z,AGENT_OBSERVE,,0.0,9.0,4.0,8.0,,experienced1,,,
2025-10-20 18:52:42.591Z,AGENT_OBSERVE,,0.0,9.0,4.0,9.0,,experienced1,,,
2025-10-20 18:52:43.644Z,AGENT_OBSERVE,,0.0,9.0,4.0,10.0,,experienced1,,,
2025-10-20 18:56:03.789Z,AGENT_OBSERVE,,0.0,9.0,4.0,11.0,,experienced1,,,
2025-10-20 18:56:04.148Z,AGENT_OBSERVE,,0.0,9.0,5.0,11.0,,experienced1,,,
2025-10-20 18:56:04.421Z,AGENT_OBSERVE,,0.0,9.0,6.0,11.0,,experienced1,,,
2025-10-20 18:56:04.615Z,AGENT_OBSERVE,,0.0,9.0,7.0,11.0,,experienced1,,,
2025-10-20 18:56:04.811Z,AGENT_OBSERVE,,0.0,9.0,8.0,11.0,,experienced1,,,

