Session ID,u1760981113354
Completed At,2025-10-20 17:37:32.564Z
Created At,2025-10-20 17:25:13.354Z

User Data
prolificId,597fe89a1b41a20001749f57
age,47
gender,female
timestamp,1760981852381

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:27:18.896Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:37:13.914Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:25:13.420Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:25:13.451Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:27:41.543Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 17:27:44.915Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 17:27:46.115Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 17:27:47.042Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 17:27:47.794Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-20 17:27:48.466Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-20 17:27:49.097Z,AGENT_OBSERVE,,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:00.700Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:01.748Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:02.651Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:03.186Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:03.739Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,experienced1,,,
2025-10-20 17:28:04.306Z,INTERACTION,,7.0,5.0,5.0,11.0,,experienced1,,wizard_interaction,blueAmulet
