Session ID,u1761001052360
Completed At,2025-10-20 23:14:25.533Z
Created At,2025-10-20 22:57:32.360Z

User Data
prolificId,67508fdb923229a00abf2aa7
age,58
gender,male
feedback,I thought the game was fun and it draws you in.
timestamp,1761002074855

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 23:02:20.844Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 23:02:35.867Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 23:13:55.524Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:57:32.557Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:57:32.656Z,LEVEL_START,,,,,,,,,,
2025-10-20 23:02:52.948Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 23:02:58.003Z,GAME_ACTION,up,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 23:03:06.163Z,AGENT_OBSERVE,,5.0,6.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:10.243Z,GAME_ACTION,up,5.0,6.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:14.795Z,GAME_ACTION,left,5.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:15.091Z,GAME_ACTION,left,4.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:15.587Z,GAME_ACTION,left,3.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:15.923Z,GAME_ACTION,left,2.0,5.0,5.0,6.0,,experienced1,,,
2025-10-20 23:03:15.923Z,INTERACTION,,2.0,5.0,5.0,6.0,,experienced1,,wizard_interaction,
2025-10-20 23:03:19.219Z,AGENT_OBSERVE,,2.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:22.411Z,GAME_ACTION,left,2.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:22.683Z,GAME_ACTION,left,2.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:23.619Z,GAME_ACTION,right,2.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:23.883Z,GAME_ACTION,right,3.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:24.131Z,GAME_ACTION,right,4.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:24.355Z,GAME_ACTION,right,5.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:24.603Z,GAME_ACTION,right,6.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:24.843Z,GAME_ACTION,right,7.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:25.115Z,GAME_ACTION,right,8.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:25.115Z,INTERACTION,,8.0,5.0,5.0,7.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-20 23:03:31.843Z,GAME_ACTION,left,8.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:32.291Z,GAME_ACTION,left,7.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:32.787Z,GAME_ACTION,left,6.0,5.0,5.0,7.0,,experienced1,,,
2025-10-20 23:03:34.899Z,AGENT_OBSERVE,,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 23:03:38.563Z,GAME_ACTION,down,5.0,5.0,5.0,8.0,,experienced1,,,
