Session ID,u1761683803548
Completed At,2025-10-28 21:03:59.526Z
Created At,2025-10-28 20:36:43.548Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: mod_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:36:43.696Z,LEVEL_START,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:36:43.646Z,LEVEL_START,,,,,,,,,,

Level: sm211_true
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-28 20:54:15.159Z,LEVEL_START,,,,,,,,,,
2025-10-28 20:54:16.762Z,AGENT_OBSERVE,,7.0,9.0,1.0,5.0,,experienced4,,,
2025-10-28 20:54:19.570Z,AGENT_OBSERVE,,7.0,9.0,2.0,4.0,,experienced1,,,
2025-10-28 20:54:26.087Z,AGENT_OBSERVE,,7.0,9.0,2.0,4.0,,experienced1,,,
2025-10-28 20:54:27.011Z,AGENT_OBSERVE,,7.0,9.0,2.0,4.0,,experienced1,,,
2025-10-28 20:54:27.783Z,AGENT_OBSERVE,,7.0,9.0,2.0,3.0,,experienced1,,,
2025-10-28 20:54:28.141Z,AGENT_OBSERVE,,7.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:29.241Z,GAME_ACTION,left,7.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:29.423Z,GAME_ACTION,left,6.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:29.582Z,GAME_ACTION,left,5.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:29.763Z,GAME_ACTION,left,4.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:29.940Z,GAME_ACTION,left,3.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:30.300Z,GAME_ACTION,up,2.0,9.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:30.474Z,GAME_ACTION,up,2.0,8.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:30.640Z,GAME_ACTION,up,2.0,7.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:30.790Z,GAME_ACTION,up,2.0,6.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:30.954Z,GAME_ACTION,up,2.0,5.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:31.124Z,GAME_ACTION,up,2.0,4.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:31.696Z,GAME_ACTION,right,2.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:31.865Z,GAME_ACTION,right,3.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.022Z,GAME_ACTION,right,4.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.191Z,GAME_ACTION,right,5.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.356Z,GAME_ACTION,right,6.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.506Z,GAME_ACTION,right,7.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.640Z,GAME_ACTION,right,8.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:32.958Z,GAME_ACTION,right,9.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:33.424Z,GAME_ACTION,up,10.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:33.589Z,GAME_ACTION,up,10.0,2.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:33.840Z,GAME_ACTION,up,10.0,1.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:33.841Z,INTERACTION,,10.0,1.0,3.0,3.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-28 20:54:34.404Z,GAME_ACTION,down,10.0,1.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:34.665Z,GAME_ACTION,down,10.0,2.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:35.805Z,GAME_ACTION,left,10.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:35.982Z,GAME_ACTION,left,9.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.146Z,GAME_ACTION,left,8.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.321Z,GAME_ACTION,left,7.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.490Z,GAME_ACTION,left,6.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.641Z,GAME_ACTION,left,5.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.804Z,GAME_ACTION,left,4.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:36.973Z,GAME_ACTION,left,3.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:37.699Z,GAME_ACTION,down,2.0,3.0,3.0,3.0,,experienced1,,,
2025-10-28 20:54:37.874Z,GAME_ACTION,down,2.0,4.0,3.0,3.0,,experienced1,,,
