Session ID,u1761073002352
Completed At,2025-10-21 19:07:16.199Z
Created At,2025-10-21 18:56:42.352Z

User Data
prolificId,677477bdade43d5c86f9308a
age,30
gender,male
feedback,"The game was fun, and I enjoyed playing!"
timestamp,1761073643129

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 18:59:38.738Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:06:46.189Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: mod_s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 18:56:42.440Z,LEVEL_START,,,,,,,,,,
2025-10-21 18:59:54.220Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-21 18:59:56.127Z,AGENT_OBSERVE,,5.0,7.0,6.0,5.0,,experienced1,,,
2025-10-21 18:59:56.943Z,AGENT_OBSERVE,,5.0,7.0,7.0,5.0,,experienced1,,,
2025-10-21 18:59:57.583Z,AGENT_OBSERVE,,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 18:59:58.354Z,AGENT_OBSERVE,,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:01.910Z,GAME_ACTION,up,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:02.367Z,GAME_ACTION,up,5.0,6.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:03.348Z,GAME_ACTION,right,5.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:03.682Z,GAME_ACTION,right,6.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:04.220Z,GAME_ACTION,right,7.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:05.825Z,GAME_ACTION,right,8.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:05.825Z,INTERACTION,,8.0,5.0,8.0,5.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 19:00:07.362Z,GAME_ACTION,left,8.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:08.081Z,GAME_ACTION,left,7.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:08.768Z,GAME_ACTION,left,6.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:09.681Z,GAME_ACTION,down,5.0,5.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:10.104Z,GAME_ACTION,down,5.0,6.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:10.936Z,GAME_ACTION,down,5.0,7.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:11.865Z,GAME_ACTION,down,5.0,8.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:13.410Z,GAME_ACTION,right,5.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:14.231Z,GAME_ACTION,right,6.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:14.741Z,GAME_ACTION,right,7.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:17.630Z,GAME_ACTION,right,8.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:17.630Z,INTERACTION,,8.0,9.0,8.0,5.0,,experienced1,,treasure_interaction,A
2025-10-21 19:00:17.630Z,LEVEL_COMPLETE,,8.0,9.0,8.0,5.0,,experienced1,,,
2025-10-21 19:00:20.636Z,LEVEL_COMPLETE,,8.0,9.0,8.0,5.0,31.0,experienced1,,,

Level: mod_s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:00:20.693Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:00:20.701Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:00:35.254Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-21 19:00:36.419Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-21 19:00:37.295Z,GAME_ACTION,left,5.0,9.0,,,,,,,
2025-10-21 19:00:37.837Z,GAME_ACTION,left,4.0,9.0,,,,,,,
2025-10-21 19:00:38.282Z,GAME_ACTION,left,3.0,9.0,,,,,,,
2025-10-21 19:00:39.234Z,GAME_ACTION,left,2.0,9.0,,,,,,,
2025-10-21 19:00:40.459Z,GAME_ACTION,down,1.0,9.0,,,,,,,
2025-10-21 19:00:42.239Z,GAME_ACTION,down,1.0,10.0,,,,,,,
2025-10-21 19:00:42.239Z,INTERACTION,,1.0,10.0,,,,,,wizard_interaction,redAmulet
2025-10-21 19:00:44.436Z,AGENT_OBSERVE,,1.0,10.0,5.0,5.0,,experienced1,,,
2025-10-21 19:00:45.756Z,AGENT_OBSERVE,,1.0,10.0,5.0,6.0,,experienced1,,,
2025-10-21 19:00:46.508Z,AGENT_OBSERVE,,1.0,10.0,5.0,7.0,,experienced1,,,
2025-10-21 19:00:47.051Z,AGENT_OBSERVE,,1.0,10.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:51.451Z,GAME_ACTION,up,1.0,10.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:52.417Z,GAME_ACTION,right,1.0,9.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:52.629Z,GAME_ACTION,right,2.0,9.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:52.870Z,GAME_ACTION,right,3.0,9.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:53.155Z,GAME_ACTION,right,4.0,9.0,5.0,8.0,,experienced1,,,
2025-10-21 19:00:54.486Z,AGENT_OBSERVE,,5.0,9.0,5.0,9.0,,experienced1,,,
2025-10-21 19:00:55.547Z,AGENT_OBSERVE,,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:00:56.280Z,AGENT_OBSERVE,,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:00:57.928Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:00:59.816Z,INTERACTION,,5.0,9.0,5.0,10.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-21 19:00:59.816Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:00.890Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:01.785Z,GAME_ACTION,right,5.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:02.378Z,GAME_ACTION,right,6.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:03.637Z,GAME_ACTION,right,7.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:04.477Z,LEVEL_COMPLETE,,7.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:04.477Z,GAME_ACTION,right,8.0,9.0,5.0,10.0,,experienced1,,,
2025-10-21 19:01:04.477Z,INTERACTION,,8.0,9.0,5.0,10.0,,experienced1,,treasure_interaction,A
2025-10-21 19:01:07.481Z,LEVEL_COMPLETE,,8.0,9.0,5.0,10.0,29.0,experienced1,,,

Level: mod_s211_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-21 19:05:02.777Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:05:02.778Z,LEVEL_START,,,,,,,,,,
2025-10-21 19:05:17.655Z,AGENT_OBSERVE,,2.0,7.0,2.0,4.0,,experienced1,,,
2025-10-21 19:05:18.741Z,AGENT_OBSERVE,,2.0,7.0,2.0,3.0,,experienced1,,,
2025-10-21 19:05:19.319Z,AGENT_OBSERVE,,2.0,7.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:20.894Z,GAME_ACTION,up,2.0,7.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:21.091Z,GAME_ACTION,up,2.0,6.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:21.284Z,GAME_ACTION,up,2.0,5.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:21.458Z,GAME_ACTION,up,2.0,4.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:21.663Z,GAME_ACTION,up,2.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:22.371Z,GAME_ACTION,right,2.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:22.560Z,GAME_ACTION,right,3.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:22.743Z,GAME_ACTION,right,4.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:22.943Z,GAME_ACTION,right,5.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:23.139Z,GAME_ACTION,right,6.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:23.337Z,GAME_ACTION,right,7.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:23.563Z,GAME_ACTION,right,8.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:24.045Z,GAME_ACTION,right,9.0,3.0,3.0,3.0,,experienced1,,,
2025-10-21 19:05:24.430Z,GAME_ACTION,up,10.0,3.0,3.0,3.0,,experienced1,,,
