Session ID,u1760831507281
Completed At,2025-10-19 00:10:17.956Z
Created At,2025-10-18 23:51:47.281Z

User Data
prolificId,66786596876079055bec6c27
age,42
gender,male
timestamp,1760832617752

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 23:55:57.940Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 23:51:47.378Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 23:51:47.427Z,LEVEL_START,,,,,,,,,,
2025-10-18 23:51:47.428Z,LEVEL_START,,,,,,,,,,
2025-10-18 23:56:15.040Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-18 23:56:21.519Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-18 23:56:22.760Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced2,,,
2025-10-18 23:56:23.611Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-18 23:56:24.327Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced2,,,
2025-10-18 23:56:24.919Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-18 23:56:25.519Z,AGENT_OBSERVE,,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:45.108Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:45.708Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:48.324Z,GAME_ACTION,left,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:48.759Z,GAME_ACTION,left,4.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:49.243Z,GAME_ACTION,left,3.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:49.807Z,GAME_ACTION,left,2.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:49.808Z,INTERACTION,,2.0,5.0,5.0,11.0,,experienced2,,wizard_interaction,
2025-10-18 23:56:52.267Z,GAME_ACTION,right,2.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:52.727Z,GAME_ACTION,right,3.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:52.995Z,GAME_ACTION,right,4.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:53.243Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:53.487Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:53.751Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:54.003Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:56:54.003Z,INTERACTION,,8.0,5.0,5.0,11.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-18 23:56:54.267Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:05.696Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:06.088Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:06.571Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:08.156Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:08.551Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:08.871Z,GAME_ACTION,down,5.0,7.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:09.140Z,GAME_ACTION,down,5.0,8.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:10.807Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:11.176Z,GAME_ACTION,right,6.0,9.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:11.547Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:12.684Z,GAME_ACTION,right,8.0,9.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:12.684Z,INTERACTION,,8.0,9.0,5.0,11.0,,experienced2,,treasure_interaction,B
2025-10-18 23:57:12.684Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,,experienced2,,,
2025-10-18 23:57:15.685Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,16.0,experienced2,,,

Level: s112_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 23:57:15.773Z,LEVEL_START,,,,,,,,,,
2025-10-18 23:57:15.781Z,LEVEL_START,,,,,,,,,,
2025-10-18 23:57:32.615Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-18 23:57:33.743Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-18 23:57:34.880Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-18 23:57:36.240Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-18 23:57:39.023Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-18 23:57:40.084Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-18 23:57:41.160Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced1,,,
2025-10-18 23:57:43.507Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced1,,,
2025-10-18 23:57:44.291Z,AGENT_OBSERVE,,5.0,7.0,4.0,9.0,,experienced1,,,
2025-10-18 23:57:45.127Z,AGENT_OBSERVE,,5.0,7.0,3.0,9.0,,experienced1,,,
2025-10-18 23:57:54.176Z,GAME_ACTION,down,5.0,7.0,3.0,9.0,,experienced1,,,
2025-10-18 23:57:54.667Z,GAME_ACTION,down,5.0,8.0,3.0,9.0,,experienced1,,,
2025-10-18 23:57:55.328Z,GAME_ACTION,down,5.0,9.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:00.203Z,GAME_ACTION,up,5.0,10.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:02.463Z,GAME_ACTION,left,5.0,9.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:02.871Z,GAME_ACTION,left,4.0,9.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:03.411Z,GAME_ACTION,left,3.0,9.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:04.028Z,GAME_ACTION,left,2.0,9.0,3.0,9.0,,experienced1,,,
2025-10-18 23:58:05.247Z,GAME_ACTION,down,1.0,9.0,3.0,9.0,,experienced1,,,
