Session ID,u1760993915367
Completed At,2025-10-20 21:16:58.631Z
Created At,2025-10-20 20:58:35.367Z

User Data
prolificId,65b537602cf1fbd4f77c7909
age,59
gender,male
timestamp,1760995018435

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:00:20.933Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:16:49.616Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 20:58:35.448Z,LEVEL_START,,,,,,,,,,
2025-10-20 20:58:35.488Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:00:38.469Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 21:00:41.736Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 21:00:45.600Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 21:00:48.264Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:00:58.236Z,GAME_ACTION,up,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:00:59.323Z,GAME_ACTION,up,5.0,6.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:00.908Z,GAME_ACTION,left,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:02.000Z,GAME_ACTION,left,4.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:03.144Z,GAME_ACTION,left,3.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:04.016Z,INTERACTION,,3.0,5.0,5.0,8.0,,experienced1,,wizard_interaction,
2025-10-20 21:01:04.016Z,GAME_ACTION,left,2.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:06.780Z,GAME_ACTION,right,2.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:07.692Z,GAME_ACTION,right,3.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:08.636Z,GAME_ACTION,right,4.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:10.149Z,GAME_ACTION,right,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:11.019Z,GAME_ACTION,right,6.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:11.649Z,GAME_ACTION,right,7.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:12.297Z,GAME_ACTION,right,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:12.297Z,INTERACTION,,8.0,5.0,5.0,8.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-20 21:01:17.725Z,GAME_ACTION,left,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:18.952Z,GAME_ACTION,left,7.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:20.097Z,GAME_ACTION,left,6.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:21.213Z,GAME_ACTION,up,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:21.865Z,GAME_ACTION,up,5.0,4.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:22.588Z,GAME_ACTION,up,5.0,3.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:23.581Z,GAME_ACTION,up,5.0,2.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:23.581Z,INTERACTION,,5.0,2.0,5.0,8.0,,experienced1,,wizard_interaction,redAmulet
2025-10-20 21:01:26.136Z,GAME_ACTION,down,5.0,2.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:27.080Z,GAME_ACTION,down,5.0,3.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:28.488Z,GAME_ACTION,down,5.0,4.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:29.660Z,GAME_ACTION,down,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:31.545Z,GAME_ACTION,down,5.0,6.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:33.220Z,GAME_ACTION,left,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:34.587Z,GAME_ACTION,left,4.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:36.641Z,GAME_ACTION,left,3.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:39.725Z,INTERACTION,,3.0,7.0,5.0,8.0,,experienced1,,treasure_interaction,A
2025-10-20 21:01:39.725Z,GAME_ACTION,left,2.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:56.729Z,GAME_ACTION,right,1.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:58.096Z,GAME_ACTION,right,2.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:01:59.792Z,GAME_ACTION,right,3.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:00.865Z,GAME_ACTION,right,4.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:02.377Z,GAME_ACTION,down,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:03.000Z,GAME_ACTION,down,5.0,8.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:05.193Z,GAME_ACTION,right,5.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:05.760Z,GAME_ACTION,right,6.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:06.305Z,GAME_ACTION,right,7.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:07.437Z,LEVEL_COMPLETE,,7.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:07.437Z,GAME_ACTION,right,8.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 21:02:07.437Z,INTERACTION,,8.0,9.0,5.0,8.0,,experienced1,,treasure_interaction,B
2025-10-20 21:02:10.438Z,LEVEL_COMPLETE,,8.0,9.0,5.0,8.0,-21.0,experienced1,,,

Level: s112_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 21:02:10.518Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:02:10.525Z,LEVEL_START,,,,,,,,,,
2025-10-20 21:02:29.328Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-20 21:02:31.065Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:38.440Z,GAME_ACTION,down,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:39.409Z,GAME_ACTION,down,5.0,8.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:41.817Z,GAME_ACTION,down,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:42.965Z,GAME_ACTION,down,5.0,10.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:42.965Z,INTERACTION,,5.0,10.0,5.0,6.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-20 21:02:45.977Z,GAME_ACTION,up,5.0,10.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:47.705Z,GAME_ACTION,left,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:48.685Z,GAME_ACTION,left,4.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:49.722Z,GAME_ACTION,left,3.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:50.581Z,GAME_ACTION,left,2.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:52.160Z,GAME_ACTION,down,1.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:53.009Z,INTERACTION,,1.0,9.0,5.0,6.0,,experienced2,,wizard_interaction,redAmulet
2025-10-20 21:02:53.009Z,GAME_ACTION,down,1.0,10.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:55.721Z,GAME_ACTION,up,1.0,10.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:57.652Z,GAME_ACTION,right,1.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:58.329Z,GAME_ACTION,right,2.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:59.168Z,GAME_ACTION,right,3.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:02:59.929Z,GAME_ACTION,right,4.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:03:01.264Z,GAME_ACTION,up,5.0,9.0,5.0,6.0,,experienced2,,,
2025-10-20 21:03:02.309Z,GAME_ACTION,up,5.0,8.0,5.0,6.0,,experienced2,,,
