Session ID,u1760998621113
Completed At,2025-10-20 22:26:00.431Z
Created At,2025-10-20 22:17:01.113Z

User Data
prolificId,5c28113978fad50001932f58
age,36
gender,male
timestamp,1760999160182

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:17:28.248Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 22:17:34.052Z,INTERACTION,,,,,,,,,comprehension_check,failed
2025-10-20 22:17:37.885Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:25:52.714Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:17:01.237Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 22:17:01.309Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:17:01.309Z,LEVEL_START,,,,,,,,,,
2025-10-20 22:17:54.535Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-20 22:17:57.960Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-20 22:17:59.153Z,GAME_ACTION,down,5.0,7.0,,,,,,,
2025-10-20 22:18:00.362Z,GAME_ACTION,down,5.0,8.0,,,,,,,
2025-10-20 22:18:02.387Z,GAME_ACTION,right,5.0,9.0,,,,,,,
2025-10-20 22:18:02.745Z,GAME_ACTION,right,6.0,9.0,,,,,,,
2025-10-20 22:18:03.152Z,GAME_ACTION,right,7.0,9.0,,,,,,,
2025-10-20 22:18:09.156Z,GAME_ACTION,left,7.0,9.0,,,,,,,
2025-10-20 22:18:09.578Z,GAME_ACTION,left,6.0,9.0,,,,,,,
2025-10-20 22:18:10.839Z,GAME_ACTION,up,5.0,9.0,,,,,,,
2025-10-20 22:18:11.032Z,GAME_ACTION,up,5.0,8.0,,,,,,,
2025-10-20 22:18:11.197Z,GAME_ACTION,up,5.0,7.0,,,,,,,
2025-10-20 22:18:11.377Z,GAME_ACTION,up,5.0,6.0,,,,,,,
2025-10-20 22:18:11.580Z,GAME_ACTION,up,5.0,5.0,,,,,,,
2025-10-20 22:18:11.912Z,GAME_ACTION,up,5.0,4.0,,,,,,,
2025-10-20 22:18:12.779Z,GAME_ACTION,up,5.0,3.0,,,,,,,
2025-10-20 22:18:13.172Z,GAME_ACTION,up,5.0,2.0,,,,,,,
2025-10-20 22:18:13.172Z,INTERACTION,,5.0,2.0,,,,,,wizard_interaction,redAmulet
2025-10-20 22:18:16.367Z,GAME_ACTION,down,5.0,2.0,,,,,,,
2025-10-20 22:18:16.575Z,GAME_ACTION,down,5.0,3.0,,,,,,,
2025-10-20 22:18:16.769Z,GAME_ACTION,down,5.0,4.0,,,,,,,
2025-10-20 22:18:17.016Z,GAME_ACTION,down,5.0,5.0,,,,,,,
2025-10-20 22:18:17.500Z,GAME_ACTION,down,5.0,6.0,,,,,,,
2025-10-20 22:18:18.716Z,GAME_ACTION,left,5.0,7.0,,,,,,,
2025-10-20 22:18:19.034Z,GAME_ACTION,left,4.0,7.0,,,,,,,
2025-10-20 22:18:23.501Z,GAME_ACTION,right,3.0,7.0,,,,,,,
2025-10-20 22:18:23.956Z,GAME_ACTION,right,4.0,7.0,,,,,,,
2025-10-20 22:18:24.974Z,GAME_ACTION,up,5.0,7.0,,,,,,,
