Session ID,u1763660371597
Completed At,2025-11-20 17:59:03.284Z
Created At,2025-11-20 17:39:31.597Z

User Data
prolificId,5d548912e1c7130018e019dc
age,42
gender,male
feedback,Really fun study. Thanks!
timestamp,1763661543121

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:43:48.415Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:58:45.605Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:39:31.675Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:39:31.717Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 17:44:03.105Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2025-11-20 17:44:07.617Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,5.0,,,,experienced1,,,
2025-11-20 17:44:09.723Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,6.0,,,,experienced1,,,
2025-11-20 17:44:15.992Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,7.0,,,,experienced1,,,
2025-11-20 17:44:19.251Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,8.0,,,,experienced1,,,
2025-11-20 17:44:22.890Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,9.0,,,,experienced1,,,
2025-11-20 17:44:25.314Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,10.0,,,,experienced1,,,
2025-11-20 17:44:28.012Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,11.0,,,,experienced1,,,
2025-11-20 17:44:30.816Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:32.313Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:36.322Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,7.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:37.873Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,6.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:48.481Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:50.009Z,AGENT_OBSERVE,,5.0,7.0,3.0,6.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:52.378Z,AGENT_OBSERVE,,5.0,7.0,3.0,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:44:58.090Z,GAME_ACTION,up,5.0,7.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:01.912Z,GAME_ACTION,up,5.0,6.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:02.450Z,GAME_ACTION,up,5.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:02.927Z,GAME_ACTION,up,5.0,4.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:03.387Z,GAME_ACTION,up,5.0,3.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:03.929Z,GAME_ACTION,up,5.0,2.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:03.930Z,INTERACTION,,5.0,2.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,wizard_interaction,redAmulet
2025-11-20 17:45:08.220Z,GAME_ACTION,down,5.0,4.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:09.739Z,GAME_ACTION,left,5.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:10.451Z,GAME_ACTION,left,4.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:11.034Z,GAME_ACTION,left,3.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:11.658Z,INTERACTION,,3.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,wizard_interaction,
2025-11-20 17:45:11.658Z,GAME_ACTION,left,2.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:25.292Z,GAME_ACTION,right,2.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:25.854Z,GAME_ACTION,right,3.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:45:26.929Z,GAME_ACTION,right,4.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
