Session ID,u1763662309390
Completed At,2025-11-20 18:28:44.986Z
Created At,2025-11-20 18:11:49.390Z

User Data
prolificId,565e0169998e44000a4bdab1
age,44
gender,male
feedback,I don't think there was any reason to study the labyrinth before each trial
timestamp,1763663333456

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:16:03.200Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:28:14.984Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:11:49.695Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:11:49.796Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 18:16:20.778Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2025-11-20 18:16:26.632Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,5.0,,,,experienced1,,,
2025-11-20 18:16:30.288Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,6.0,,,,experienced1,,,
2025-11-20 18:16:32.526Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,7.0,,,,experienced1,,,
2025-11-20 18:16:35.240Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,8.0,,,,experienced1,,,
2025-11-20 18:16:37.920Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,9.0,,,,experienced1,,,
2025-11-20 18:16:40.170Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,10.0,,,,experienced1,,,
2025-11-20 18:16:42.279Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,11.0,,,,experienced1,,,
2025-11-20 18:16:57.587Z,GAME_ACTION,down,5.0,7.0,,,,5.0,11.0,,,,experienced1,,,
2025-11-20 18:16:58.031Z,GAME_ACTION,down,5.0,8.0,,,,5.0,11.0,,,,experienced1,,,
2025-11-20 18:16:58.628Z,GAME_ACTION,down,5.0,9.0,,,,5.0,11.0,,,,experienced1,,,
2025-11-20 18:16:59.324Z,INTERACTION,,5.0,9.0,,,,5.0,11.0,,,,experienced1,,treasure_interaction,C
2025-11-20 18:16:59.324Z,GAME_ACTION,down,5.0,10.0,,,,5.0,11.0,,,,experienced1,,,
2025-11-20 18:17:10.462Z,AGENT_OBSERVE,,5.0,11.0,3.0,5.0,9.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:11.634Z,AGENT_OBSERVE,,5.0,11.0,3.0,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:13.567Z,GAME_ACTION,up,5.0,11.0,,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:14.051Z,GAME_ACTION,up,5.0,10.0,,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:14.900Z,GAME_ACTION,right,5.0,9.0,,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:15.376Z,GAME_ACTION,right,6.0,9.0,,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:17.291Z,AGENT_OBSERVE,,7.0,9.0,3.0,5.0,7.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:19.350Z,AGENT_OBSERVE,,7.0,9.0,3.0,5.0,6.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:20.604Z,AGENT_OBSERVE,,7.0,9.0,3.0,5.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:22.117Z,AGENT_OBSERVE,,7.0,9.0,3.0,6.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:23.611Z,AGENT_OBSERVE,,7.0,9.0,3.0,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:25.019Z,AGENT_OBSERVE,,7.0,9.0,3.0,8.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:26.431Z,AGENT_OBSERVE,,7.0,9.0,3.0,8.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:29.369Z,AGENT_OBSERVE,,7.0,9.0,3.0,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:31.232Z,GAME_ACTION,right,7.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:34.468Z,GAME_ACTION,left,7.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:35.000Z,GAME_ACTION,left,6.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:35.751Z,GAME_ACTION,up,5.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
