Level ID | X_Goal1 | X_Goal2 | X_Goal1_Type | X_Goal2_Type | Y_Goal1 | Y_Goal2 | Y_Goal1_Type | Y_Goal2_Type
----------------------------------------------------------------------------------------------------
sm111 | 3 | 3 | C | C | 2 | 2 | B | B
sm112 | 1 | 1 | A | A | 3 | 3 | C | C
sm211 | 1 | 3 | A | C | 2 | 1 | B | A
sm221 | 3 | 1 | C | A | 2 | 3 | B | C
sm311 | 1 | 3 | A | C | 2 | 1 | B | A
sm321 | 3 | 1 | C | A | 2 | 3 | B | C
sm331 | 3 | 2 | C | B | 1 | 3 | A | C
sm332 | 3 | 2 | C | B | 1 | 3 | A | C
sm341 | 3 | 2 | C | B | 2 | 1 | B | A
sm342 | 3 | 2 | C | B | 2 | 1 | B | A
sm351 | 1 | 3 | A | C | 2 | 1 | B | A
sm361 | 3 | 1 | C | A | 3 | 2 | C | B
sm371 | 3 | 1 | C | A | 1 | 2 | A | B
sm411 | 1 | 3 | A | C | 2 | 1 | B | A
sm421 | 3 | 1 | C | A | 2 | 3 | B | C
sm431 | 2 | 3 | B | C | 1 | 3 | A | C
sm432 | 3 | 1 | C | A | 3 | 2 | C | B
sm511 | 1 | 3 | A | C | 2 | 1 | B | A
sm521 | 3 | 1 | C | A | 2 | 3 | B | C
sm531 | 1 | 2 | A | B | 3 | 1 | C | A
sm541 | 1 | 2 | A | B | 1 | 3 | A | C
sm543 | 2 | 1 | B | A | 1 | 3 | A | C
